id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló [MASK] bebé durante unos minutos. [SEP]	['un']	[['el', 'al', 'un', 'del', 'su']]	[[0.7954 0.1432 0.0151 0.0111 0.0109]]
18	[CLS] Irene oyó [MASK] niña durante horas. [SEP]	['una']	[['la', 'a', 'una', 'al', 'su']]	[[0.6451 0.2043 0.094  0.0084 0.0051]]
19	[CLS] Pablo tuvo [MASK] ayudante durante varios años. [SEP]	['un']	[['un', 'como', 'de', 'el', 'una']]	[[0.31   0.2595 0.0416 0.0416 0.028 ]]
20	[CLS] Isabel vio [MASK] estudiante durante toda la mañana. [SEP]	['un']	[['al', 'la', 'el', 'un', 'una']]	[[0.5833 0.1703 0.1558 0.0261 0.0097]]
21	[CLS] Unai amó [MASK] joven durante varios años. [SEP]	['una']	[['a', 'al', 'el', 'la', 'de']]	[[0.2921 0.2115 0.0969 0.0697 0.0646]]
22	[CLS] Valeria admiró [MASK] cantante durante toda su vida. [SEP]	['un']	[['la', 'el', 'al', 'a', 'una']]	[[0.5312 0.1819 0.1632 0.017  0.0137]]
23	[CLS] Adrián percibió [MASK] mujer durante algunos minutos. [SEP]	['una']	[['su', 'la', 'una', 'otra', 'a']]	[[0.4122 0.301  0.1944 0.0268 0.0131]]
24	[CLS] Emma investigó [MASK] político durante varias semanas. [SEP]	['un']	[['lo', 'temas', 'poder', 'esto', 'partido']]	[[0.2728 0.0491 0.0293 0.0235 0.0194]]
25	[CLS] Ismael encontró [MASK] conocido en cuestión de segundos. [SEP]	['un']	[['el', 'otro', 'un', 'lo', 'al']]	[[0.1676 0.1253 0.0909 0.0332 0.0301]]
26	[CLS] Sofía conoció [MASK] chico en un par de días. [SEP]	['un']	[['al', 'un', 'a', 'el', 'otro']]	[[0.8683 0.0941 0.0149 0.0119 0.0028]]
27	[CLS] Martín detectó [MASK] intruso en un par de minutos. [SEP]	['un']	[['el', 'este', 'lo', 'al', 'otro']]	[[0.8201 0.0313 0.0256 0.0248 0.0207]]
28	[CLS] Elena localizó [MASK] amiga al cabo de dos horas. [SEP]	['una']	[['su', 'una', 'la', 'otra', 'sua']]	[[0.7507 0.1056 0.0721 0.0112 0.0054]]
29	[CLS] Alejandro identificó [MASK] agresor en menos de dos minutos. [SEP]	['un']	[['al', 'como', 'el', 'un', 'a']]	[[0.4285 0.1964 0.1762 0.0574 0.0307]]
30	[CLS] Marta descartó [MASK] aspirante en un minuto. [SEP]	['un']	[['la', 'una', 'a', 'al', 'un']]	[[0.2351 0.1959 0.1064 0.1055 0.0952]]
31	[CLS] Samuel descubrió [MASK] infiltrado en un par de días. [SEP]	['un']	[['Samuel', 'el', 'un', 'ser', 'lo']]	[[0.2158 0.0915 0.0874 0.0725 0.0558]]
32	[CLS] Alba mencionó [MASK] actor tras varios minutos de reflexión. [SEP]	['un']	[['al', 'el', 'del', 'un', 'a']]	[[0.8393 0.1248 0.0049 0.0044 0.0035]]
