id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5	masked_token2	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
51	[CLS] La artista que pisó [MASK] [MASK] andaba sigilosamente. [SEP]	la	el	0.3902	la	0.2091	su	0.0382	este	0.036	esta	0.0291	perra	puerta	0.0357	casa	0.0335	tierra	0.0312	lugar	0.0298	suelo	0.0275
52	[CLS] La bióloga que abrazó [MASK] [MASK] sonreía incesantemente. [SEP]	la	al	0.2778	a	0.2654	el	0.1021	la	0.0788	su	0.0655	gorila	[UNK]	0.1289	##mente	0.0216	bebé	0.0177	perro	0.0109	niño	0.0101
53	[CLS] La voluntaria que tocó [MASK] [MASK] bebía continuamente. [SEP]	la	el	0.3418	la	0.2006	su	0.0362	al	0.0311	a	0.027	tortuga	piano	0.0293	,	0.0259	guitarra	0.0241	puerta	0.024	instrumento	0.0213
54	[CLS] La ciclista que vio [MASK] [MASK] comía distraídamente. [SEP]	la	el	0.3168	la	0.2383	al	0.0913	a	0.0519	esta	0.0323	vaca	foto	0.0549	película	0.0478	video	0.0271	vídeo	0.0254	cadáver	0.0245
55	[CLS] La granjera que olió [MASK] [MASK] salió inesperadamente. [SEP]	la	el	0.2337	la	0.1189	a	0.1034	su	0.0304	las	0.0222	cerda	perfume	0.1134	olor	0.0626	humo	0.0265	##s	0.0252	veneno	0.0222
56	[CLS] El entrenador que escuchó [MASK] nadaba rápidamente. [SEP]	delfín	,	0.1129	esto	0.0922	que	0.0799	no	0.052	hablar	0.0411
57	[CLS] El conductor que persiguió [MASK] paseaba felizmente. [SEP]	camello	se	0.7211	lo	0.0965	la	0.0374	,	0.0289	le	0.0146
58	[CLS] El hombre que adoraba [MASK] saltaba incesantemente. [SEP]	canguro	,	0.6059	[UNK]	0.0414	y	0.0293	me	0.0255	no	0.023
59	[CLS] El amo que pegó [MASK] gemía desconsoladamente. [SEP]	orangután	,	0.1851	##ba	0.0544	esto	0.0421	eso	0.0242	allí	0.0238
60	[CLS] Las zoólogas que observaron [MASK] [MASK] bebían plácidamente. [SEP]	las	este	0.1834	esta	0.1334	el	0.0832	estos	0.0698	esto	0.0601	palomas	##s	0.048	especie	0.0413	fenómeno	0.0133	[UNK]	0.0126	especies	0.0117
61	[CLS] Las hermanas que buscaron [MASK] [MASK] entraron inesperadamente. [SEP]	las	el	0.163	la	0.1424	a	0.1099	al	0.0471	su	0.0387	gatas	##s	0.0401	[UNK]	0.0344	,	0.0304	dinero	0.0174	cuerpo	0.0163
62	[CLS] Las niñas que adoraban [MASK] [MASK] chillaban alegremente. [SEP]	las	a	0.2025	al	0.1353	el	0.1341	la	0.0847	su	0.0607	ardillas	[UNK]	0.0602	música	0.0261	amor	0.0231	Dios	0.0167	niño	0.0161
63	[CLS] Las estudiantes que pegaron [MASK] [MASK] paseaban tristemente. [SEP]	las	al	0.4629	a	0.264	la	0.0476	el	0.0261	tiros	0.017	monas	[UNK]	0.0896	se	0.0598	policía	0.0507	golpe	0.021	fuego	0.0158
64	[CLS] Los payasos que abrazaron [MASK] [MASK] caminaban rápidamente. [SEP]	los	a	0.2853	al	0.2808	la	0.1015	el	0.0732	su	0.0377	chimpancés	[UNK]	0.1138	bebé	0.0152	niño	0.0118	gato	0.0097	perro	0.0084
65	[CLS] Los trabajadores que perseguían [MASK] [MASK] corrían velozmente. [SEP]	los	al	0.2419	el	0.1596	la	0.1285	a	0.0784	sus	0.0425	guepardos	##s	0.0534	,	0.0221	tren	0.0197	[UNK]	0.0193	coche	0.0143
66	[CLS] Los niños que ensuciaron [MASK] [MASK] sonreían frenéticamente. [SEP]	los	el	0.3354	la	0.2396	su	0.1148	sus	0.0811	las	0.0416	macacos	casa	0.1791	baño	0.0563	cuarto	0.0386	ropa	0.0375	auto	0.0344
67	[CLS] Los viejos que oyeron [MASK] [MASK] respiraban fuertemente. [SEP]	los	el	0.2724	la	0.2443	aquella	0.0413	esta	0.0365	aquel	0.0341	pollos	grito	0.0857	,	0.0719	ruido	0.0678	voz	0.0428	palabras	0.0279
68	[CLS] Los técnicos que tocaron [MASK] [MASK] andaban distraídamente. [SEP]	los	el	0.3726	la	0.251	en	0.0498	esta	0.0187	los	0.0182	hámsters	tema	0.0914	disco	0.0785	batería	0.0664	canción	0.0641	piano	0.039
