id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó a [MASK] [MASK] en pocos segundos. [SEP]	['un', 'rehén']	[['los', 'la', '[UNK]', 'W', 'su'], ['##o', '##a', '##i', '##y', '##s']]	[[0.028706371784210205, 0.02633596584200859, 0.015081524848937988, 0.013623086735606194, 0.012328648939728737], [0.029791859909892082, 0.027313919737935066, 0.01855955459177494, 0.01428389921784401, 0.012712574563920498]]
2	[CLS] Amaya neutralizó a [MASK] [MASK] en cinco minutos. [SEP]	['un', 'enemigo']	[['los', 'la', 'Ama', 'W', 'su'], ['##a', '##o', '##ya', '##s', '[UNK]']]	[[0.044976186007261276, 0.04349839687347412, 0.014295290224254131, 0.014036760665476322, 0.011044795624911785], [0.023870961740612984, 0.018610307946801186, 0.014148459769785404, 0.012715781107544899, 0.011295723728835583]]
3	[CLS] Joaquín abatió a [MASK] [MASK] en unos minutos. [SEP]	['un', 'contrincante']	[['[UNK]', 'un', 'la', 'los', 'otro'], ['[UNK]', ',', 'y', 'hombre', 'hombres']]	[[0.11913388967514038, 0.11412446945905685, 0.0656774491071701, 0.03583579882979393, 0.01514844223856926], [0.11868838220834732, 0.025712164118885994, 0.022512197494506836, 0.0060844761319458485, 0.005944844335317612]]
4	[CLS] Martina arrolló a [MASK] [MASK] en cuestión de segundos. [SEP]	['un', 'peatón']	[['la', 'los', 'su', 'un', 'W'], ['##a', '##o', '##s', '##i', '##y']]	[[0.05049622803926468, 0.03613238036632538, 0.025902366265654564, 0.018141457810997963, 0.012394126504659653], [0.05005323514342308, 0.018841037526726723, 0.01614385098218918, 0.015129759907722473, 0.013403289951384068]]
5	[CLS] Carlos derribó a [MASK] [MASK] en dos segundos. [SEP]	['un', 'futbolista']	[['la', 'W', 'los', '[UNK]', 'un'], ['##a', '##o', '##y', '##s', '[UNK]']]	[[0.030585577711462975, 0.028993738815188408, 0.02040877752006054, 0.014339095912873745, 0.009659847244620323], [0.02439388819038868, 0.018133297562599182, 0.016897764056921005, 0.016225265339016914, 0.013276754878461361]]
6	[CLS] Lucía destrozó a [MASK] [MASK] en dos asaltos. [SEP]	['un', 'oponente']	[['[UNK]', 'la', 'W', 'Gar', 'su'], ['##a', '[UNK]', '##o', '##s', '##son']]	[[0.02250884473323822, 0.01851694844663143, 0.01372822467237711, 0.011804047040641308, 0.010655030608177185], [0.02798389457166195, 0.02510230988264084, 0.019536558538675308, 0.017201585695147514, 0.011313649825751781]]
7	[CLS] Mateo quemó a [MASK] [MASK] en poco más de media hora. [SEP]	['una', 'bruja']	[['la', 'los', 'su', 'sus', 'un'], ['##a', '##o', 'madre', 'familia', '##s']]	[[0.06909936666488647, 0.06783191859722137, 0.05766380950808525, 0.020471932366490364, 0.013642899692058563], [0.03917655348777771, 0.016179490834474564, 0.013567943125963211, 0.013022840954363346, 0.010971278883516788]]
8	[CLS] Valentina venció a [MASK] [MASK] en menos de una hora. [SEP]	['un', 'adversario']	[['Valent', 'W', '[UNK]', 'Fab', 'Ross'], ['##ina', '##i', '##a', '##na', '##da']]	[[0.048694152384996414, 0.013674017041921616, 0.013063750229775906, 0.010186583735048771, 0.010121190920472145], [0.08303031325340271, 0.046430278569459915, 0.04527101665735245, 0.02410227805376053, 0.015208047814667225]]
9	[CLS] Luis zarandeó a [MASK] [MASK] durante algunos minutos. [SEP]	['un', 'hombre']	[['la', 'su', 'los', 'sus', 'W'], ['##a', '##o', 'madre', '##y', '##do']]	[[0.09562269598245621, 0.0747290700674057, 0.03859517723321915, 0.015092497691512108, 0.009157311171293259], [0.04381994158029556, 0.015892796218395233, 0.01490010041743517, 0.00989049393683672, 0.009484303183853626]]
10	[CLS] María transportó a [MASK] [MASK] durante todo el día. [SEP]	['un', 'mochilero']	[['los', 'la', 'su', 'sus', 'las'], ['niños', 'familia', '##a', 'hijos', 'bebé']]	[[0.14289350807666779, 0.07810407876968384, 0.07575754821300507, 0.05499697104096413, 0.017929691821336746], [0.06542861461639404, 0.049453336745500565, 0.03338390216231346, 0.025941452011466026, 0.017326047644019127]]
11	[CLS] Lucas arrastró a [MASK] [MASK] durante un buen rato. [SEP]	['un', 'soldado']	[['la', 'su', 'los', 'W', 'sus'], ['##y', '##a', '##ie', '##e', 'madre']]	[[0.08361171185970306, 0.07829397916793823, 0.04726202040910721, 0.03224613144993782, 0.019926663488149643], [0.029965002089738846, 0.02452017366886139, 0.022445296868681908, 0.018209530040621758, 0.017693012952804565]]
12	[CLS] Claudia maltrató a [MASK] [MASK] durante varios años. [SEP]	['una', 'compañera']	[['su', 'la', 'los', 'W', 'sus'], ['##a', '##o', '##ia', 'padre', 'hijo']]	[[0.06428681313991547, 0.022171251475811005, 0.01790517009794712, 0.01323730405420065, 0.012343525886535645], [0.05156371369957924, 0.026440730318427086, 0.01399537269026041, 0.01304718665778637, 0.012672592885792255]]
13	[CLS] Hugo apaleó a [MASK] [MASK] durante varios minutos. [SEP]	['un', 'rebelde']	[['la', 'W', 'los', 'su', 'un'], ['##a', '##y', '##o', '##s', '##i']]	[[0.052881475538015366, 0.02236112393438816, 0.019439857453107834, 0.016961874440312386, 0.006411385256797075], [0.042509667575359344, 0.02333466336131096, 0.022095534950494766, 0.012294990941882133, 0.011922909878194332]]
14	[CLS] Carla asedió a [MASK] [MASK] durante bastante tiempo. [SEP]	['una', 'contrincante']	[['la', 'su', 'W', 'los', 'sus'], ['##a', 'familia', 'madre', '##y', '##e']]	[[0.0664866492152214, 0.05629431828856468, 0.03485214710235596, 0.034706637263298035, 0.012857608497142792], [0.026856804266572, 0.02346157655119896, 0.01706448569893837, 0.015292114578187466, 0.014511549845337868]]
15	[CLS] Daniel remolcó a [MASK] [MASK] durante algunos minutos. [SEP]	['un', 'enfermo']	[['la', 'su', 'los', 'W', 'un'], ['##y', '##a', '##s', '##e', '##son']]	[[0.07826990634202957, 0.049042969942092896, 0.03373124450445175, 0.0313492976129055, 0.020146014168858528], [0.024282492697238922, 0.019206982105970383, 0.01575285568833351, 0.014801210723817348, 0.009356246329843998]]
16	[CLS] Coral guio a [MASK] [MASK] durante toda la mañana. [SEP]	['un', 'turista']	[['los', 'la', 'su', 'las', 'sus'], ['##y', '##l', 'niños', 'familia', 'madre']]	[[0.14784196019172668, 0.10465983301401138, 0.04163084551692009, 0.02777033858001232, 0.020186016336083412], [0.029263822361826897, 0.023928232491016388, 0.022108901292085648, 0.020953400060534477, 0.01912933588027954]]
