id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
34	animate	La abuela recibió [MASK] niños .	los	['dos', 'tres', 'cinco', 'cuatro', 'seis']	[0.121  0.1016 0.084  0.0763 0.0497]	0.0176	13	0.0328	7	0.0021	42
37	animate	El ladrón secuestró [MASK] señora .	la	['una', 'la', 'a', 'mi', 'esta']	[0.643  0.1247 0.0504 0.0408 0.0286]	0.0504	2	0.1247	1	0.643	0
38	animate	Snoopy miró [MASK] amigo .	su	[',', 'al', 'su', 'mi', 'tu']	[0.4973 0.2195 0.1036 0.0365 0.0231]	0.2195	1	0.005	9	0.0217	5
41	animate	Plankton conoció [MASK] Esponja .	Bob	['Bob', 'Cuerpo', 'Ted', 'a', 'Boca']	[0.9964 0.0005 0.0004 0.0003 0.0003]	0.0003	3	0.0	29	0.0	20
51	animate	El niño visitó [MASK] abuela .	su	['su', 'la', 'una', 'a', 'al']	[0.4492 0.2671 0.1412 0.1015 0.0051]	0.1015	3	0.2671	1	0.1412	2
54	animate	La familia acogió [MASK] inmigrante .	la	['al', 'un', 'a', 'como', 'una']	[0.806  0.0989 0.0205 0.0159 0.0069]	0.806	0	0.0049	6	0.0989	1
56	animate	Cristina saludó [MASK] novios .	los	['los', 'sus', 'a', 'como', 'al']	[0.5806 0.1006 0.0774 0.0771 0.0734]	0.0774	2	0.5806	0	0.001	20
57	animate	El bandido secuestró [MASK] mujer .	la	['una', 'la', 'otra', 'su', 'a']	[0.8253 0.0507 0.0406 0.0383 0.0141]	0.0141	4	0.0507	1	0.8253	0
61	inanimate	Alejandra escuchó [MASK] música .	la	['la', 'su', 'mucha', 'esta', 'esa']	[0.3304 0.2416 0.1618 0.0522 0.0515]	0.0007	40	0.3304	0	0.0107	8
62	inanimate	Blanca Nieves comió [MASK] manzana .	la	['una', 'la', 'su', 'otra', 'media']	[0.4903 0.3689 0.0509 0.0176 0.0154]	0.0003	25	0.3689	1	0.4903	0
63	inanimate	El niño aprendío [MASK] matemáticas .	las	['las', 'a', 'de', 'en', 'muchas']	[0.3534 0.1279 0.0964 0.0725 0.052 ]	0.1279	1	0.3534	0	0.0059	13
64	inanimate	Antonio bebió [MASK] refresco .	un	['un', 'el', 'otro', 'su', 'mucho']	[0.7601 0.1105 0.0278 0.0217 0.0169]	0.0006	22	0.1105	1	0.7601	0
65	inanimate	Alfonso arregló [MASK] bicicleta .	la	['la', 'su', 'una', 'mi', 'tu']	[0.4338 0.4274 0.0747 0.0297 0.0178]	0.0001	23	0.4338	0	0.0747	2
66	inanimate	Mafalda leyó [MASK] .	libro	"['[UNK]', '""', 'esto', 'libros', 'mucho']"	[0.0447 0.0266 0.0211 0.0175 0.0162]	0.0052	29	0.001	142	0.0042	34
67	inanimate	Los amigos firmaron [MASK] .	papel	['aquí', 'allí', 'esto', 'cartas', 'cheques']	[0.0832 0.0443 0.0349 0.0292 0.027 ]	0.0023	65	0.0101	17	0.003	46
68	inanimate	El niño tocó [MASK] planta .	la	['la', 'una', 'su', 'otra', 'esta']	[0.6914 0.1919 0.0267 0.0178 0.0176]	0.0013	13	0.6914	0	0.1919	1
69	inanimate	El hombre llevó [MASK] .	paraguas	['armas', 'esto', 'guantes', 'gafas', 'ropa']	[0.0904 0.053  0.0411 0.0288 0.0239]	0.0014	113	0.0007	183	0.0051	34
70	inanimate	La niña abrazó [MASK] .	oso	['[UNK]', 'a', 'fuerte', 'todo', 'fuego']	[0.1253 0.072  0.0636 0.0633 0.0217]	0.072	1	0.0026	36	0.0026	38
71	inanimate	María besó [MASK] .	arbol	['suavemente', 'a', 'tierra', '[UNK]', 'bien']	[0.1552 0.0601 0.0472 0.0353 0.0304]	0.0601	1	0.0009	117	0.0005	191
72	inanimate	Miguel vio [MASK] pelota .	la	['la', 'una', 'su', 'esa', 'aquella']	[0.8779 0.0762 0.013  0.0081 0.0049]	0.0003	15	0.8779	0	0.0762	1
73	inanimate	Los niños visitaron [MASK] .	museo	['[UNK]', 'St', 'EE', 'a', 'Australia']	[0.2271 0.0706 0.0275 0.0185 0.0177]	0.0185	3	0.004	25	0.0005	243
74	inanimate	Jimmy Newtron conoció [MASK] Flags .	Six	['a', '[UNK]', 'The', 'los', 'de']	[0.8322 0.023  0.0155 0.0123 0.0114]	0.8322	0	0.0123	3	0.0008	15
75	inanimate	Julián tocó [MASK] planta .	la	['la', 'una', 'otra', 'esta', 'cada']	[0.5865 0.1354 0.0372 0.0307 0.0256]	0.0032	17	0.5865	0	0.1354	1
76	inanimate	El viejo llevó [MASK] .	paraguas	['esto', 'dinero', 'gafas', 'razón', 'guantes']	[0.0329 0.0266 0.0259 0.0221 0.0173]	0.0017	102	0.0009	158	0.0043	42
77	inanimate	La niña abrazó [MASK] .	osito	['[UNK]', 'a', 'fuerte', 'todo', 'fuego']	[0.1253 0.072  0.0636 0.0633 0.0217]	0.072	1	0.0026	36	0.0026	38
78	inanimate	Beto besó [MASK] .	trofeo	"['a', '[UNK]', '""', 'tierra', 'bien']"	[0.1173 0.0784 0.0393 0.0364 0.029 ]	0.1173	0	0.0012	97	0.0031	36
79	inanimate	Victor vio [MASK] pelota .	la	['la', 'una', 'su', 'esa', 'aquella']	[0.8949 0.0578 0.0146 0.0095 0.0036]	0.0003	12	0.8949	0	0.0578	1
80	inanimate	Los niños visitaron [MASK] .	museo	['[UNK]', 'St', 'EE', 'a', 'Australia']	[0.2271 0.0706 0.0275 0.0185 0.0177]	0.0185	3	0.004	25	0.0005	243
83	inanimate	Alfonso arregló [MASK] bicicleta roja .	la	['la', 'una', 'su', 'esa', 'mi']	[0.5784 0.205  0.1791 0.0073 0.0069]	0.0001	26	0.5784	0	0.205	1
84	inanimate	Antonio bebió [MASK] coca cola .	la	['una', 'mucha', 'la', 'demasiada', 'su']	[0.6254 0.1561 0.053  0.0217 0.0146]	0.0005	43	0.053	2	0.6254	0
85	inanimate	Estefanía compró [MASK] auto .	un	['un', 'el', 'su', 'este', 'otro']	[0.5592 0.2901 0.0738 0.0248 0.0217]	0.0005	15	0.2901	1	0.5592	0
87	inanimate	Carlos leyó [MASK] novela .	una	['la', 'su', 'esta', 'una', 'esa']	[0.8242 0.1031 0.031  0.0185 0.0078]	0.0	25	0.8242	0	0.0185	3
88	inanimate	Los novios firmaron [MASK] .	contrato	['matrimonio', 'aquí', 'acta', 'votos', 'cartas']	[0.0643 0.052  0.0328 0.0314 0.0231]	0.0027	63	0.0184	11	0.0042	42
