id	es	en
5	La artista que pisó a [la perra] andaba sigilosamente.	The artist that stepped on [the dog] walked stealthily
6	La bióloga que abrazó a [la gorila] sonreía incesantemente.	The biologist that hugged [the gorilla] smiled unceasingly
7	La voluntaria que tocó a [la tortuga] bebía continuamente.	The volunteer that touched [the turtle] drank continuously
8	La ciclista que vio a [la vaca] comía distraídamente.	The cyclist that saw [the cow] ate absent-minded
9	La granjera que olió a [la cerda] salió inesperadamente.	The farmer that smelled [the pig] left unexpectedly
6	El entrenador que escuchó al [delfín] nadaba rápidamente.	The trainer that listened to [the dolphin] swam quickly
7	El conductor que persiguió al [camello] paseaba felizmente.	The driver that chased [the camel] went for a walk happily
8	El hombre que adoraba al [canguro] saltaba incesantemente.	The man that loved [the kangaroo] jumped unceasingly
9	El amo que pegó al [orangután] gemía desconsoladamente.	The owner that hit [the orangután] moaned inconsolably
6	Las zoólogas que observaron a [las palomas] bebían plácidamente.	The zoologists that observed [the pigeons] drank placidly
7	Las hermanas que buscaron a [las gatas] entraron inesperadamente.	The sisters that looked for [the cats] entered unexpectedly
8	Las niñas que adoraban a [las ardillas] chillaban alegremente.	The girls that loved [the squirrels] screamed happily
9	Las estudiantes que pegaron a [las monas] paseaban tristemente.	The students that hit [the monkeys] went for a walk sadly
5	Los payasos que abrazaron a [los chimpancés] caminaban rápidamente.	The clowns that hugged [the chimpanzees] walked fast
6	Los trabajadores que perseguían a [los guepardos] corrían velozmente.	The workers that chased [the cheetahs] ran fast
7	Los niños que ensuciaron a [los macacos] sonreían frenéticamente.	The children that got [the macaques] dirty smiled frantically
8	Los viejos que oyeron a [los pollos] respiraban fuertemente.	The old men that heard [the chickens] breathed loudly
9	Los técnicos que tocaron a [los hámsters] andaban distraídamente.	The technicians that touched [the hamsters] walked absent-minded
