id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
17	[CLS] Carlos vigiló [MASK] un bebé durante unos minutos. [SEP]	a	a	0.967	como	0.0093	con	0.0066	por	0.003	de	0.0013
18	[CLS] Irene oyó [MASK] una niña durante horas. [SEP]	a	a	0.7181	de	0.0595	como	0.046	llorar	0.0325	sobre	0.0086
19	[CLS] Pablo tuvo [MASK] un ayudante durante varios años. [SEP]	a	también	0.3022	a	0.2982	allí	0.0603	sólo	0.0419	además	0.0331
20	[CLS] Isabel vio [MASK] un estudiante durante toda la mañana. [SEP]	a	a	0.943	con	0.0119	como	0.0101	ser	0.0034	sólo	0.0021
21	[CLS] Unai amó [MASK] una joven durante varios años. [SEP]	a	a	0.996	de	0.0019	solo	0.0002	sólo	0.0002	con	0.0002
22	[CLS] Valeria admiró [MASK] un cantante durante toda su vida. [SEP]	a	ser	0.888	a	0.0873	como	0.0148	siendo	0.0012	volverse	0.001
23	[CLS] Adrián percibió [MASK] una mujer durante algunos minutos. [SEP]	a	a	0.9483	ser	0.0202	como	0.0076	también	0.0026	de	0.0021
24	[CLS] Emma investigó [MASK] un político durante varias semanas. [SEP]	a	a	0.875	sobre	0.0724	con	0.015	para	0.0088	por	0.0082
25	[CLS] Ismael encontró [MASK] un conocido en cuestión de segundos. [SEP]	a	a	0.9589	con	0.0304	finalmente	0.001	ser	0.0008	allí	0.0007
26	[CLS] Sofía conoció [MASK] un chico en un par de días. [SEP]	a	a	0.997	con	0.0023	de	0.0001	en	0.0001	allí	0.0
27	[CLS] Martín detectó [MASK] un intruso en un par de minutos. [SEP]	a	a	0.9694	nuevamente	0.0051	definitivamente	0.0029	también	0.0017	primero	0.0014
28	[CLS] Elena localizó [MASK] una amiga al cabo de dos horas. [SEP]	a	a	0.9913	con	0.0063	por	0.0002	allí	0.0002	hasta	0.0002
29	[CLS] Alejandro identificó [MASK] un agresor en menos de dos minutos. [SEP]	a	a	0.9923	como	0.0009	definitivamente	0.0008	nuevamente	0.0005	claramente	0.0004
30	[CLS] Marta descartó [MASK] un aspirante en un minuto. [SEP]	a	a	0.9505	ser	0.0084	todo	0.0023	como	0.0022	tener	0.0022
31	[CLS] Samuel descubrió [MASK] un infiltrado en un par de días. [SEP]	a	a	0.9813	de	0.0011	ser	0.0009	##ó	0.0009	tener	0.0009
32	[CLS] Alba mencionó [MASK] un actor tras varios minutos de reflexión. [SEP]	a	a	0.75	ser	0.1271	también	0.0109	tener	0.0071	como	0.0066
