id	es	en
125	Felipe eliminó a [un rehén] en pocos segundos.	Felipe eliminated [a hostage] in a few seconds.
126	Amaya neutralizó a [un enemigo] en cinco minutos.	Amaya neutralized [an enemy] in five minutes.
127	Joaquín abatió a [un contrincante] en unos minutos.	Joaquín knocked down [an opponent] within minutes.
128	Martina arrolló a [un peatón] en cuestión de segundos.	Martina ran over [a pedestrian] in a matter of seconds.
129	Carlos derribó a [un futbolista] en dos segundos.	Carlos knocked down [a football player] in two seconds.
130	Lucía destrozó a [un oponente] en dos asaltos.	Lucia destroyed [an opponent] in two rounds.
131	Mateo quemó a [una bruja] en poco más de media hora.	Matthew burnt [a witch] in little more than half an hour.
132	Valentina venció a [un adversario] en menos de una hora.	Valentina defeated [an opponent] in less than an hour.
133	Luis zarandeó a [un hombre] durante algunos minutos.	Luis shook [a man] for a few minutes.
134	María transportó a [un mochilero] durante todo el día.	María transported [a backpacker] for the whole day.
135	Lucas arrastró a [un soldado] durante un buen rato.	Lucas dragged [a soldier] for quite a while.
136	Claudia maltrató a [una compañera] durante varios años.	Claudia mistreated [a classmate] for several years.
137	Hugo apaleó a [un rebelde] durante varios minutos.	Hugo beat up [a rebel] for several minutes.
138	Carla asedió a [una contrincante] durante bastante tiempo.	Carla besieged [an opponent] for quite some time.
139	Daniel remolcó a [un enfermo] durante algunos minutos.	Daniel towed [a sick person] for several minutes.
140	Coral guio a [un turista] durante toda la mañana.	Coral guided [a tourist] for the whole morning.
