id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó [MASK] la música. [SEP]	['a']	[['mucho', 'siempre', 'toda', 'a', 'también']]	[[0.3064 0.0981 0.0782 0.0724 0.0572]]
62	[CLS] Blanca Nieves comió [MASK] la manzana. [SEP]	['a']	[['toda', 'de', 'accidentalmente', 'primero', 'solo']]	[[0.8111 0.1278 0.0066 0.0062 0.0038]]
63	[CLS] El niño aprendío [MASK] las matemáticas. [SEP]	['a']	[['a', 'de', 'con', 'bien', 'también']]	[[0.2428 0.1144 0.0836 0.0763 0.0671]]
64	[CLS] Antonio bebió [MASK] un refresco. [SEP]	['a']	[['de', 'también', 'entonces', 'como', 'sólo']]	[[0.2775 0.1705 0.0627 0.0593 0.0445]]
65	[CLS] Alfonso arregló [MASK] la bicicleta. [SEP]	['a']	[['bien', 'rápidamente', 'también', 'toda', 'entonces']]	[[0.1232 0.0696 0.0575 0.0559 0.0516]]
66	[CLS] Mafalda leyó [MASK] libro. [SEP]	['al']	[['el', 'su', 'un', 'este', 'del']]	[[0.8899 0.0463 0.018  0.0167 0.0128]]
67	[CLS] Los amigos firmaron [MASK] papel. [SEP]	['al']	[['el', 'un', 'este', 'su', 'ese']]	[[0.5979 0.3239 0.0365 0.0098 0.0083]]
68	[CLS] El niño tocó [MASK] la planta. [SEP]	['a']	[['a', 'en', 'con', 'toda', 'de']]	[[0.2696 0.178  0.145  0.0405 0.0279]]
69	[CLS] El hombre llevó [MASK] paraguas. [SEP]	['al']	[['un', 'el', 'su', 'mi', 'otro']]	[[0.6708 0.2374 0.0681 0.0046 0.0021]]
70	[CLS] La niña abrazó [MASK] oso. [SEP]	['al']	[['al', 'el', 'un', 'su', 'otro']]	[[0.7237 0.1466 0.115  0.0079 0.0022]]
71	[CLS] María besó [MASK] arbol. [SEP]	['al']	[['el', 'un', 'al', 'aquel', 'su']]	[[0.8062 0.092  0.0753 0.0087 0.0067]]
72	[CLS] Miguel vio [MASK] la pelota. [SEP]	['a']	[['caer', 'pasar', 'rodar', 'llegar', 'a']]	[[0.2467 0.1525 0.0806 0.0652 0.0413]]
73	[CLS] Los niños visitaron [MASK] museo. [SEP]	['a']	[['el', 'al', 'este', 'un', 'su']]	[[0.9673 0.0088 0.0075 0.0046 0.0033]]
74	[CLS] Jimmy Newtron conoció [MASK] Six Flags. [SEP]	['a']	[['a', 'en', 'The', 'los', '[UNK]']]	[[0.9239 0.0277 0.0114 0.0039 0.0034]]
75	[CLS] Julián tocó [MASK] la planta. [SEP]	['a']	[['en', 'con', 'a', 'de', 'toda']]	[[0.2462 0.206  0.1668 0.0597 0.0552]]
76	[CLS] El viejo llevó [MASK] paraguas. [SEP]	['al']	[['el', 'un', 'su', 'mi', 'dos']]	[[0.509  0.3262 0.1056 0.0079 0.0063]]
77	[CLS] La niña abrazó [MASK] osito. [SEP]	['al']	[['al', 'el', 'su', 'un', 'a']]	[[0.791  0.1168 0.0724 0.0162 0.001 ]]
78	[CLS] Beto besó [MASK] trofeo. [SEP]	['al']	[['el', 'su', 'un', 'al', 'ese']]	[[0.8697 0.0724 0.0197 0.0161 0.0046]]
79	[CLS] Victor vio [MASK] la pelota. [SEP]	['a']	[['caer', 'pasar', 'rodar', 'llegar', 'a']]	[[0.3305 0.1506 0.0631 0.0546 0.0425]]
80	[CLS] Los niños visitaron [MASK] museo. [SEP]	['al']	[['el', 'al', 'este', 'un', 'su']]	[[0.9673 0.0088 0.0075 0.0046 0.0033]]
81	[CLS] Raquel conoció [MASK] Chicago. [SEP]	['a']	[['a', 'en', 'de', '[UNK]', 'el']]	[[0.686  0.1955 0.0093 0.0092 0.0062]]
82	[CLS] Esteban estudió [MASK] matemáticas. [SEP]	['a']	[['también', 'las', 'primero', 'en', 'principalmente']]	[[0.5845 0.065  0.043  0.0256 0.0247]]
83	[CLS] Alfonso arregló [MASK] la bicicleta roja. [SEP]	['a']	[['también', 'con', 'entonces', 'primero', 'rápidamente']]	[[0.099  0.079  0.062  0.0528 0.052 ]]
84	[CLS] Antonio bebió [MASK] la coca cola. [SEP]	['a']	[['toda', 'de', 'en', 'con', 'también']]	[[0.4772 0.362  0.0258 0.0202 0.0175]]
85	[CLS] Estefanía compró [MASK] un auto. [SEP]	['a']	[['entonces', 'también', 'todo', 'rápidamente', 'solo']]	[[0.1119 0.1017 0.0678 0.0482 0.0335]]
86	[CLS] Mercedes escuchó [MASK] música. [SEP]	['a']	[['la', 'su', 'esa', 'mucha', 'esta']]	[[0.5258 0.255  0.0441 0.0362 0.0308]]
87	[CLS] Carlos leyó [MASK] una novela. [SEP]	['a']	[['también', 'allí', 'recientemente', 'en', 'juntos']]	[[0.2134 0.1811 0.1042 0.0882 0.0354]]
88	[CLS] Los novios firmaron [MASK] el contrato. [SEP]	['a']	[['oficialmente', 'entonces', 'con', 'así', 'finalmente']]	[[0.1094 0.0865 0.0593 0.0565 0.0526]]
