id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
123	animate-human	La cebra que ensució a la turista descansaba plácidamente.	la	['un', 'el', 'al', 'la', 'lo']	[0.5624 0.1675 0.0706 0.0679 0.0208]	0.0706	2	0.1675	1	0.5624	0
124	animate-human	La cabra que empujó a la pastora respiraba velozmente.	la	['la', 'una', 'esta', 'otra', 'La']	[0.9294 0.0451 0.0065 0.0033 0.0021]	0.0005	9	0.9294	0	0.0451	1
125	animate-human	La serpiente que detestaba a la veterinaria entró sigilosamente.	la	['la', 'una', 'otra', 'un', 'La']	[0.8895 0.088  0.0053 0.0017 0.0014]	0.0005	7	0.8895	0	0.088	1
126	animate-human	La leoparda que oyó a la dueña corrió repentinamente.	la	['la', 'su', 'una', 'La', 'otra']	[0.9062 0.0374 0.0226 0.0039 0.0039]	0.0007	11	0.9062	0	0.0226	2
132	animate-human	Las panteras que atacaron a las empleadas descansaban tranquilamente.	las	['las', 'los', 'sus', 'la', 'estas']	[0.7431 0.1891 0.0423 0.0043 0.003 ]	0.0001	41	0.7431	0	0.0006	10
133	animate-human	Las burras que pisaron a las mujeres gruñían claramente.	las	['las', 'estas', 'esas', 'algunas', 'unas']	[0.9712 0.0162 0.002  0.0017 0.0015]	0.0	29	0.9712	0	0.0015	4
134	animate-human	Las conejas que olieron a las chicas saltaban continuamente.	las	['las', 'estas', 'esas', 'sus', 'unas']	[0.9516 0.0178 0.0131 0.0054 0.003 ]	0.0001	21	0.9516	0	0.003	4
135	animate-human	Las gallinas que detestaban a las señoras comían lentamente.	las	['las', 'estas', 'sus', 'los', 'esas']	[0.9742 0.0069 0.0059 0.0036 0.0016]	0.0	86	0.9742	0	0.0003	10
136	animate-human	Las lobas que empujaron a las ecólogas salieron repentinamente.	las	['las', 'los', 'estas', 'unas', 'ambas']	[0.9576 0.011  0.0045 0.0043 0.0024]	0.0001	31	0.9576	0	0.0043	3
137	animate-human	Los pájaros que miraban a los críos cantaban alegremente.	los	['los', 'sus', 'las', 'estos', 'esos']	[0.9544 0.0181 0.006  0.0043 0.0025]	0.0001	38	0.9544	0	0.0008	7
