id	sentence	masked	top_fillers	probabilities
33	La cebra que ensució a [la turista] descansaba plácidamente.	['a']	[['a', 'con', 'tanto', ',', 'toda']]	[[0.9759472012519836, 0.0021613186690956354, 0.0018841722048819065, 0.0016325119649991393, 0.0009478171705268323]]
34	La cabra que empujó a [la pastora] respiraba velozmente.	['a']	[['a', 'sobre', 'de', ',', 'era']]	[[0.9794966578483582, 0.002570295473560691, 0.002279789187014103, 0.002218010136857629, 0.0016247269231826067]]
35	La serpiente que detestaba a [la veterinaria] entró sigilosamente.	['a']	[['a', 'era', 'de', ',', 'ser']]	[[0.791085422039032, 0.07229888439178467, 0.047278858721256256, 0.028240220621228218, 0.013292862102389336]]
36	La leoparda que oyó a [la dueña] corrió repentinamente.	['a']	[['a', 'de', 'gritar', 'hablar', 'llorar']]	[[0.836165189743042, 0.05012485757470131, 0.01086435467004776, 0.008900600485503674, 0.006854304112493992]]
37	El pony que buscaba al [jinete] chillaba tristemente.	['al']	[['al', 'el', 'un', 'su', 'otro']]	[[0.4939492642879486, 0.2066984325647354, 0.144771546125412, 0.08545603603124619, 0.030272461473941803]]
38	El león que mató al [cazador] caminaba lentamente.	['al']	[['al', 'el', 'un', 'a', 'del']]	[[0.9794651865959167, 0.018189240247011185, 0.0008298818138428032, 0.0003445468901190907, 0.00030283856904134154]]
39	El caballo que miraba al [cuidador] gruñía desconsoladamente.	['al']	[['al', 'el', 'del', 'su', 'a']]	[[0.6617361307144165, 0.3125763535499573, 0.006113490089774132, 0.005632096901535988, 0.003586997976526618]]
40	El tigre que atacó al [domador] dormía tranquilamente.	['al']	[['al', 'el', 'su', 'y', 'a']]	[[0.9103086590766907, 0.06191869452595711, 0.017064495012164116, 0.0030512374360114336, 0.0010715387761592865]]
41	El loro que observó al [cantante] cantaba claramente.	['al']	[['al', 'la', 'el', 'como', 'del']]	[[0.36207276582717896, 0.3073018193244934, 0.2402191460132599, 0.028628753498196602, 0.008257443085312843]]
42	Las panteras que atacaron a [las empleadas] descansaban tranquilamente.	['a']	[['a', 'contra', '##on', 'y', '##ban']]	[[0.9974073767662048, 0.0005962909199297428, 0.000416713475715369, 0.0002979665296152234, 0.00012817898823413998]]
43	Las burras que pisaron a [las mujeres] gruñían claramente.	['a']	[[',', 'a', 'y', 'por', 'de']]	[[0.38684332370758057, 0.2852226793766022, 0.15262489020824432, 0.03165217489004135, 0.01781322993338108]]
44	Las conejas que olieron a [las chicas] saltaban continuamente.	['a']	[['a', 'y', 'de', 'por', ',']]	[[0.8328481912612915, 0.027487779036164284, 0.021106183528900146, 0.019975578412413597, 0.018947266042232513]]
45	Las gallinas que detestaban a [las señoras] comían lentamente.	['a']	[['a', ',', 'y', 'de', 'eran']]	[[0.9341617226600647, 0.022651374340057373, 0.017485039308667183, 0.006203156895935535, 0.003912151791155338]]
46	Las lobas que empujaron a [las ecólogas] salieron repentinamente.	['a']	[['a', 'contra', 'por', 'sobre', 'hacia']]	[[0.986890971660614, 0.0018003771547228098, 0.0014815035974606872, 0.001477231620810926, 0.0012604512739926577]]
47	Los pájaros que miraban a [los críos] cantaban alegremente.	['a']	[['a', 'y', 'hacia', ',', 'con']]	[[0.9576455354690552, 0.012004934251308441, 0.010343464091420174, 0.003319250652566552, 0.002374728210270405]]
48	Los delfines que mataron a [los pescadores] gemían fuertemente.	['a']	[['a', 'de', '##on', 'y', 'con']]	[[0.9978051781654358, 0.0002691387780942023, 0.00020490858878474683, 0.0001847614475991577, 0.00017354232841171324]]
49	Los cocodrilos que vieron a [los asistentes] nadaban frenéticamente.	['a']	[['a', 'en', 'entre', 'y', 'por']]	[[0.7215601801872253, 0.08341775089502335, 0.04143992438912392, 0.03639160096645355, 0.027241913601756096]]
50	Los flamencos que escucharon a [los ayudantes] dormían felizmente.	['a']	[['a', 'y', 'por', 'de', 'con']]	[[0.8334817290306091, 0.0653245598077774, 0.024132132530212402, 0.019238034263253212, 0.010790633037686348]]
