id	condition	input_sentence	score_dom	score_unmarked	discrepancy
141	definite	Gonzalo mató (a) la mujer en el parque.	0.2212	0.1232	0.09802233427762985
142	definite	Patricio lesionó (a) la camarera en la discoteca.	0.2209	0.1229	0.09798969328403473
143	definite	Carolina golpeó (a) la jugadora en el vestuario.	0.2213	0.1237	0.09759688377380371
144	definite	Elena cuidó (a) la paciente durante dos semanas.	0.1867	0.1247	0.06195564568042755
145	definite	Irene acusó (a) la secretaria general en la asamblea.	0.1682	0.1109	0.057275690138339996
146	definite	Cecilia denunció (a) la mujer en la comisaría de policía.	0.1801	0.0973	0.08281448483467102
147	definite	Josefina vio (a) la pastora en el parque.	0.2175	0.1195	0.09794631600379944
148	definite	Julio oyó (a) la madre desde la cocina.	0.2009	0.0803	0.12065523862838745
149	indefinite	Pablo mató (a) una mujer durante el secuestro.	0.2216	0.1244	0.09711798280477524
150	indefinite	Alberto lesionó (a) una adversaria en el partido de la semana pasada.	0.1485	0.0829	0.06560780853033066
151	indefinite	Andrea golpeó (a) una fotógrafa (a) la salida del restaurante.	0.2677	0.11	0.15767493844032288
152	indefinite	Javier cuidó (a) una paciente con gran profesionalidad.	0.185	0.1228	0.062122948467731476
153	indefinite	Laura acusó (a) una trabajadora en la reunión.	0.211	0.1211	0.08988664299249649
154	indefinite	Carlos denunció (a) una camarera tras una disputa.	0.2196	0.122	0.09758001565933228
155	indefinite	Ana vio (a) una política en la tienda del barrio.	0.1316	0.0965	0.035015664994716644
156	indefinite	Esther oyó (a) una niña en el apartamento de al/el lado.	0.153	0.0891	0.06394097954034805
