id	input_sentence	masked	top_fillers	probabilities
105	[CLS] La artista que pisó a [MASK] perra andaba sigilosamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'otra']]	[[0.8873 0.0738 0.0039 0.0038 0.0027]]
106	[CLS] La bióloga que abrazó a [MASK] gorila sonreía incesantemente. [SEP]	['la']	[['un', 'el', 'la', 'otro', 'al']]	[[0.4139 0.2225 0.1544 0.0302 0.0168]]
107	[CLS] La voluntaria que tocó a [MASK] tortuga bebía continuamente. [SEP]	['la']	[['la', 'esta', 'una', 'La', 'aquella']]	[[0.9131 0.0311 0.0305 0.0037 0.0025]]
108	[CLS] La ciclista que vio a [MASK] vaca comía distraídamente. [SEP]	['la']	[['la', 'una', 'esta', 'las', 'otra']]	[[0.9394 0.0379 0.0022 0.0016 0.0013]]
109	[CLS] La granjera que olió a [MASK] cerda salió inesperadamente. [SEP]	['la']	[['la', 'una', 'su', 'La', 'esta']]	[[0.8658 0.0302 0.0106 0.0091 0.0087]]
114	[CLS] Las zoólogas que observaron a [MASK] palomas bebían plácidamente. [SEP]	['las']	[['las', 'estas', 'los', 'sus', 'esas']]	[[0.8928 0.0394 0.0235 0.0101 0.0073]]
115	[CLS] Las hermanas que buscaron a [MASK] gatas entraron inesperadamente. [SEP]	['las']	[['los', 'las', 'estos', 'estas', 'sus']]	[[0.5341 0.3862 0.0223 0.012  0.0095]]
116	[CLS] Las niñas que adoraban a [MASK] ardillas chillaban alegremente. [SEP]	['las']	[['las', 'estas', 'sus', 'Las', 'esas']]	[[0.9623 0.0145 0.0069 0.005  0.002 ]]
117	[CLS] Las estudiantes que pegaron a [MASK] monas paseaban tristemente. [SEP]	['las']	[['las', 'sus', 'estas', 'unas', 'los']]	[[0.9389 0.0141 0.0129 0.0067 0.0054]]
118	[CLS] Los payasos que abrazaron a [MASK] chimpancés caminaban rápidamente. [SEP]	['los']	[['los', 'estos', 'sus', 'otros', 'esos']]	[[0.9774 0.0057 0.0032 0.0017 0.0016]]
119	[CLS] Los trabajadores que perseguían a [MASK] guepardos corrían velozmente. [SEP]	['los']	[['los', 'las', 'sus', 'estos', 'la']]	[[0.9157 0.0581 0.0067 0.0038 0.0017]]
120	[CLS] Los niños que ensuciaron a [MASK] macacos sonreían frenéticamente. [SEP]	['los']	[['los', 'sus', 'estos', 'las', 'esos']]	[[0.9666 0.0119 0.0072 0.003  0.0021]]
121	[CLS] Los viejos que oyeron a [MASK] pollos respiraban fuertemente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'nuestros']]	[[0.9278 0.0269 0.0103 0.0087 0.0029]]
122	[CLS] Los técnicos que tocaron a [MASK] hámsters andaban distraídamente. [SEP]	['los']	[['los', 'estos', 'las', 'esos', 'aquellos']]	[[0.9367 0.0217 0.0048 0.0036 0.0022]]
123	[CLS] La cebra que ensució a [MASK] turista descansaba plácidamente. [SEP]	['la']	[['un', 'el', 'al', 'la', 'lo']]	[[0.5624 0.1675 0.0706 0.0679 0.0208]]
124	[CLS] La cabra que empujó a [MASK] pastora respiraba velozmente. [SEP]	['la']	[['la', 'una', 'esta', 'otra', 'La']]	[[0.9294 0.0451 0.0065 0.0033 0.0021]]
125	[CLS] La serpiente que detestaba a [MASK] veterinaria entró sigilosamente. [SEP]	['la']	[['la', 'una', 'otra', 'un', 'La']]	[[0.8895 0.088  0.0053 0.0017 0.0014]]
126	[CLS] La leoparda que oyó a [MASK] dueña corrió repentinamente. [SEP]	['la']	[['la', 'su', 'una', 'La', 'otra']]	[[0.9062 0.0374 0.0226 0.0039 0.0039]]
132	[CLS] Las panteras que atacaron a [MASK] empleadas descansaban tranquilamente. [SEP]	['las']	[['las', 'los', 'sus', 'la', 'estas']]	[[0.7431 0.1891 0.0423 0.0043 0.003 ]]
133	[CLS] Las burras que pisaron a [MASK] mujeres gruñían claramente. [SEP]	['las']	[['las', 'estas', 'esas', 'algunas', 'unas']]	[[0.9712 0.0162 0.002  0.0017 0.0015]]
134	[CLS] Las conejas que olieron a [MASK] chicas saltaban continuamente. [SEP]	['las']	[['las', 'estas', 'esas', 'sus', 'unas']]	[[0.9516 0.0178 0.0131 0.0054 0.003 ]]
135	[CLS] Las gallinas que detestaban a [MASK] señoras comían lentamente. [SEP]	['las']	[['las', 'estas', 'sus', 'los', 'esas']]	[[0.9742 0.0069 0.0059 0.0036 0.0016]]
136	[CLS] Las lobas que empujaron a [MASK] ecólogas salieron repentinamente. [SEP]	['las']	[['las', 'los', 'estas', 'unas', 'ambas']]	[[0.9576 0.011  0.0045 0.0043 0.0024]]
137	[CLS] Los pájaros que miraban a [MASK] críos cantaban alegremente. [SEP]	['los']	[['los', 'sus', 'las', 'estos', 'esos']]	[[0.9544 0.0181 0.006  0.0043 0.0025]]
138	[CLS] Los delfines que mataron a [MASK] pescadores gemían fuertemente. [SEP]	['los']	[['los', 'sus', 'estos', 'otros', 'algunos']]	[[0.9522 0.0079 0.006  0.0039 0.0028]]
139	[CLS] Los cocodrilos que vieron a [MASK] asistentes nadaban frenéticamente. [SEP]	['los']	[['los', 'las', 'sus', 'estos', 'la']]	[[0.9933 0.0018 0.0014 0.0007 0.0002]]
140	[CLS] Los flamencos que escucharon a [MASK] ayudantes dormían felizmente. [SEP]	['los']	[['los', 'sus', 'su', 'las', 'nuestros']]	[[0.6034 0.3802 0.0038 0.0024 0.0023]]
