id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló a [MASK] bebé durante unos minutos. [SEP]	['un']	[['la', 'su', 'un', 'los', 'ese']]	[[0.5578 0.3406 0.028  0.0135 0.0104]]
18	[CLS] Irene oyó a [MASK] niña durante horas. [SEP]	['una']	[['la', 'una', 'su', 'esta', 'esa']]	[[0.959  0.0168 0.0101 0.0041 0.0038]]
19	[CLS] Pablo tuvo a [MASK] ayudante durante varios años. [SEP]	['un']	[['su', 'un', 'este', '[UNK]', 'una']]	[[0.6066 0.1477 0.0498 0.0216 0.013 ]]
20	[CLS] Isabel vio a [MASK] estudiante durante toda la mañana. [SEP]	['un']	[['la', 'un', 'su', 'una', 'cada']]	[[0.2612 0.2575 0.1474 0.0631 0.0307]]
21	[CLS] Unai amó a [MASK] joven durante varios años. [SEP]	['una']	[['la', 'una', 'este', 'un', 'esta']]	[[0.7048 0.0719 0.0539 0.0474 0.0409]]
22	[CLS] Valeria admiró a [MASK] cantante durante toda su vida. [SEP]	['un']	[['la', 'esta', 'este', 'su', 'esa']]	[[0.8416 0.0615 0.0529 0.0229 0.005 ]]
23	[CLS] Adrián percibió a [MASK] mujer durante algunos minutos. [SEP]	['una']	[['la', 'una', 'su', 'otra', 'esta']]	[[0.4901 0.3087 0.1083 0.0317 0.0229]]
24	[CLS] Emma investigó a [MASK] político durante varias semanas. [SEP]	['un']	[['un', 'este', 'ese', 'su', '[UNK]']]	[[0.2115 0.138  0.0658 0.0438 0.0245]]
25	[CLS] Ismael encontró a [MASK] conocido en cuestión de segundos. [SEP]	['un']	[['su', 'un', 'otro', 'este', 'ese']]	[[0.5901 0.3207 0.0223 0.0154 0.0085]]
26	[CLS] Sofía conoció a [MASK] chico en un par de días. [SEP]	['un']	[['un', 'este', 'ese', 'otro', 'su']]	[[0.4774 0.3377 0.1169 0.0296 0.0094]]
27	[CLS] Martín detectó a [MASK] intruso en un par de minutos. [SEP]	['un']	[['un', 'su', 'otro', 'este', 'ese']]	[[0.7483 0.0952 0.076  0.0204 0.0096]]
28	[CLS] Elena localizó a [MASK] amiga al cabo de dos horas. [SEP]	['una']	[['su', 'una', 'la', 'mi', 'sus']]	[[0.8192 0.0849 0.0674 0.0038 0.0031]]
29	[CLS] Alejandro identificó a [MASK] agresor en menos de dos minutos. [SEP]	['un']	[['su', 'un', 'este', 'cada', 'otro']]	[[0.9606 0.0255 0.0026 0.0017 0.0016]]
30	[CLS] Marta descartó a [MASK] aspirante en un minuto. [SEP]	['un']	[['la', 'un', 'su', 'una', 'cada']]	[[0.5597 0.1072 0.0804 0.0451 0.0441]]
31	[CLS] Samuel descubrió a [MASK] infiltrado en un par de días. [SEP]	['un']	[['su', 'un', 'nuestro', 'alguien', 'este']]	[[0.4081 0.3289 0.1152 0.0405 0.0247]]
32	[CLS] Alba mencionó a [MASK] actor tras varios minutos de reflexión. [SEP]	['un']	[['su', 'este', 'dicho', 'ese', 'un']]	[[0.3772 0.361  0.0609 0.0438 0.0421]]
