id	es	en	gen	num
51	La artista que pisó a [la perra] andaba sigilosamente.	The artist that stepped on [the dog] walked stealthily	f	sing
52	La bióloga que abrazó a [la gorila] sonreía incesantemente.	The biologist that hugged [the gorilla] smiled unceasingly	f	sing
53	La voluntaria que tocó a [la tortuga] bebía continuamente.	The volunteer that touched [the turtle] drank continuously	f	sing
54	La ciclista que vio a [la vaca] comía distraídamente.	The cyclist that saw [the cow] ate absent-minded	f	sing
55	La granjera que olió a [la cerda] salió inesperadamente.	The farmer that smelled [the pig] left unexpectedly	f	sing
56	El entrenador que escuchó al [delfín] nadaba rápidamente.	The trainer that listened to [the dolphin] swam quickly	m	sing
57	El conductor que persiguió al [camello] paseaba felizmente.	The driver that chased [the camel] went for a walk happily	m	sing
58	El hombre que adoraba al [canguro] saltaba incesantemente.	The man that loved [the kangaroo] jumped unceasingly	m	sing
59	El amo que pegó al [orangután] gemía desconsoladamente.	The owner that hit [the orangután] moaned inconsolably	m	sing
60	Las zoólogas que observaron a [las palomas] bebían plácidamente.	The zoologists that observed [the pigeons] drank placidly	f	plur
61	Las hermanas que buscaron a [las gatas] entraron inesperadamente.	The sisters that looked for [the cats] entered unexpectedly	f	plur
62	Las niñas que adoraban a [las ardillas] chillaban alegremente.	The girls that loved [the squirrels] screamed happily	f	plur
63	Las estudiantes que pegaron a [las monas] paseaban tristemente.	The students that hit [the monkeys] went for a walk sadly	f	plur
64	Los payasos que abrazaron a [los chimpancés] caminaban rápidamente.	The clowns that hugged [the chimpanzees] walked fast	m	plur
65	Los trabajadores que perseguían a [los guepardos] corrían velozmente.	The workers that chased [the cheetahs] ran fast	m	plur
66	Los niños que ensuciaron a [los macacos] sonreían frenéticamente.	The children that got [the macaques] dirty smiled frantically	m	plur
67	Los viejos que oyeron a [los pollos] respiraban fuertemente.	The old men that heard [the chickens] breathed loudly	m	plur
68	Los técnicos que tocaron a [los hámsters] andaban distraídamente.	The technicians that touched [the hamsters] walked absent-minded	m	plur
