id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó [MASK] la manzana andaba sigilosamente. [SEP]	['a']	[['en', 'a', 'con', 'de', 'sobre']]	[[0.2247 0.1814 0.1377 0.1343 0.1087]]
158	[CLS] La bióloga que abrazó [MASK] la silla sonreía incesantemente. [SEP]	['a']	[['a', 'sobre', 'en', 'por', 'de']]	[[0.4406 0.1259 0.0908 0.0783 0.0774]]
159	[CLS] La voluntaria que tocó [MASK] la mesa bebía continuamente. [SEP]	['a']	[['a', 'en', 'sobre', 'por', 'de']]	[[0.2417 0.21   0.2034 0.1238 0.0972]]
160	[CLS] La ciclista que vio [MASK] la montaña comía distraídamente. [SEP]	['a']	[['a', 'en', 'sobre', 'de', 'toda']]	[[0.2927 0.28   0.0441 0.0408 0.0275]]
161	[CLS] La granjera que olió [MASK] la cena salió inesperadamente. [SEP]	['a']	[['a', 'en', 'de', 'para', 'por']]	[[0.4589 0.172  0.1624 0.0437 0.0243]]
162	[CLS] El entrenador que escuchó [MASK] piano nadaba rápidamente. [SEP]	['al']	[['el', 'un', 'al', 'este', 'ese']]	[[0.8392 0.0622 0.0252 0.0198 0.0067]]
163	[CLS] El conductor que persiguió [MASK] coche paseaba felizmente. [SEP]	['al']	[['el', 'al', 'en', 'su', 'un']]	[[0.5001 0.2496 0.0669 0.0567 0.0417]]
164	[CLS] El hombre que adoraba [MASK] sol saltaba incesantemente. [SEP]	['al']	[['el', 'al', 'del', 'un', 'su']]	[[0.6766 0.302  0.0068 0.003  0.0016]]
165	[CLS] El amo que pegó [MASK] armario gemía desconsoladamente. [SEP]	['al']	[['el', 'un', 'al', 'del', 'su']]	[[0.6914 0.0902 0.0593 0.0169 0.0139]]
166	[CLS] Las zoólogas que observaron [MASK] las hoja bebían plácidamente. [SEP]	['a']	[['que', 'en', 'a', 'de', 'sobre']]	[[0.2615 0.1975 0.1765 0.1568 0.0197]]
167	[CLS] Las hermanas que buscaron [MASK] las bicicletas entraron inesperadamente. [SEP]	['a']	[['a', 'en', 'de', 'todas', 'para']]	[[0.3091 0.1189 0.0756 0.0455 0.0311]]
168	[CLS] Las niñas que adoraban [MASK] las fresas chillaban alegremente. [SEP]	['a']	[['a', 'con', 'de', 'y', 'que']]	[[0.5519 0.112  0.0427 0.0243 0.0194]]
169	[CLS] Las estudiantes que pegaron [MASK] las flores paseaban tristemente. [SEP]	['a']	[['a', 'de', 'con', 'por', 'sobre']]	[[0.3825 0.2528 0.1446 0.0501 0.0399]]
170	[CLS] Los payasos que abrazaron [MASK] los árboles caminaban rápidamente. [SEP]	['a']	[['a', 'de', 'sobre', 'en', 'con']]	[[0.3429 0.1973 0.1576 0.0731 0.0375]]
171	[CLS] Los trabajadores que perseguían [MASK] los autobuses corrían velozmente. [SEP]	['a']	[['a', 'con', 'todos', 'hacia', 'en']]	[[0.8376 0.0364 0.021  0.0128 0.0114]]
172	[CLS] Los niños que ensuciaron [MASK] los zapatos sonreían frenéticamente. [SEP]	['a']	[['a', 'con', 'en', 'de', 'sobre']]	[[0.3286 0.278  0.1223 0.0926 0.0255]]
173	[CLS] Los viejos que oyeron [MASK] los aviones respiraban fuertemente. [SEP]	['a']	[['a', 'sobre', 'en', 'de', 'con']]	[[0.3974 0.1279 0.0766 0.0762 0.0705]]
174	[CLS] Los técnicos que tocaron [MASK] los teléfonos andaban distraídamente. [SEP]	['a']	[['con', 'a', 'en', 'de', 'por']]	[[0.373  0.2206 0.1747 0.0506 0.0341]]
