id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
109	definite	Gonzalo mató a la mujer en el parque.	la	['su', 'una', 'la', 'mi', 'esa']	[0.7529 0.1585 0.0416 0.0144 0.0106]	0.0	46	0.0416	2	0.1585	1
110	definite	Patricio lesionó a la camarera en la discoteca.	la	['una', 'la', 'su', 'un', 'otra']	[0.8717 0.0982 0.0133 0.0064 0.0052]	0.0	80	0.0982	1	0.8717	0
111	definite	Carolina golpeó a la jugadora en el vestuario.	la	['la', 'una', 'otra', 'esta', 'su']	[0.8111 0.1275 0.0405 0.0063 0.0043]	0.0	20	0.8111	0	0.1275	1
112	definite	Elena cuidó a la paciente durante dos semanas.	la	['la', 'su', 'un', 'cada', 'este']	[0.7003 0.114  0.0622 0.0347 0.0248]	0.0004	22	0.7003	0	0.0622	2
113	definite	Irene acusó a la secretaria general en la asamblea.	la	['la', 'su', 'una', 'ser', 'un']	[0.7644 0.1134 0.0518 0.0484 0.0018]	0.0	68	0.7644	0	0.0518	2
114	definite	Cecilia denunció a la mujer en la comisaría de policía.	la	['su', 'la', 'una', 'esta', 'otra']	[0.8307 0.1175 0.025  0.0131 0.0049]	0.0	50	0.1175	1	0.025	2
115	definite	Josefina vio a la pastora en el parque.	la	['la', 'una', 'su', 'otra', 'esta']	[0.5725 0.3324 0.0695 0.0116 0.0044]	0.0	91	0.5725	0	0.3324	1
116	definite	Julio oyó a la madre desde la cocina.	la	['su', 'la', 'mi', 'tu', 'una']	[0.8413 0.1261 0.0123 0.0118 0.0025]	0.0	24	0.1261	1	0.0025	4
117	indefinite	Pablo mató a una mujer durante el secuestro.	una	['su', 'una', 'la', 'otra', 'esa']	[0.6767 0.1894 0.0922 0.0241 0.0068]	0.0	42	0.0922	2	0.1894	1
118	indefinite	Alberto lesionó a una adversaria en el partido de la semana pasada.	una	['una', 'su', 'otra', 'la', 'un']	[0.4901 0.4795 0.0144 0.0094 0.0038]	0.0	116	0.0094	3	0.4901	0
119	indefinite	Andrea golpeó a una fotógrafa a la salida del restaurante.	una	['la', 'una', 'otra', 'su', 'un']	[0.5743 0.3955 0.0128 0.0092 0.0033]	0.0	33	0.5743	0	0.3955	1
120	indefinite	Javier cuidó a una paciente con gran profesionalidad.	una	['su', 'la', 'cada', 'este', 'un']	[0.3747 0.3005 0.2101 0.0341 0.0173]	0.0009	17	0.3005	1	0.0173	4
121	indefinite	Laura acusó a una trabajadora en la reunión.	una	['una', 'la', 'su', 'otra', 'un']	[0.5538 0.1766 0.0804 0.0521 0.0224]	0.0	850	0.1766	1	0.5538	0
122	indefinite	Carlos denunció a una camarera tras una disputa.	una	['una', 'la', 'su', 'otra', 'un']	[0.4812 0.4432 0.0601 0.004  0.0024]	0.0	39	0.4432	1	0.4812	0
123	indefinite	Ana vio a una política en la tienda del barrio.	una	['la', 'una', 'un', 'su', 'los']	[0.4297 0.0696 0.0496 0.0418 0.0204]	0.0002	491	0.4297	0	0.0696	1
124	indefinite	Esther oyó a una niña en el apartamento de al lado.	una	['la', 'una', 'esa', 'su', 'otra']	[0.6959 0.2581 0.0168 0.0095 0.0064]	0.0	48	0.6959	0	0.2581	1
