id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
57	human	La cebra que ensució la turista descansaba plácidamente.	la	['al', 'el', 'la', 'a', 'un']	[0.8257 0.1417 0.0114 0.008  0.0023]	0.8257	0	0.1417	1	0.0023	4
58	human	La cabra que empujó la pastora respiraba velozmente.	la	['la', 'una', 'a', 'su', 'al']	[0.9505 0.0172 0.0063 0.0059 0.0058]	0.0063	2	0.9505	0	0.0172	1
59	human	La serpiente que detestaba la veterinaria entró sigilosamente.	la	['la', 'era', 'de', 'como', 'ser']	[0.6495 0.0574 0.0478 0.0462 0.0451]	0.0107	7	0.6495	0	0.0025	16
60	human	La leoparda que oyó la dueña corrió repentinamente.	la	['la', 'su', 'ser', 'y', 'a']	[0.4736 0.2633 0.0271 0.0157 0.0136]	0.0136	4	0.4736	0	0.0052	10
66	human	Las panteras que atacaron las empleadas descansaban tranquilamente.	las	['las', 'al', 'a', 'la', 'sus']	[0.346  0.1784 0.1319 0.091  0.0639]	0.1784	1	0.346	0	0.0006	32
67	human	Las burras que pisaron las mujeres gruñían claramente.	las	['las', 'esas', 'estas', 'sus', 'nuestras']	[0.7283 0.1038 0.0505 0.0375 0.0172]	0.0003	30	0.7283	0	0.0016	13
68	human	Las conejas que olieron las chicas saltaban continuamente.	las	['las', 'esas', 'estas', 'a', 'como']	[0.5678 0.1735 0.054  0.0366 0.0348]	0.0366	3	0.5678	0	0.0017	20
69	human	Las gallinas que detestaban las señoras comían lentamente.	las	['las', 'sus', 'estas', 'a', 'esas']	[0.7726 0.0353 0.026  0.0143 0.0132]	0.0143	3	0.7726	0	0.0003	45
70	human	Las lobas que empujaron las ecólogas salieron repentinamente.	las	['las', 'a', 'sus', 'estas', 'al']	[0.815  0.0468 0.0287 0.0176 0.0102]	0.0468	1	0.815	0	0.0014	23
71	human	Los pájaros que miraban los críos cantaban alegremente.	los	['los', 'sus', 'como', 'aquellos', 'a']	[0.8735 0.0311 0.0191 0.0127 0.0127]	0.0127	4	0.8735	0	0.0007	20
72	human	Los delfines que mataron los pescadores gemían fuertemente.	los	['los', 'a', 'estos', 'sus', 'esos']	[0.7582 0.0711 0.0319 0.0182 0.0146]	0.0711	1	0.7582	0	0.0014	19
73	human	Los cocodrilos que vieron los asistentes nadaban frenéticamente.	los	['los', 'en', 'al', 'fueron', 'y']	[0.289  0.0414 0.0375 0.035  0.0347]	0.0375	2	0.289	0	0.0011	69
74	human	Los flamencos que escucharon los ayudantes dormían felizmente.	los	['los', 'sus', 'estos', 'a', 'esos']	[0.5057 0.2858 0.0396 0.014  0.014 ]	0.014	3	0.5057	0	0.0006	41
75	animal	La artista que pisó la perra andaba sigilosamente.	la	['la', 'esa', 'su', 'esta', 'aquella']	[0.748  0.058  0.0532 0.0315 0.0205]	0.0095	7	0.748	0	0.0083	8
76	animal	La bióloga que abrazó la gorila sonreía incesantemente.	la	['al', 'el', 'a', 'su', 'un']	[0.9318 0.0631 0.0014 0.0011 0.0007]	0.9318	0	0.0631	1	0.0007	4
77	animal	La voluntaria que tocó la tortuga bebía continuamente.	la	['la', 'esta', 'una', 'esa', 'a']	[0.8654 0.0445 0.0187 0.0132 0.0107]	0.0107	4	0.8654	0	0.0187	2
78	animal	La ciclista que vio la vaca comía distraídamente.	la	['la', 'una', 'esta', 'esa', 'su']	[0.812  0.0972 0.0436 0.0117 0.0077]	0.004	6	0.812	0	0.0972	1
79	animal	La granjera que olió la cerda salió inesperadamente.	la	['la', 'a', 'una', 'como', 'esa']	[0.5963 0.2453 0.0594 0.034  0.0167]	0.2453	1	0.5963	0	0.0594	2
84	animal	Las zoólogas que observaron las palomas bebían plácidamente.	las	['las', 'estas', 'esas', 'a', 'sus']	[0.5729 0.2961 0.0211 0.0175 0.0088]	0.0175	3	0.5729	0	0.001	25
85	animal	Las hermanas que buscaron las gatas entraron inesperadamente.	las	['las', 'sus', 'a', 'esas', 'estas']	[0.6045 0.0956 0.0819 0.0178 0.0172]	0.0819	2	0.6045	0	0.017	5
86	animal	Las niñas que adoraban las ardillas chillaban alegremente.	las	['las', 'estas', 'esas', 'a', 'sus']	[0.8812 0.023  0.0198 0.0158 0.0118]	0.0158	3	0.8812	0	0.0004	33
87	animal	Las estudiantes que pegaron las monas paseaban tristemente.	las	['las', 'esas', 'a', 'sus', 'estas']	[0.4965 0.1269 0.1153 0.0552 0.0308]	0.1153	2	0.4965	0	0.0013	28
88	animal	Los payasos que abrazaron los chimpancés caminaban rápidamente.	los	['los', 'a', 'al', 'estos', 'sus']	[0.6352 0.2459 0.0268 0.0171 0.0111]	0.2459	1	0.6352	0	0.001	21
89	animal	Los trabajadores que perseguían los guepardos corrían velozmente.	los	['los', 'a', 'sus', 'estos', 'al']	[0.6796 0.1518 0.0838 0.0117 0.0106]	0.1518	1	0.6796	0	0.0011	15
90	animal	Los niños que ensuciaron los macacos sonreían frenéticamente.	los	['sus', 'los', 'esos', 'nuestros', 'mis']	[0.5299 0.3882 0.0169 0.0146 0.0118]	0.0021	9	0.3882	1	0.0003	19
91	animal	Los viejos que oyeron los pollos respiraban fuertemente.	los	['los', 'esos', 'estos', 'sus', 'aquellos']	[0.6258 0.1    0.0803 0.0304 0.0196]	0.0057	9	0.6258	0	0.0008	35
92	animal	Los técnicos que tocaron los hámsters andaban distraídamente.	los	['los', 'sus', 'como', 'con', 'a']	[0.7748 0.1006 0.0238 0.0199 0.0139]	0.0139	4	0.7748	0	0.0009	18
