id	input_sentence	masked	top_fillers	probabilities
123	[CLS] La cebra que ensució [MASK] la turista descansaba plácidamente. [SEP]	['a']	[['a', ',', '.', 'sobre', '##a']]	[[0.8828 0.0195 0.0092 0.0066 0.0059]]
124	[CLS] La cabra que empujó [MASK] la pastora respiraba velozmente. [SEP]	['a']	[['a', 'de', 'hacia', 'sobre', 'por']]	[[0.9374 0.0179 0.0087 0.0062 0.0036]]
125	[CLS] La serpiente que detestaba [MASK] la veterinaria entró sigilosamente. [SEP]	['a']	[['a', 'de', 'toda', 'en', ',']]	[[0.9833 0.0045 0.0031 0.0009 0.0007]]
126	[CLS] La leoparda que oyó [MASK] la dueña corrió repentinamente. [SEP]	['a']	[['a', 'de', 'sobre', 'por', 'en']]	[[0.8307 0.0394 0.0357 0.0226 0.0069]]
127	[CLS] El pony que buscaba [MASK] jinete chillaba tristemente. [SEP]	['al']	[['el', 'al', 'un', 'otro', 'la']]	[[0.8096 0.0852 0.0576 0.0055 0.0054]]
128	[CLS] El león que mató [MASK] cazador caminaba lentamente. [SEP]	['al']	[['al', 'el', 'a', 'un', 'del']]	[[0.6927 0.2389 0.0191 0.0149 0.0082]]
129	[CLS] El caballo que miraba [MASK] cuidador gruñía desconsoladamente. [SEP]	['al']	[['al', 'el', 'del', 'a', 'hacia']]	[[0.9576 0.019  0.0102 0.0043 0.0005]]
130	[CLS] El tigre que atacó [MASK] domador dormía tranquilamente. [SEP]	['al']	[['al', 'el', 'a', 'y', 'un']]	[[0.5879 0.2724 0.0378 0.0212 0.0135]]
131	[CLS] El loro que observó [MASK] cantante cantaba claramente. [SEP]	['al']	[['la', 'el', 'al', 'del', 'su']]	[[0.5264 0.3179 0.0745 0.0085 0.0063]]
132	[CLS] Las panteras que atacaron [MASK] las empleadas descansaban tranquilamente. [SEP]	['a']	[['a', 'y', 'contra', 'de', 'sobre']]	[[0.948  0.0216 0.0049 0.0043 0.0029]]
133	[CLS] Las burras que pisaron [MASK] las mujeres gruñían claramente. [SEP]	['a']	[['a', 'de', 'en', 'sobre', 'hacia']]	[[0.6017 0.0847 0.0582 0.0371 0.0298]]
134	[CLS] Las conejas que olieron [MASK] las chicas saltaban continuamente. [SEP]	['a']	[['a', 'y', ',', 'sobre', 'de']]	[[0.3751 0.2757 0.0629 0.0487 0.0375]]
135	[CLS] Las gallinas que detestaban [MASK] las señoras comían lentamente. [SEP]	['a']	[['a', 'de', 'y', ',', 'todas']]	[[0.9433 0.0101 0.0058 0.0057 0.0056]]
136	[CLS] Las lobas que empujaron [MASK] las ecólogas salieron repentinamente. [SEP]	['a']	[['a', 'de', 'todas', 'hacia', 'en']]	[[0.9762 0.0055 0.0034 0.0029 0.001 ]]
137	[CLS] Los pájaros que miraban [MASK] los críos cantaban alegremente. [SEP]	['a']	[['a', 'hacia', 'de', 'y', 'por']]	[[0.6603 0.059  0.0575 0.0366 0.0341]]
138	[CLS] Los delfines que mataron [MASK] los pescadores gemían fuertemente. [SEP]	['a']	[['a', 'y', 'todos', 'de', 'con']]	[[0.9582 0.0136 0.0075 0.0038 0.0014]]
139	[CLS] Los cocodrilos que vieron [MASK] los asistentes nadaban frenéticamente. [SEP]	['a']	[['a', 'de', 'todos', 'en', 'ante']]	[[0.9347 0.0174 0.0096 0.0073 0.0033]]
140	[CLS] Los flamencos que escucharon [MASK] los ayudantes dormían felizmente. [SEP]	['a']	[['y', 'a', 'con', ',', 'de']]	[[0.6529 0.2013 0.0795 0.0187 0.0087]]
