id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] rehén en pocos segundos. [SEP]	['un']	[['al', 'el', 'un', 'la', 'su']]	[[0.9418 0.0255 0.0132 0.0064 0.0031]]
2	[CLS] Amaya neutralizó [MASK] enemigo en cinco minutos. [SEP]	['un']	[['al', 'el', 'su', 'fuego', 'a']]	[[0.9325 0.0477 0.0047 0.003  0.0026]]
3	[CLS] Joaquín abatió [MASK] contrincante en unos minutos. [SEP]	['un']	[['al', 'su', 'un', 'el', 'otro']]	[[0.5857 0.3033 0.0449 0.0225 0.0194]]
4	[CLS] Martina arrolló [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['al', 'un', 'el', 'otro', 'a']]	[[0.702  0.2761 0.0115 0.0032 0.0024]]
5	[CLS] Carlos derribó [MASK] futbolista en dos segundos. [SEP]	['un']	[['al', 'el', 'a', 'un', 'del']]	[[0.9843 0.0082 0.003  0.0017 0.0007]]
6	[CLS] Lucía destrozó [MASK] oponente en dos asaltos. [SEP]	['un']	[['al', 'su', 'el', 'un', 'otro']]	[[0.5621 0.3897 0.0212 0.016  0.0029]]
7	[CLS] Mateo quemó [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'su', 'esa', 'esta']]	[[0.7655 0.0983 0.0549 0.0136 0.0095]]
8	[CLS] Valentina venció [MASK] adversario en menos de una hora. [SEP]	['un']	[['al', 'su', 'el', 'a', 'un']]	[[0.5305 0.4339 0.0077 0.0068 0.0053]]
9	[CLS] Luis zarandeó [MASK] hombre durante algunos minutos. [SEP]	['un']	[['al', 'el', 'del', 'su', 'un']]	[[0.9085 0.0389 0.0167 0.0109 0.0068]]
10	[CLS] María transportó [MASK] mochilero durante todo el día. [SEP]	['un']	[['al', 'el', 'a', 'un', 'su']]	[[0.9592 0.0213 0.0062 0.0047 0.0014]]
11	[CLS] Lucas arrastró [MASK] soldado durante un buen rato. [SEP]	['un']	[['al', 'el', 'su', 'un', 'a']]	[[0.8992 0.0709 0.0058 0.0055 0.0038]]
12	[CLS] Claudia maltrató [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'a', 'una', 'como', 'la']]	[[0.7476 0.0646 0.04   0.0394 0.0227]]
13	[CLS] Hugo apaleó [MASK] rebelde durante varios minutos. [SEP]	['un']	[['al', 'el', 'a', 'la', 'un']]	[[0.942  0.0175 0.0164 0.0122 0.0016]]
14	[CLS] Carla asedió [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['al', 'su', 'el', 'un', 'como']]	[[0.4452 0.4206 0.0307 0.0287 0.0221]]
15	[CLS] Daniel remolcó [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['al', 'el', 'la', 'su', 'a']]	[[0.5647 0.2043 0.0511 0.05   0.0314]]
16	[CLS] Coral guio [MASK] turista durante toda la mañana. [SEP]	['un']	[['al', 'el', 'de', 'un', 'a']]	[[0.9411 0.0136 0.0098 0.0068 0.006 ]]
