id	input_sentence	masked	top_fillers	probabilities
33	[CLS] Bob Esponja saludó [MASK] Squidward. [SEP]	['a']	[['a', 'Bob', 'al', 'el', 'en']]	[[0.2717 0.1793 0.0684 0.0471 0.0276]]
34	[CLS] La abuela recibió [MASK] los niños. [SEP]	['a']	[['a', 'todos', 'de', ',', 'todo']]	[[0.6281 0.0686 0.0668 0.0197 0.0188]]
35	[CLS] El Goblin verde atacó [MASK] Spiderman. [SEP]	['a']	[['a', 'al', 'el', 'con', 'de']]	[[0.9368 0.0408 0.0039 0.0021 0.001 ]]
36	[CLS] La maestra ayudó [MASK] niño. [SEP]	['al']	[['al', 'a', 'el', 'un', 'mucho']]	[[0.6553 0.116  0.1157 0.0429 0.0082]]
37	[CLS] El ladrón secuestró [MASK] la señora. [SEP]	['a']	[['a', 'de', 'también', 'al', 'en']]	[[0.993  0.0006 0.0005 0.0003 0.0003]]
38	[CLS] Snoopy miró [MASK] su amigo. [SEP]	['a']	[['a', 'en', 'sobre', 'hacia', 'de']]	[[0.5165 0.0755 0.0577 0.0539 0.0505]]
39	[CLS] La maestra castigó [MASK] estudiante. [SEP]	['al']	[['al', 'un', 'el', 'la', 'una']]	[[0.7761 0.0987 0.048  0.0205 0.0176]]
40	[CLS] Buzz Lightyear llevó [MASK] Woody. [SEP]	['a']	[['a', 'al', '.', 'de', ':']]	[[0.6356 0.1394 0.0207 0.0073 0.0056]]
41	[CLS] Plankton conoció [MASK] Bob Esponja. [SEP]	['a']	[['on', ':', 'ja', '##i', '-']]	[[0.0546 0.0427 0.0303 0.0277 0.0267]]
42	[CLS] Mickey abrazó [MASK] Pluto. [SEP]	['a']	[['a', 'Mickey', 'el', 'Pluto', '.']]	[[0.5393 0.189  0.0584 0.0263 0.0231]]
43	[CLS] La abuelita visitó [MASK] niño. [SEP]	['al']	[['un', 'el', 'al', 'otro', 'a']]	[[0.3389 0.3342 0.2156 0.0364 0.0151]]
44	[CLS] Fiona besó [MASK] Shrek. [SEP]	['a']	[['##ka', '##k', '##sa', '##só', '##kata']]	[[0.1989 0.0542 0.0516 0.033  0.0247]]
45	[CLS] La mamá tocó [MASK] bebé. [SEP]	['al']	[['un', 'el', 'al', 'de', 'del']]	[[0.4359 0.153  0.1268 0.0339 0.0234]]
46	[CLS] Hello Kitty vio [MASK] Keroppi. [SEP]	['a']	[['.', '##lme', 'vio', '##l', '##lore']]	[[0.0721 0.0489 0.0445 0.0283 0.0263]]
47	[CLS] Diego llevó [MASK] Isabel. [SEP]	['a']	[['a', 'de', '.', 'con', 'Juana']]	[[0.7684 0.0131 0.0124 0.0083 0.0082]]
48	[CLS] Eduardo conoció [MASK] Bella. [SEP]	['a']	[['a', 'al', 'Eduardo', 'en', 'à']]	[[0.8253 0.0385 0.0254 0.0122 0.0041]]
49	[CLS] Alejandro abrazó [MASK] Consuelo. [SEP]	['a']	[['a', 'al', 'el', 'con', 'en']]	[[0.7895 0.054  0.0238 0.0211 0.0138]]
50	[CLS] Mario vio [MASK] Jaime. [SEP]	['a']	[['a', 'en', 'vio', '##len', '##leta']]	[[0.1739 0.142  0.123  0.0696 0.0286]]
51	[CLS] El niño visitó [MASK] su abuela. [SEP]	['a']	[['a', 'por', 'con', 'de', ',']]	[[0.7709 0.122  0.0249 0.0138 0.0053]]
52	[CLS] Julieta besó [MASK] Romeo. [SEP]	['a']	[[',', '##k', ':', '.', '##t']]	[[0.1438 0.1122 0.0865 0.0817 0.0391]]
53	[CLS] Ana tocó [MASK] bebé. [SEP]	['al']	[['un', 'el', 'al', 'a', 'de']]	[[0.2739 0.155  0.1129 0.0552 0.0408]]
54	[CLS] La familia acogió [MASK] la inmigrante. [SEP]	['a']	[['a', 'de', 'tanto', 'también', 'en']]	[[0.9898 0.001  0.0006 0.0005 0.0005]]
55	[CLS] El ladrón atacó [MASK] presidente. [SEP]	['al']	[['al', 'el', 'a', 'un', 'del']]	[[0.8842 0.0851 0.0129 0.0053 0.0024]]
56	[CLS] Cristina saludó [MASK] los novios. [SEP]	['a']	[['a', 'todos', 'con', ',', 'y']]	[[0.9048 0.0291 0.0159 0.0045 0.004 ]]
57	[CLS] El bandido secuestró [MASK] la mujer. [SEP]	['a']	[['a', 'de', 'al', 'también', 'gravemente']]	[[0.9943 0.0004 0.0003 0.0003 0.0003]]
58	[CLS] La maestra ayudó [MASK] niño. [SEP]	['al']	[['al', 'a', 'el', 'un', 'mucho']]	[[0.6553 0.116  0.1157 0.0429 0.0082]]
59	[CLS] La maestra castigó [MASK] estudiante. [SEP]	['al']	[['al', 'un', 'el', 'la', 'una']]	[[0.7761 0.0987 0.048  0.0205 0.0176]]
60	[CLS] El juez juzgó [MASK] criminal. [SEP]	['al']	[['lo', 'el', 'al', 'tribunal', 'juicio']]	[[0.1495 0.0657 0.0614 0.0284 0.0244]]
