id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
125	affected	Felipe eliminó a un rehén en pocos segundos.	un	['un', 'su', 'la', 'los', 'otro']	[0.3802 0.2093 0.1845 0.0433 0.0419]	0.0004	32	0.1845	2	0.3802	0
126	affected	Amaya neutralizó a un enemigo en cinco minutos.	un	['su', 'un', 'nuestro', 'cualquier', 'fuego']	[0.8378 0.058  0.0213 0.0155 0.0118]	0.0003	27	0.003	9	0.058	1
127	affected	Joaquín abatió a un contrincante en unos minutos.	un	['su', 'un', 'otro', 'sus', 'cualquier']	[0.9352 0.0346 0.0221 0.001  0.0009]	0.0	27	0.0003	12	0.0346	1
128	affected	Martina arrolló a un peatón en cuestión de segundos.	un	['un', 'otro', 'su', 'algún', 'una']	[0.9691 0.022  0.0025 0.0014 0.0007]	0.0001	20	0.0002	12	0.9691	0
129	affected	Carlos derribó a un futbolista en dos segundos.	un	['un', 'la', 'otro', 'este', 'los']	[0.7099 0.0775 0.0683 0.0218 0.0171]	0.0013	20	0.0775	1	0.7099	0
130	affected	Lucía destrozó a un oponente en dos asaltos.	un	['su', 'un', 'otro', 'este', 'sus']	[0.9787 0.0147 0.0021 0.0008 0.0005]	0.0	28	0.0002	12	0.0147	1
131	affected	Mateo quemó a una bruja en poco más de media hora.	una	['la', 'una', 'su', 'esa', 'esta']	[0.8114 0.1466 0.0188 0.0066 0.0045]	0.0	85	0.8114	0	0.1466	1
132	affected	Valentina venció a un adversario en menos de una hora.	un	['su', 'un', 'otro', 'cada', 'este']	[0.9907 0.0046 0.001  0.0008 0.0006]	0.0	34	0.0	17	0.0046	1
133	affected	Luis zarandeó a un hombre durante algunos minutos.	un	['su', 'un', 'este', 'ese', 'otro']	[0.5971 0.2142 0.0751 0.0313 0.0245]	0.0005	19	0.0018	11	0.2142	1
134	affected	María transportó a un mochilero durante todo el día.	un	['su', 'un', 'este', 'cada', 'ese']	[0.3435 0.2184 0.1993 0.0597 0.041 ]	0.0059	9	0.0268	5	0.2184	1
135	affected	Lucas arrastró a un soldado durante un buen rato.	un	['su', 'un', 'este', 'la', 'ese']	[0.2908 0.2326 0.1341 0.0855 0.0765]	0.0057	11	0.0855	3	0.2326	1
136	affected	Claudia maltrató a una compañera durante varios años.	una	['su', 'una', 'la', 'esta', 'esa']	[0.9097 0.049  0.0163 0.0109 0.0028]	0.0	90	0.0163	2	0.049	1
137	affected	Hugo apaleó a un rebelde durante varios minutos.	un	['la', 'un', 'los', 'este', 'su']	[0.3153 0.2303 0.0762 0.037  0.0216]	0.0016	18	0.3153	0	0.2303	1
138	affected	Carla asedió a una contrincante durante bastante tiempo.	una	['su', 'un', 'la', 'una', 'otro']	[0.9714 0.0125 0.0034 0.0022 0.0015]	0.0001	23	0.0034	2	0.0125	1
139	affected	Daniel remolcó a un enfermo durante algunos minutos.	un	['un', 'su', 'los', 'la', '[UNK]']	[0.1795 0.0837 0.0633 0.0575 0.0296]	0.0008	149	0.0633	2	0.1795	0
140	affected	Coral guio a un turista durante toda la mañana.	un	['cada', 'un', 'la', 'este', 'los']	[0.2889 0.2318 0.2181 0.1094 0.0271]	0.0022	16	0.2181	2	0.2318	1
141	non-affected	Carlos vigiló a un bebé durante unos minutos.	un	['la', 'su', 'un', 'los', 'ese']	[0.5578 0.3406 0.028  0.0135 0.0104]	0.0022	12	0.5578	0	0.028	2
142	non-affected	Irene oyó a una niña durante horas.	una	['la', 'una', 'su', 'esta', 'esa']	[0.959  0.0168 0.0101 0.0041 0.0038]	0.0	38	0.959	0	0.0168	1
143	non-affected	Pablo tuvo a un ayudante durante varios años.	un	['su', 'un', 'este', '[UNK]', 'una']	[0.6066 0.1477 0.0498 0.0216 0.013 ]	0.0002	138	0.0039	10	0.1477	1
144	non-affected	Isabel vio a un estudiante durante toda la mañana.	un	['la', 'un', 'su', 'una', 'cada']	[0.2612 0.2575 0.1474 0.0631 0.0307]	0.0008	29	0.2612	0	0.2575	1
145	non-affected	Unai amó a una joven durante varios años.	una	['la', 'una', 'este', 'un', 'esta']	[0.7048 0.0719 0.0539 0.0474 0.0409]	0.0003	26	0.7048	0	0.0719	1
146	non-affected	Valeria admiró a un cantante durante toda su vida.	un	['la', 'esta', 'este', 'su', 'esa']	[0.8416 0.0615 0.0529 0.0229 0.005 ]	0.0004	13	0.8416	0	0.0009	9
147	non-affected	Adrián percibió a una mujer durante algunos minutos.	una	['la', 'una', 'su', 'otra', 'esta']	[0.4901 0.3087 0.1083 0.0317 0.0229]	0.0	87	0.4901	0	0.3087	1
148	non-affected	Emma investigó a un político durante varias semanas.	un	['un', 'este', 'ese', 'su', '[UNK]']	[0.2115 0.138  0.0658 0.0438 0.0245]	0.0003	355	0.0121	5	0.2115	0
149	non-affected	Ismael encontró a un conocido en cuestión de segundos.	un	['su', 'un', 'otro', 'este', 'ese']	[0.5901 0.3207 0.0223 0.0154 0.0085]	0.0	306	0.0005	20	0.3207	1
150	non-affected	Sofía conoció a un chico en un par de días.	un	['un', 'este', 'ese', 'otro', 'su']	[0.4774 0.3377 0.1169 0.0296 0.0094]	0.0001	29	0.0004	13	0.4774	0
151	non-affected	Martín detectó a un intruso en un par de minutos.	un	['un', 'su', 'otro', 'este', 'ese']	[0.7483 0.0952 0.076  0.0204 0.0096]	0.0003	25	0.0025	10	0.7483	0
152	non-affected	Elena localizó a una amiga al cabo de dos horas.	una	['su', 'una', 'la', 'mi', 'sus']	[0.8192 0.0849 0.0674 0.0038 0.0031]	0.0	165	0.0674	2	0.0849	1
153	non-affected	Alejandro identificó a un agresor en menos de dos minutos.	un	['su', 'un', 'este', 'cada', 'otro']	[0.9606 0.0255 0.0026 0.0017 0.0016]	0.0004	10	0.0007	9	0.0255	1
154	non-affected	Marta descartó a un aspirante en un minuto.	un	['la', 'un', 'su', 'una', 'cada']	[0.5597 0.1072 0.0804 0.0451 0.0441]	0.0009	25	0.5597	0	0.1072	1
155	non-affected	Samuel descubrió a un infiltrado en un par de días.	un	['su', 'un', 'nuestro', 'alguien', 'este']	[0.4081 0.3289 0.1152 0.0405 0.0247]	0.0	84	0.0005	15	0.3289	1
156	non-affected	Alba mencionó a un actor tras varios minutos de reflexión.	un	['su', 'este', 'dicho', 'ese', 'un']	[0.3772 0.361  0.0609 0.0438 0.0421]	0.0024	14	0.0166	5	0.0421	4
