id	sentence	masked	top_fillers	probabilities
33	La cebra que ensució a [la turista] descansaba plácidamente.	['la', 'turista']	[['su', 'la', 'mi', 'los', 'sus'], ['##a', '##o', ',', '##s', '##to']]	[[0.08321662992238998, 0.04072071611881256, 0.025563111528754234, 0.022688541561365128, 0.016264716163277626], [0.03177742287516594, 0.02569066546857357, 0.016467446461319923, 0.01463907677680254, 0.010083276778459549]]
34	La cabra que empujó a [la pastora] respiraba velozmente.	['la', 'pastora']	[['la', 'su', 'los', 'Med', 'Ga'], ['##a', '##s', '##o', '##ia', ',']]	[[0.07667452841997147, 0.026208383962512016, 0.022458862513303757, 0.010100697167217731, 0.009608380496501923], [0.04053685814142227, 0.02733994834125042, 0.02268332429230213, 0.01149881910532713, 0.01127498596906662]]
35	La serpiente que detestaba a [la veterinaria] entró sigilosamente.	['la', 'veterinaria']	[['la', 'su', 'los', 'W', '[UNK]'], ['##a', '##o', ',', '##s', '##n']]	[[0.050523847341537476, 0.0370628722012043, 0.03290858492255211, 0.01146561000496149, 0.010370196774601936], [0.028712432831525803, 0.02149445004761219, 0.01963753066956997, 0.014155152253806591, 0.012608050368726254]]
36	La leoparda que oyó a [la dueña] corrió repentinamente.	['la', 'dueña']	[['la', 'su', 'los', 'sus', '[UNK]'], ['gritos', '##se', ',', '##ar', '##r']]	[[0.11104766279459, 0.07497640699148178, 0.057317689061164856, 0.05324096977710724, 0.026593727990984917], [0.043277084827423096, 0.03209816664457321, 0.023019669577479362, 0.01705009490251541, 0.01631794311106205]]
37	El pony que buscaba al [jinete] chillaba tristemente.	['jinete']	[['niño', 'perro', 'bebé', 'padre', 'chico']]	[[0.08764960616827011, 0.051399875432252884, 0.029804985970258713, 0.025240246206521988, 0.021298591047525406]]
38	El león que mató al [cazador] caminaba lentamente.	['cazador']	[['rey', 'león', 'dragón', 'hombre', 'perro']]	[[0.09118317067623138, 0.05561135336756706, 0.04422178491950035, 0.040452949702739716, 0.035386230796575546]]
39	El caballo que miraba al [cuidador] gruñía desconsoladamente.	['cuidador']	[['cielo', 'suelo', 'lado', 'río', 'otro']]	[[0.041708897799253464, 0.03351135551929474, 0.03214900195598602, 0.02974853664636612, 0.02891773171722889]]
40	El tigre que atacó al [domador] dormía tranquilamente.	['domador']	[['tigre', 'perro', 'león', 'dragón', 'niño']]	[[0.09841430932283401, 0.04629075899720192, 0.04509685933589935, 0.03465067222714424, 0.03383850306272507]]
41	El loro que observó al [cantante] cantaba claramente.	['cantante']	[['pájaro', 'ave', 'amanecer', 'perro', 'animal']]	[[0.06994714587926865, 0.04558054730296135, 0.04547660052776337, 0.04149293154478073, 0.03592589125037193]]
42	Las panteras que atacaron a [las empleadas] descansaban tranquilamente.	['las', 'empleadas']	[['la', 'los', 'W', '[UNK]', 'su'], ['##o', '##a', '##u', '##on', '##i']]	[[0.032020557671785355, 0.029712224379181862, 0.025957537814974785, 0.017160074785351753, 0.011521212756633759], [0.02703334204852581, 0.02580607496201992, 0.014517633244395256, 0.014151718467473984, 0.013744954019784927]]
43	Las burras que pisaron a [las mujeres] gruñían claramente.	['las', 'mujeres']	[['la', 'los', 'su', 'mi', 'sus'], ['##o', '##a', ',', '##y', '##cho']]	[[0.05012623593211174, 0.047179099172353745, 0.03652532026171684, 0.022212475538253784, 0.015108926221728325], [0.029872901737689972, 0.027079183608293533, 0.014062797650694847, 0.013287016190588474, 0.012066083028912544]]
44	Las conejas que olieron a [las chicas] saltaban continuamente.	['las', 'chicas']	[['mos', 'mo', 'vómi', 'pol', 'ar'], ['##s', '##ho', '##o', '##a', '##go']]	[[0.04592268168926239, 0.03215045481920242, 0.017976446077227592, 0.01652073860168457, 0.013911273330450058], [0.04449541121721268, 0.03506535291671753, 0.020901888608932495, 0.020523155108094215, 0.01880582608282566]]
45	Las gallinas que detestaban a [las señoras] comían lentamente.	['las', 'señoras']	[['los', 'las', 'la', 'sus', 'su'], ['gallinas', ',', 'animales', 'gallina', '##o']]	[[0.18619345128536224, 0.08821836113929749, 0.08233503252267838, 0.05174993351101875, 0.04410234093666077], [0.07852677255868912, 0.0355430468916893, 0.02758876606822014, 0.020837528631091118, 0.018666815012693405]]
46	Las lobas que empujaron a [las ecólogas] salieron repentinamente.	['las', 'ecólogas']	[['la', 'los', 'su', 'las', '[UNK]'], ['##a', '##s', '##us', '##on', '##o']]	[[0.10091765224933624, 0.09816308319568634, 0.023251669481396675, 0.022431910037994385, 0.020110249519348145], [0.020662741735577583, 0.01944536715745926, 0.012423476204276085, 0.011176219210028648, 0.010557134635746479]]
47	Los pájaros que miraban a [los críos] cantaban alegremente.	['los', 'críos']	[['la', 'su', 'los', 'sus', 'las'], ['puerta', 'ventana', 'luna', 'ojos', 'casa']]	[[0.3901998996734619, 0.09287083148956299, 0.07726669311523438, 0.03596104308962822, 0.033166103065013885], [0.061486586928367615, 0.05033323913812637, 0.02724877931177616, 0.026849539950489998, 0.01905875839293003]]
48	Los delfines que mataron a [los pescadores] gemían fuertemente.	['los', 'pescadores']	[['los', 'la', 'W', 'su', '[UNK]'], ['##y', '##a', '##e', '##o', '##on']]	[[0.040020737797021866, 0.0398276224732399, 0.029177775606513023, 0.01847884990274906, 0.014464695937931538], [0.020636778324842453, 0.01865675114095211, 0.013725514523684978, 0.01207263208925724, 0.011643722653388977]]
49	Los cocodrilos que vieron a [los asistentes] nadaban frenéticamente.	['los', 'asistentes']	[['la', 'los', 'su', '[UNK]', 'W'], [',', '##y', '##a', '##s', '##ger']]	[[0.07689487934112549, 0.05728894844651222, 0.049761589616537094, 0.029954420402646065, 0.018257325515151024], [0.016607197001576424, 0.014142824336886406, 0.013815726153552532, 0.012542436830699444, 0.010940046049654484]]
50	Los flamencos que escucharon a [los ayudantes] dormían felizmente.	['los', 'ayudantes']	[['la', 'los', 'su', 'W', 'sus'], ['##a', '##agner', '##o', '##s', '##i']]	[[0.06407480686903, 0.03596547991037369, 0.019886568188667297, 0.016474159434437752, 0.014948340132832527], [0.03003428690135479, 0.019182607531547546, 0.016281386837363243, 0.010316742584109306, 0.010314312763512135]]
