id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó [MASK] música. [SEP]	['la']	[['la', 'una', 'a', 'con', 'de']]	[[0.9342 0.0151 0.0116 0.002  0.0019]]
62	[CLS] Blanca Nieves comió [MASK] manzana. [SEP]	['la']	[['la', 'una', 'a', 'el', 'en']]	[[0.8123 0.054  0.0372 0.0102 0.0085]]
63	[CLS] El niño aprendío [MASK] matemáticas. [SEP]	['las']	[['las', 'aprender', 'les', 'sus', 'algunas']]	[[0.7732 0.0194 0.0172 0.0149 0.0121]]
64	[CLS] Antonio bebió [MASK] refresco. [SEP]	['un']	[['de', 'el', 'un', 'del', 'al']]	[[0.2689 0.2116 0.1181 0.1138 0.0483]]
65	[CLS] Alfonso arregló [MASK] bicicleta. [SEP]	['la']	[['la', 'una', 'en', 'de', 'su']]	[[0.31   0.1825 0.1472 0.1032 0.0996]]
66	[CLS] Mafalda leyó [MASK] [SEP]	['libro.']	[[':', '.', ';', ',', '!']]	[[0.3764 0.3609 0.1697 0.0437 0.0097]]
67	[CLS] Los amigos firmaron [MASK] [SEP]	['papel.']	[['.', ':', ';', 'un', ',']]	[[0.5878 0.1328 0.0468 0.0382 0.0174]]
68	[CLS] El niño tocó [MASK] planta. [SEP]	['la']	[['una', 'la', 'su', 'de', 'otra']]	[[0.4416 0.326  0.0302 0.0231 0.0229]]
69	[CLS] El hombre llevó [MASK] [SEP]	['paraguas.']	[['.', ',', ':', 'y', ';']]	[[0.7532 0.0298 0.0102 0.0057 0.0052]]
70	[CLS] La niña abrazó [MASK] [SEP]	['oso.']	[['.', ',', ';', ':', '!']]	[[0.7425 0.1005 0.0731 0.0292 0.0062]]
71	[CLS] María besó [MASK] [SEP]	['arbol.']	[['##n', '.', ':', '##in', '##sa']]	[[0.398  0.0666 0.0651 0.0246 0.0223]]
72	[CLS] Miguel vio [MASK] pelota. [SEP]	['la']	[['a', 'la', 'vio', 'una', 'na']]	[[0.2502 0.1756 0.1557 0.0316 0.0274]]
73	[CLS] Los niños visitaron [MASK] [SEP]	['museo.']	[['.', ':', ';', 'la', 'el']]	[[0.6406 0.1366 0.0554 0.0163 0.0143]]
74	[CLS] Jimmy Newtron conoció [MASK] Flags. [SEP]	['Six']	[['Flags', 'Six', '.', 'Two', 'Seven']]	[[0.3381 0.1796 0.0349 0.02   0.0123]]
75	[CLS] Julián tocó [MASK] planta. [SEP]	['la']	[['la', 'una', 'na', 'a', 'de']]	[[0.3351 0.1017 0.0995 0.0678 0.028 ]]
76	[CLS] El viejo llevó [MASK] [SEP]	['paraguas.']	[['.', ':', ',', ';', '?']]	[[0.7274 0.0281 0.0148 0.0095 0.0078]]
77	[CLS] La niña abrazó [MASK] [SEP]	['osito.']	[['.', ',', ';', ':', '!']]	[[0.7425 0.1005 0.0731 0.0292 0.0062]]
78	[CLS] Beto besó [MASK] [SEP]	['trofeo.']	[['##k', '##t', '##só', '##n', '##rt']]	[[0.1663 0.1285 0.0854 0.0566 0.0307]]
79	[CLS] Victor vio [MASK] pelota. [SEP]	['la']	[['a', 'vio', '##l', '##leta', 'na']]	[[0.1041 0.1019 0.0876 0.0442 0.0402]]
80	[CLS] Los niños visitaron [MASK] [SEP]	['museo.']	[['.', ':', ';', 'la', 'el']]	[[0.6406 0.1366 0.0554 0.0163 0.0143]]
83	[CLS] Alfonso arregló [MASK] bicicleta roja. [SEP]	['la']	[['una', 'la', 'su', 'con', 'en']]	[[0.5393 0.3053 0.0477 0.0151 0.0144]]
84	[CLS] Antonio bebió [MASK] coca cola. [SEP]	['la']	[['la', 'de', 'con', 'una', 'a']]	[[0.4606 0.1235 0.0761 0.0743 0.0586]]
85	[CLS] Estefanía compró [MASK] auto. [SEP]	['un']	[['el', 'un', 'o', 'la', 'a']]	[[0.3639 0.1436 0.137  0.0533 0.0235]]
87	[CLS] Carlos leyó [MASK] novela. [SEP]	['una']	[['la', 'una', 'esta', 'La', 'su']]	[[0.896  0.0237 0.0108 0.0094 0.009 ]]
88	[CLS] Los novios firmaron [MASK] contrato. [SEP]	['el']	[['el', 'un', 'otro', 'de', 'su']]	[[0.5108 0.3254 0.0159 0.0157 0.0106]]
