id	condition	input_sentence	masked	dom_top_fillers	dom_probabilities	dom_dom_prob	dom_def_prob	dom_indef_prob	dom_discrepancy	unmarked_top_fillers	unmarked_probabilities	unmarked_dom_prob	unmarked_def_prob	unmarked_indef_prob	unmarked_discrepancy
34	animate	La abuela recibió (a) los niños.	los	['los', 'ambos', 'dos', 'muchos', 'varios']	[0.7836 0.0318 0.0204 0.0176 0.0165]	0.0	0.7836	0.0016	0.7819999999999999	['dos', 'tres', 'cinco', 'cuatro', 'seis']	[0.121  0.1016 0.084  0.0763 0.0497]	0.0176	0.0328	0.0021	0.0307
37	animate	El ladrón secuestró (a) la señora.	la	['la', 'una', 'esa', 'mi', 'esta']	[0.4648 0.3547 0.0419 0.0404 0.0381]	0.0	0.4648	0.3547	0.11009999999999998	['una', 'la', 'a', 'mi', 'esta']	[0.643  0.1247 0.0504 0.0408 0.0286]	0.0504	0.1247	0.643	-0.5183
38	animate	Snoopy miró (a) su amigo.	su	['su', 'un', 'mi', 'otro', 'sus']	[0.9129 0.0705 0.0047 0.0031 0.0014]	0.0	0.0001	0.0705	-0.07039999999999999	[',', 'al', 'su', 'mi', 'tu']	[0.4973 0.2195 0.1036 0.0365 0.0231]	0.2195	0.005	0.0217	-0.0167
51	animate	El niño visitó (a) su abuela.	su	['su', 'la', 'una', 'mi', 'tu']	[0.762  0.2079 0.0244 0.0016 0.001 ]	0.0	0.2079	0.0244	0.1835	['su', 'la', 'una', 'a', 'al']	[0.4492 0.2671 0.1412 0.1015 0.0051]	0.1015	0.2671	0.1412	0.1259
54	animate	La familia acogió (a) la inmigrante.	la	['un', 'otro', 'una', 'la', 'algún']	[0.8352 0.0614 0.0449 0.0096 0.0092]	0.001	0.0096	0.8352	-0.8256	['al', 'un', 'a', 'como', 'una']	[0.806  0.0989 0.0205 0.0159 0.0069]	0.806	0.0049	0.0989	-0.094
56	animate	Cristina saludó (a) los novios.	los	['los', 'sus', 'ambos', 'otros', 'su']	[0.8505 0.1307 0.0091 0.0018 0.001 ]	0.0	0.8505	0.0005	0.8500000000000001	['los', 'sus', 'a', 'como', 'al']	[0.5806 0.1006 0.0774 0.0771 0.0734]	0.0774	0.5806	0.001	0.5796
57	animate	El bandido secuestró (a) la mujer.	la	['una', 'la', 'su', 'otra', 'esta']	[0.3879 0.3604 0.1609 0.032  0.0273]	0.0	0.3604	0.3879	-0.027500000000000024	['una', 'la', 'otra', 'su', 'a']	[0.8253 0.0507 0.0406 0.0383 0.0141]	0.0141	0.0507	0.8253	-0.7746000000000001
61	inanimate	Alejandra escuchó (a) la música.	la	['la', 'su', '[UNK]', 'hacer', 'escuchar']	[0.2407 0.0699 0.0649 0.0266 0.0245]	0.0001	0.2407	0.002	0.2387	['la', 'su', 'mucha', 'esta', 'esa']	[0.3304 0.2416 0.1618 0.0522 0.0515]	0.0007	0.3304	0.0107	0.31970000000000004
62	inanimate	Blanca Nieves comió (a) la manzana.	la	['la', 'una', 'su', 'otra', 'media']	[0.6447 0.2077 0.0914 0.011  0.0076]	0.0	0.6447	0.2077	0.43700000000000006	['una', 'la', 'su', 'otra', 'media']	[0.4903 0.3689 0.0509 0.0176 0.0154]	0.0003	0.3689	0.4903	-0.12140000000000001
63	inanimate	El niño aprendío (a) las matemáticas.	las	['hacer', 'aprender', 'las', 'usar', 'escribir']	[0.2414 0.127  0.0835 0.0675 0.0607]	0.0001	0.0835	0.0001	0.0834	['las', 'a', 'de', 'en', 'muchas']	[0.3534 0.1279 0.0964 0.0725 0.052 ]	0.1279	0.3534	0.0059	0.3475
