id	es	en
1	Bob Esponja saludó a [Squidward].	Spongebob greeted [Squidward].
2	La abuela recibió a [los niños].	The grandmother received [the children].
3	El Goblin verde atacó a [Spiderman].	Green Goblin attacked [Spiderman].
4	La maestra ayudó al [niño].	The teacher helped [the boy].
5	El ladrón secuestró a [la señora].	The thief kidnapped [the woman].
6	Snoopy miró a [su amigo].	Snoopy stared at [his friend].
7	La maestra castigó al [estudiante].	The teacher grounded [the student].
8	Buzz Lightyear llevó a [Woody].	Buzz Lightyear took/carried [Woody].
9	Plankton conoció a [Bob Esponja].	Plankton met [Spongebob].
10	Mickey abrazó a [Pluto].	Mickey huged [Pluto].
11	La abuelita visitó al [niño].	The grandmother visited [the boy].
12	Fiona besó a [Shrek].	Fiona kissed [Shrek].
13	La mamá tocó al [bebé].	The mother touched [the baby].
14	Hello Kitty vio a [Keroppi].	Hello Kitty saw [Keroppi].
15	Diego llevó a [Isabel].	Diego carried [Isabel].
16	Eduardo conoció a [Bella].	Eduardo met [Bella].
17	Alejandro abrazó a [Consuelo].	Alejandro hugged [Consuelo].
18	Mario vio a [Jaime].	Mario saw [James].
19	El niño visitó a [su abuela].	The boy visited [the grandmother].
20	Julieta besó a [Romeo].	Julieta kissed [Romeo].
21	Ana tocó al [bebé].	Ana touched [the baby].
22	La familia acogió a [la inmigrante].	The family welcomed [the immigrant].
23	El ladrón atacó al [presidente].	The robber attacked [the president].
24	Cristina saludó a [los novios].	Cristina greeted [the couple].
25	El bandido secuestró a [la mujer].	The bandit kidnapped [the woman].
26	La maestra ayudó al [niño].	The teacher helped [the boy].
27	La maestra castigó al [estudiante].	The teacher grounded [the student].
28	El juez juzgó al [criminal].	The judge judged [the criminal].
		
		
