id	input_sentence	masked	top_fillers	probabilities
34	La abuela recibió a [MASK] niños .	los	['los', 'ambos', 'dos', 'muchos', 'varios']	[0.7836 0.0318 0.0204 0.0176 0.0165]
37	El ladrón secuestró a [MASK] señora .	la	['la', 'una', 'esa', 'mi', 'esta']	[0.4648 0.3547 0.0419 0.0404 0.0381]
38	Snoopy miró a [MASK] amigo .	su	['su', 'un', 'mi', 'otro', 'sus']	[0.9129 0.0705 0.0047 0.0031 0.0014]
41	Plankton conoció a [MASK] Esponja .	Bob	['Bob', 'Ted', 'Cara', 'Gran', '[UNK]']	[0.9986 0.0004 0.0001 0.0001 0.0001]
51	El niño visitó a [MASK] abuela .	su	['su', 'la', 'una', 'mi', 'tu']	[0.762  0.2079 0.0244 0.0016 0.001 ]
54	La familia acogió a [MASK] inmigrante .	la	['un', 'otro', 'una', 'la', 'algún']	[0.8352 0.0614 0.0449 0.0096 0.0092]
56	Cristina saludó a [MASK] novios .	los	['los', 'sus', 'ambos', 'otros', 'su']	[0.8505 0.1307 0.0091 0.0018 0.001 ]
57	El bandido secuestró a [MASK] mujer .	la	['una', 'la', 'su', 'otra', 'esta']	[0.3879 0.3604 0.1609 0.032  0.0273]
61	Alejandra escuchó a [MASK] música .	la	['la', 'su', '[UNK]', 'hacer', 'escuchar']	[0.2407 0.0699 0.0649 0.0266 0.0245]
62	Blanca Nieves comió a [MASK] manzana .	la	['la', 'una', 'su', 'otra', 'media']	[0.6447 0.2077 0.0914 0.011  0.0076]
63	El niño aprendío a [MASK] matemáticas .	las	['hacer', 'aprender', 'las', 'usar', 'escribir']	[0.2414 0.127  0.0835 0.0675 0.0607]
64	Antonio bebió a [MASK] refresco .	un	['un', 'su', 'menudo', 'tomar', 'veces']	[0.3654 0.1636 0.1075 0.0332 0.0303]
65	Alfonso arregló a [MASK] bicicleta .	la	['la', 'su', 'una', 'mi', 'tu']	[0.4531 0.3281 0.0394 0.0371 0.0274]
66	Mafalda leyó al [MASK] .	libro	['respecto', 'Dr', 'Sr', 'final', 'español']	[0.2599 0.0616 0.0448 0.0355 0.0294]
67	Los amigos firmaron al [MASK] .	papel	['respecto', 'Sr', 'libro', 'Dr', 'principio']	[0.4192 0.0293 0.0185 0.0183 0.0178]
68	El niño tocó a [MASK] planta .	la	['la', 'una', 'su', 'media', 'otra']	[0.6874 0.1589 0.0406 0.0258 0.022 ]
69	El hombre llevó al [MASK] .	paraguas	['hombre', 'niño', 'bebé', 'perro', 'Sr']	[0.1121 0.1071 0.0579 0.0576 0.0571]
70	La niña abrazó al [MASK] .	oso	['niño', 'bebé', 'Sr', 'padre', 'perro']	[0.1746 0.1595 0.0824 0.0464 0.0271]
71	María besó al [MASK] .	arbol	['niño', 'novio', 'príncipe', 'marido', 'bebé']	[0.1332 0.0604 0.0429 0.0388 0.0349]
72	Miguel vio a [MASK] pelota .	la	['la', 'una', 'su', 'otra', 'esa']	[0.7229 0.1577 0.0404 0.007  0.0051]
73	Los niños visitaron a [MASK] .	museo	['[UNK]', 'Mr', 'Dr', 'St', 'M']	[0.2891 0.0582 0.0384 0.0361 0.0165]
74	Jimmy Newtron conoció a [MASK] Flags .	Six	['[UNK]', 'los', 'The', 'Los', 'Billy']	[0.3379 0.0915 0.0533 0.014  0.0092]
75	Julián tocó a [MASK] planta .	la	['la', 'una', 'otra', 'cada', 'esa']	[0.6709 0.0876 0.0591 0.0327 0.0226]
76	El viejo llevó al [MASK] .	paraguas	['niño', 'perro', 'Sr', 'bebé', 'médico']	[0.1167 0.0636 0.0475 0.0352 0.0336]
77	La niña abrazó al [MASK] .	osito	['niño', 'bebé', 'Sr', 'padre', 'perro']	[0.1746 0.1595 0.0824 0.0464 0.0271]
78	Beto besó al [MASK] .	trofeo	['Dr', 'Sr', 'bebé', 'niño', 'gato']	[0.0798 0.0798 0.0587 0.0475 0.0325]
79	Victor vio a [MASK] pelota .	la	['la', 'una', 'su', 'esa', 'otra']	[0.7544 0.12   0.0522 0.0068 0.0055]
80	Los niños visitaron al [MASK] .	museo	['Sr', 'Dr', '[UNK]', 'niño', 'médico']	[0.2593 0.2277 0.0149 0.0141 0.0096]
83	Alfonso arregló a [MASK] bicicleta roja .	la	['la', 'su', 'una', 'esta', 'mi']	[0.6459 0.1629 0.098  0.0108 0.0087]
84	Antonio bebió a [MASK] coca cola .	la	['la', 'escondidas', 'veces', 'menudo', 'propósito']	[0.1729 0.1549 0.0939 0.0936 0.0387]
85	Estefanía compró a [MASK] auto .	un	['su', 'un', 'este', '[UNK]', 'mi']	[0.3477 0.2156 0.0446 0.0202 0.0113]
87	Carlos leyó a [MASK] novela .	una	['la', 'su', 'esta', 'una', 'esa']	[0.8092 0.0955 0.0355 0.0159 0.0048]
88	Los novios firmaron al [MASK] .	contrato	['respecto', 'instante', 'novio', 'matrimonio', 'Sr']	[0.2647 0.0439 0.0377 0.0256 0.0215]
