id	condition	input_sentence	score_dom	score_unmarked	discrepancy
33	animate	Bob Esponja saludó (a) Squidward.	0.1893	0.154	0.03526240587234497
34	animate	La abuela recibió (a) los niños.	0.2133	0.1476	0.06571756303310394
35	animate	El Goblin verde atacó (a) Spiderman.	0.2666	0.1545	0.11214660108089447
36	animate	La maestra ayudó al/el niño.	0.1671	0.1388	0.028289318084716797
37	animate	El ladrón secuestró (a) la señora.	0.2514	0.1297	0.12163160741329193
38	animate	Snoopy miró (a) su amigo.	0.2167	0.1513	0.06533351540565491
39	animate	La maestra castigó al/el estudiante.	0.0978	0.099	-0.0011444911360740662
40	animate	Buzz Lightyear llevó (a) Woody.	0.2196	0.1159	0.10376469790935516
41	animate	Plankton conoció (a) Bob Esponja.	0.0184	0.0136	0.0048642586916685104
42	animate	Mickey abrazó (a) Pluto.	0.2284	0.1306	0.09781548380851746
43	animate	La abuelita visitó al/el niño.	0.1413	0.1368	0.004506245255470276
44	animate	Fiona besó (a) Shrek.	0.123	0.0062	0.11674138437956572
45	animate	La mamá tocó al/el bebé.	0.1281	0.1245	0.00353182852268219
46	animate	Hello Kitty vio (a) Keroppi.	0.1162	0.0134	0.1027934830635786
47	animate	Diego llevó (a) Isabel.	0.3051	0.1609	0.14416857063770294
48	animate	Eduardo conoció (a) Bella.	0.2432	0.0583	0.18489958345890045
49	animate	Alejandro abrazó (a) Consuelo.	0.3071	0.1778	0.1292695701122284
50	animate	Mario vio (a) Jaime.	0.1608	0.0088	0.1519597079604864
51	animate	El niño visitó (a) su abuela.	0.236	0.1502	0.08586063981056213
52	animate	Julieta besó (a) Romeo.	0.097	0.0023	0.09467546106316149
53	animate	Ana tocó al/el bebé.	0.1757	0.1745	0.0011664479970932007
54	animate	La familia acogió (a) la inmigrante.	0.2668	0.1484	0.1183944046497345
55	animate	El ladrón atacó al/el presidente.	0.1272	0.1257	0.001522749662399292
56	animate	Cristina saludó (a) los novios.	0.2912	0.1669	0.12430298328399658
57	animate	El bandido secuestró (a) la mujer.	0.2381	0.1203	0.11780056357383728
58	animate	La maestra ayudó al/el niño.	0.1671	0.1388	0.028289318084716797
59	animate	La maestra castigó al/el estudiante.	0.0978	0.099	-0.0011444911360740662
60	animate	El juez juzgó al/el criminal.	0.1256	0.1243	0.0012628063559532166
61	inanimate	Alejandra escuchó (a) la música.	0.1969	0.1705	0.026339024305343628
62	inanimate	Blanca Nieves comió (a) la manzana.	0.1908	0.1505	0.040251925587654114
63	inanimate	El niño aprendío (a) las matemáticas.	0.2072	0.1298	0.0774044543504715
64	inanimate	Antonio bebió (a) un refresco.	0.1281	0.1512	-0.023065686225891113
65	inanimate	Alfonso arregló (a) la bicicleta.	0.1758	0.1842	-0.008429720997810364
66	inanimate	Mafalda leyó al/el libro.	0.1725	0.169	0.003494635224342346
67	inanimate	Los amigos firmaron al/el papel.	0.1398	0.1432	-0.0033929049968719482
68	inanimate	El niño tocó (a) la planta.	0.1345	0.1298	0.004733651876449585
69	inanimate	El hombre llevó al/el paraguas.	0.1184	0.1203	-0.0019791200757026672
70	inanimate	La niña abrazó al/el oso.	0.1446	0.1373	0.007390379905700684
71	inanimate	María besó al/el arbol.	0.007	0.0023	0.0047037797048687935
72	inanimate	Miguel vio (a) la pelota.	0.1703	0.1791	-0.008832082152366638
73	inanimate	Los niños visitaron (a) museo.	0.1551	0.1029	0.05220203846693039
74	inanimate	Jimmy Newtron conoció (a) Six Flags.	0.0926	0.0013	0.09129724849481136
75	inanimate	Julián tocó (a) la planta.	0.1663	0.1693	-0.0029814690351486206
76	inanimate	El viejo llevó al/el paraguas.	0.1255	0.1224	0.0031179040670394897
77	inanimate	La niña abrazó al/el osito.	0.1324	0.1283	0.004044696688652039
78	inanimate	Beto besó al/el trofeo.	0.1619	0.1786	-0.016764044761657715
79	inanimate	Victor vio (a) la pelota.	0.146	0.1668	-0.020805254578590393
80	inanimate	Los niños visitaron al/el museo.	0.1556	0.1564	-0.0008061379194259644
81	inanimate	Raquel conoció (a) Chicago.	0.2749	0.1778	0.09701474010944366
82	inanimate	Esteban estudió (a) matemáticas.	0.1491	0.1917	-0.04258953034877777
83	inanimate	Alfonso arregló (a) la bicicleta roja.	0.1602	0.1517	0.008549273014068604
84	inanimate	Antonio bebió (a) la coca cola.	0.1733	0.1385	0.034839361906051636
85	inanimate	Estefanía compró (a) un auto.	0.1937	0.1722	0.02154351770877838
86	inanimate	Mercedes escuchó (a) música.	0.186	0.2164	-0.030340462923049927
87	inanimate	Carlos leyó (a) una novela.	0.1428	0.1511	-0.008307114243507385
88	inanimate	Los novios firmaron al/el contrato.	0.1594	0.1582	0.0012512505054473877
