id	es	en
29	Alejandra escuchó [la música].	Alejandra listened to [the music].
30	Blanca Nieves comió [la manzana].	Snow White ate [the apple].
31	El niño aprendío [las matemáticas].	The boy learned [mathematics].
32	Antonio bebió [un refresco].	Antonio drank [a soda].
33	Alfonso arregló [la bicicleta].	Alfonso fixed [the bike].
34	Mafalda leyó [el libro].	Mafalda read [the book].
35	Los amigos firmaron [el papel].	The friends signed [the paper].
36	El niño tocó [la planta].	The boy touched [the plant].
37	El hombre llevó [el paraguas].	The man took/carried [the umbrella].
38	La niña abrazó [el oso].	The girl hugged [the bear].
39	María besó [el arbol].	Maria kissed [the tree].
40	Miguel vio [la pelota].	Miguel saw [the ball].
41	Los niños visitaron [el museo].	The children visited [the museum].
42	Jimmy Newtron conoció [Six Flags].	Jimmy Neutron went to [Six Flags] (for the first time).
43	Julián tocó [la planta].	Julian touched [the plant].
44	El viejo llevó [el paraguas].	The man took/carried [the umbrella].
45	La niña abrazó [el osito].	The girl [hugged the] teddy bear.
46	Beto besó [el trofeo].	Beto kissed [the trophy].
47	Victor vio [la pelota].	Victor saw [the ball].
48	Los niños visitaron [el museo].	The children visited [the museum].
49	Raquel conoció [Chicago].	Raquel went to [Chicago] (for the first time).
50	Esteban estudió [matemáticas].	Esteban studied [math].
51	Alfonso arregló [la bicicleta roja].	Alfonso fixed [the red bike].
52	Antonio bebió la [coca cola].	Antonio drank [a coke].
53	Estefanía compró [un auto].	Estefanía bought [a car].
54	Mercedes escuchó [música].	Mercedes listened to [music].
55	Carlos leyó [una novela].	Carlos read [a novel].
56	Los novios firmaron [el contrato].	The couple signed [the contract].
		
