id	input_sentence	masked	top_fillers	probabilities
105	[CLS] La artista que pisó [MASK] perra andaba sigilosamente. [SEP]	['la']	[['la', 'una', 'a', 'su', 'esa']]	[[0.7812 0.1189 0.0187 0.0106 0.0074]]
106	[CLS] La bióloga que abrazó [MASK] gorila sonreía incesantemente. [SEP]	['la']	[['el', 'al', 'un', 'a', 'la']]	[[0.6817 0.1391 0.0916 0.0173 0.0103]]
107	[CLS] La voluntaria que tocó [MASK] tortuga bebía continuamente. [SEP]	['la']	[['la', 'una', 'a', 'esta', 'el']]	[[0.8929 0.0432 0.0192 0.011  0.0031]]
108	[CLS] La ciclista que vio [MASK] vaca comía distraídamente. [SEP]	['la']	[['la', 'una', 'a', 'el', 'esta']]	[[0.8541 0.0975 0.0092 0.0059 0.0024]]
109	[CLS] La granjera que olió [MASK] cerda salió inesperadamente. [SEP]	['la']	[['la', 'de', 'una', 'en', 'a']]	[[0.4612 0.1474 0.0498 0.0475 0.0442]]
114	[CLS] Las zoólogas que observaron [MASK] palomas bebían plácidamente. [SEP]	['las']	[['las', 'los', 'estas', 'sus', 'la']]	[[0.8139 0.0907 0.0245 0.0152 0.0078]]
115	[CLS] Las hermanas que buscaron [MASK] gatas entraron inesperadamente. [SEP]	['las']	[['los', 'las', 'estos', 'sus', 'a']]	[[0.6981 0.156  0.0244 0.0203 0.0153]]
116	[CLS] Las niñas que adoraban [MASK] ardillas chillaban alegremente. [SEP]	['las']	[['las', 'estas', 'sus', 'a', 'Las']]	[[0.9444 0.0098 0.0081 0.0057 0.0028]]
117	[CLS] Las estudiantes que pegaron [MASK] monas paseaban tristemente. [SEP]	['las']	[['las', 'a', 'sus', 'unas', 'en']]	[[0.7588 0.1124 0.0271 0.0094 0.0093]]
118	[CLS] Los payasos que abrazaron [MASK] chimpancés caminaban rápidamente. [SEP]	['los']	[['los', 'a', 'al', 'el', 'de']]	[[0.8206 0.0468 0.0393 0.0363 0.008 ]]
119	[CLS] Los trabajadores que perseguían [MASK] guepardos corrían velozmente. [SEP]	['los']	[['los', 'las', 'sus', 'el', 'a']]	[[0.8764 0.0459 0.0214 0.0161 0.0058]]
120	[CLS] Los niños que ensuciaron [MASK] macacos sonreían frenéticamente. [SEP]	['los']	[['los', 'sus', 'a', 'de', 'estos']]	[[0.836  0.0432 0.0301 0.0121 0.0108]]
121	[CLS] Los viejos que oyeron [MASK] pollos respiraban fuertemente. [SEP]	['los']	[['los', 'sus', 'a', 'el', 'esos']]	[[0.7721 0.0653 0.0176 0.0171 0.0169]]
122	[CLS] Los técnicos que tocaron [MASK] hámsters andaban distraídamente. [SEP]	['los']	[['los', 'el', 'estos', 'en', 'esos']]	[[0.9252 0.008  0.0073 0.0065 0.0043]]
123	[CLS] La cebra que ensució [MASK] turista descansaba plácidamente. [SEP]	['la']	[['al', 'el', 'a', 'un', 'ao']]	[[0.9055 0.0709 0.0055 0.0032 0.0019]]
124	[CLS] La cabra que empujó [MASK] pastora respiraba velozmente. [SEP]	['la']	[['la', 'una', 'a', 'esta', 'otra']]	[[0.8714 0.0543 0.0243 0.0051 0.0049]]
125	[CLS] La serpiente que detestaba [MASK] veterinaria entró sigilosamente. [SEP]	['la']	[['la', 'una', 'el', 'al', 'a']]	[[0.8921 0.0525 0.0191 0.0071 0.0059]]
126	[CLS] La leoparda que oyó [MASK] dueña corrió repentinamente. [SEP]	['la']	[['la', 'a', 'su', 'al', 'una']]	[[0.6751 0.0984 0.0565 0.0164 0.0146]]
132	[CLS] Las panteras que atacaron [MASK] empleadas descansaban tranquilamente. [SEP]	['las']	[['las', 'los', 'a', 'sus', 'al']]	[[0.4686 0.3313 0.0683 0.054  0.0169]]
133	[CLS] Las burras que pisaron [MASK] mujeres gruñían claramente. [SEP]	['las']	[['las', 'estas', 'algunas', 'esas', 'sus']]	[[0.9592 0.0131 0.0032 0.0031 0.0029]]
134	[CLS] Las conejas que olieron [MASK] chicas saltaban continuamente. [SEP]	['las']	[['las', 'a', 'sus', 'estas', 'unas']]	[[0.8179 0.0656 0.0133 0.012  0.0095]]
135	[CLS] Las gallinas que detestaban [MASK] señoras comían lentamente. [SEP]	['las']	[['las', 'los', 'sus', 'estas', 'esas']]	[[0.9581 0.0158 0.0112 0.0025 0.0013]]
136	[CLS] Las lobas que empujaron [MASK] ecólogas salieron repentinamente. [SEP]	['las']	[['las', 'los', 'unas', 'as', 'a']]	[[0.9378 0.0191 0.0055 0.005  0.0042]]
137	[CLS] Los pájaros que miraban [MASK] críos cantaban alegremente. [SEP]	['los']	[['los', 'a', 'en', 'al', 'sus']]	[[0.4026 0.2884 0.0546 0.049  0.032 ]]
138	[CLS] Los delfines que mataron [MASK] pescadores gemían fuertemente. [SEP]	['los']	[['los', 'a', 'al', 'el', 'sus']]	[[0.6519 0.1725 0.0524 0.0139 0.012 ]]
139	[CLS] Los cocodrilos que vieron [MASK] asistentes nadaban frenéticamente. [SEP]	['los']	[['los', 'las', 'sus', 'nos', 'estos']]	[[0.9893 0.002  0.0014 0.0007 0.0007]]
140	[CLS] Los flamencos que escucharon [MASK] ayudantes dormían felizmente. [SEP]	['los']	[['los', 'sus', 'a', 'con', 'y']]	[[0.4853 0.1657 0.071  0.0608 0.0557]]
