id	condition	input_sentence	score_dom	score_unmarked	discrepancy
123	animate-human	La cebra que ensució (a) la turista descansaba plácidamente.	0.1657	0.0857	0.07997617870569229
124	animate-human	La cabra que empujó (a) la pastora respiraba velozmente.	0.1644	0.0802	0.08413924276828766
125	animate-human	La serpiente que detestaba (a) la veterinaria entró sigilosamente.	0.1834	0.0967	0.08668564260005951
126	animate-human	La leoparda que oyó (a) la dueña corrió repentinamente.	0.145	0.0734	0.07156803458929062
127	animate-human	El pony que buscaba al/el jinete chillaba tristemente.	0.0939	0.0931	0.0007299184799194336
128	animate-human	El león que mató al/el cazador caminaba lentamente.	0.0784	0.0802	-0.0018066614866256714
129	animate-human	El caballo que miraba al/el cuidador gruñía desconsoladamente.	0.076	0.0752	0.0007956475019454956
130	animate-human	El tigre que atacó al/el domador dormía tranquilamente.	0.0861	0.0853	0.0008078962564468384
131	animate-human	El loro que observó al/el cantante cantaba claramente.	0.0585	0.0675	-0.00893900915980339
132	animate-human	Las panteras que atacaron (a) las empleadas descansaban tranquilamente.	0.1803	0.0943	0.08603459596633911
133	animate-human	Las burras que pisaron (a) las mujeres gruñían claramente.	0.1453	0.0938	0.0515112429857254
134	animate-human	Las conejas que olieron (a) las chicas saltaban continuamente.	0.1205	0.0948	0.025681592524051666
135	animate-human	Las gallinas que detestaban (a) las señoras comían lentamente.	0.1783	0.0946	0.0836515873670578
136	animate-human	Las lobas que empujaron (a) las ecólogas salieron repentinamente.	0.1637	0.0743	0.0893622636795044
137	animate-human	Los pájaros que miraban (a) los críos cantaban alegremente.	0.126	0.0732	0.05276404321193695
138	animate-human	Los delfines que mataron (a) los pescadores gemían fuertemente.	0.1774	0.09	0.08735723048448563
139	animate-human	Los cocodrilos que vieron (a) los asistentes nadaban frenéticamente.	0.1517	0.0719	0.07977770268917084
140	animate-human	Los flamencos que escucharon (a) los ayudantes dormían felizmente.	0.0979	0.0886	0.00933646410703659
105	animate-animal	La artista que pisó (a) la perra andaba sigilosamente.	0.0933	0.0881	0.005147390067577362
106	animate-animal	La bióloga que abrazó (a) la gorila sonreía incesantemente.	0.1677	0.083	0.08470750600099564
107	animate-animal	La voluntaria que tocó (a) la tortuga bebía continuamente.	0.0794	0.0686	0.010822713375091553
108	animate-animal	La ciclista que vio (a) la vaca comía distraídamente.	0.0815	0.0748	0.006746970117092133
109	animate-animal	La granjera que olió (a) la cerda salió inesperadamente.	0.0847	0.0759	0.00884978473186493
110	animate-animal	El entrenador que escuchó al/el delfín nadaba rápidamente.	0.0961	0.0935	0.0026485472917556763
111	animate-animal	El conductor que persiguió al/el camello paseaba felizmente.	0.0819	0.0805	0.0013334155082702637
112	animate-animal	El hombre que adoraba al/el canguro saltaba incesantemente.	0.0707	0.0702	0.0005256086587905884
113	animate-animal	El amo que pegó al/el orangután gemía desconsoladamente.	0.0787	0.0771	0.0016033649444580078
114	animate-animal	Las zoólogas que observaron (a) las palomas bebían plácidamente.	0.0856	0.0829	0.002688288688659668
115	animate-animal	Las hermanas que buscaron (a) las gatas entraron inesperadamente.	0.1746	0.0977	0.07684280723333359
116	animate-animal	Las niñas que adoraban (a) las ardillas chillaban alegremente.	0.1752	0.0972	0.07794217765331268
117	animate-animal	Las estudiantes que pegaron (a) las monas paseaban tristemente.	0.168	0.0961	0.07190588116645813
118	animate-animal	Los payasos que abrazaron (a) los chimpancés caminaban rápidamente.	0.1586	0.0764	0.08228126168251038
119	animate-animal	Los trabajadores que perseguían (a) los guepardos corrían velozmente.	0.1827	0.0982	0.08451444655656815
120	animate-animal	Los niños que ensuciaron (a) los macacos sonreían frenéticamente.	0.1589	0.0797	0.07918350398540497
121	animate-animal	Los viejos que oyeron (a) los pollos respiraban fuertemente.	0.1018	0.0859	0.015911467373371124
122	animate-animal	Los técnicos que tocaron (a) los hámsters andaban distraídamente.	0.1372	0.0988	0.03844229131937027
