id	input_sentence	masked	top_fillers	probabilities
17	[CLS] Carlos vigiló [MASK] bebé durante unos minutos. [SEP]	['un']	[['al', 'el', 'del', 'su', 'la']]	[[0.9441 0.0433 0.0036 0.0034 0.0026]]
18	[CLS] Irene oyó [MASK] niña durante horas. [SEP]	['una']	[['la', 'al', 'a', 'una', 'su']]	[[0.4162 0.1068 0.0583 0.0488 0.0347]]
19	[CLS] Pablo tuvo [MASK] ayudante durante varios años. [SEP]	['un']	[['un', 'como', 'su', 'una', 'este']]	[[0.335  0.1166 0.0942 0.0849 0.0539]]
20	[CLS] Isabel vio [MASK] estudiante durante toda la mañana. [SEP]	['un']	[['al', 'el', 'la', 'un', 'su']]	[[0.7912 0.0419 0.0322 0.0178 0.0126]]
21	[CLS] Unai amó [MASK] joven durante varios años. [SEP]	['una']	[['al', 'la', 'a', 'el', 'muy']]	[[0.9391 0.024  0.0115 0.0103 0.002 ]]
22	[CLS] Valeria admiró [MASK] cantante durante toda su vida. [SEP]	['un']	[['al', 'la', 'como', 'el', 'su']]	[[0.8156 0.0875 0.0242 0.0175 0.012 ]]
23	[CLS] Adrián percibió [MASK] mujer durante algunos minutos. [SEP]	['una']	[['la', 'una', 'su', 'a', 'esta']]	[[0.3681 0.2592 0.0467 0.0462 0.0315]]
24	[CLS] Emma investigó [MASK] político durante varias semanas. [SEP]	['un']	[['al', 'el', 'lo', 'su', 'este']]	[[0.3265 0.1896 0.1046 0.0275 0.0257]]
25	[CLS] Ismael encontró [MASK] conocido en cuestión de segundos. [SEP]	['un']	[['al', 'un', 'su', 'el', 'otro']]	[[0.3982 0.1928 0.1498 0.1068 0.0378]]
26	[CLS] Sofía conoció [MASK] chico en un par de días. [SEP]	['un']	[['al', 'un', 'este', 'el', 'ese']]	[[0.8884 0.0558 0.0169 0.0161 0.0062]]
27	[CLS] Martín detectó [MASK] intruso en un par de minutos. [SEP]	['un']	[['un', 'al', 'otro', 'el', 'a']]	[[0.4333 0.412  0.0665 0.0616 0.004 ]]
28	[CLS] Elena localizó [MASK] amiga al cabo de dos horas. [SEP]	['una']	[['su', 'al', 'la', 'a', 'el']]	[[0.3745 0.3054 0.1259 0.0505 0.0226]]
29	[CLS] Alejandro identificó [MASK] agresor en menos de dos minutos. [SEP]	['un']	[['al', 'el', 'su', 'un', 'como']]	[[0.9788 0.008  0.0069 0.0045 0.0005]]
30	[CLS] Marta descartó [MASK] aspirante en un minuto. [SEP]	['un']	[['al', 'el', 'la', 'un', 'a']]	[[0.8501 0.0511 0.0344 0.0132 0.0118]]
31	[CLS] Samuel descubrió [MASK] infiltrado en un par de días. [SEP]	['un']	[['al', 'un', 'el', 'su', 'nuestro']]	[[0.591  0.1681 0.0875 0.0476 0.0149]]
32	[CLS] Alba mencionó [MASK] actor tras varios minutos de reflexión. [SEP]	['un']	[['al', 'el', 'del', 'ser', 'como']]	[[0.8525 0.0804 0.02   0.0159 0.0103]]
