id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó [MASK] la manzana andaba sigilosamente. [SEP]	['a']	[['en', 'toda', 'primero', 'a', 'bien']]	[[0.3279 0.2129 0.0712 0.0395 0.0263]]
158	[CLS] La bióloga que abrazó [MASK] la silla sonreía incesantemente. [SEP]	['a']	[['a', 'con', 'en', 'desde', 'bajo']]	[[0.4289 0.1495 0.1262 0.0463 0.0244]]
159	[CLS] La voluntaria que tocó [MASK] la mesa bebía continuamente. [SEP]	['a']	[['a', 'en', 'sobre', 'primero', 'de']]	[[0.7437 0.2065 0.0176 0.0061 0.0023]]
160	[CLS] La ciclista que vio [MASK] la montaña comía distraídamente. [SEP]	['a']	[['pasar', 'subir', 'en', 'cruzar', 'caer']]	[[0.27   0.1558 0.108  0.0693 0.0577]]
161	[CLS] La granjera que olió [MASK] la cena salió inesperadamente. [SEP]	['a']	[['en', 'durante', 'para', 'a', 'mal']]	[[0.572  0.1694 0.0687 0.066  0.0245]]
162	[CLS] El entrenador que escuchó [MASK] piano nadaba rápidamente. [SEP]	['al']	[['el', 'al', 'este', 'del', 'ese']]	[[0.818  0.0405 0.0259 0.0211 0.0169]]
163	[CLS] El conductor que persiguió [MASK] coche paseaba felizmente. [SEP]	['al']	[['el', 'al', 'su', 'ese', 'aquel']]	[[0.6456 0.2788 0.0507 0.0055 0.005 ]]
164	[CLS] El hombre que adoraba [MASK] sol saltaba incesantemente. [SEP]	['al']	[['el', 'al', 'su', 'ese', 'este']]	[[0.496  0.4921 0.0027 0.002  0.0017]]
165	[CLS] El amo que pegó [MASK] armario gemía desconsoladamente. [SEP]	['al']	[['el', 'al', 'su', 'ese', 'del']]	[[0.539  0.3026 0.0487 0.0202 0.0185]]
166	[CLS] Las zoólogas que observaron [MASK] las hoja bebían plácidamente. [SEP]	['a']	[['que', 'a', ',', 'en', 'fueron']]	[[0.4511 0.2196 0.1069 0.0446 0.0126]]
167	[CLS] Las hermanas que buscaron [MASK] las bicicletas entraron inesperadamente. [SEP]	['a']	[['en', 'entre', 'por', 'a', 'todas']]	[[0.5526 0.1232 0.0722 0.0357 0.0343]]
168	[CLS] Las niñas que adoraban [MASK] las fresas chillaban alegremente. [SEP]	['a']	[['a', 'tanto', 'mucho', 'todas', 'siempre']]	[[0.9804 0.006  0.0013 0.001  0.0009]]
169	[CLS] Las estudiantes que pegaron [MASK] las flores paseaban tristemente. [SEP]	['a']	[['a', 'con', 'en', 'contra', 'todas']]	[[0.6319 0.1942 0.0762 0.0251 0.006 ]]
170	[CLS] Los payasos que abrazaron [MASK] los árboles caminaban rápidamente. [SEP]	['a']	[['a', 'en', 'desde', 'entre', 'todos']]	[[0.9036 0.0524 0.0069 0.0049 0.0045]]
171	[CLS] Los trabajadores que perseguían [MASK] los autobuses corrían velozmente. [SEP]	['a']	[['a', 'en', 'por', 'desde', 'de']]	[[0.8345 0.1028 0.0117 0.0074 0.0058]]
172	[CLS] Los niños que ensuciaron [MASK] los zapatos sonreían frenéticamente. [SEP]	['a']	[['todos', 'con', '##se', 'tanto', 'en']]	[[0.1876 0.0714 0.0698 0.066  0.0519]]
173	[CLS] Los viejos que oyeron [MASK] los aviones respiraban fuertemente. [SEP]	['a']	[['caer', 'de', 'a', 'derribar', 'volar']]	[[0.1548 0.092  0.0896 0.0543 0.0513]]
174	[CLS] Los técnicos que tocaron [MASK] los teléfonos andaban distraídamente. [SEP]	['a']	[['en', 'a', 'con', 'todos', 'por']]	[[0.4309 0.2493 0.1168 0.022  0.0125]]
