id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó a [MASK] manzana andaba sigilosamente. [SEP]	['la']	[['la', 'su', 'esa', 'una', 'esta']]	[[0.6482 0.083  0.0328 0.0222 0.0164]]
158	[CLS] La bióloga que abrazó a [MASK] silla sonreía incesantemente. [SEP]	['la']	[['la', 'su', 'una', 'esta', 'esa']]	[[0.7996 0.0496 0.0169 0.0101 0.0066]]
159	[CLS] La voluntaria que tocó a [MASK] mesa bebía continuamente. [SEP]	['la']	[['la', 'su', 'esta', 'una', 'esa']]	[[0.9225 0.0163 0.0156 0.0096 0.0088]]
160	[CLS] La ciclista que vio a [MASK] montaña comía distraídamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'su']]	[[0.689  0.0423 0.0197 0.0139 0.013 ]]
161	[CLS] La granjera que olió a [MASK] cena salió inesperadamente. [SEP]	['la']	[['la', 'su', 'una', 'mi', 'esa']]	[[0.3835 0.0631 0.0471 0.0264 0.0161]]
166	[CLS] Las zoólogas que observaron a [MASK] hoja bebían plácidamente. [SEP]	['las']	[['esta', 'la', 'una', 'esa', 'este']]	[[0.5002 0.3441 0.04   0.0192 0.0148]]
167	[CLS] Las hermanas que buscaron a [MASK] bicicletas entraron inesperadamente. [SEP]	['las']	[['las', 'sus', 'los', 'la', 'Las']]	[[0.2947 0.1063 0.0565 0.0258 0.0144]]
168	[CLS] Las niñas que adoraban a [MASK] fresas chillaban alegremente. [SEP]	['las']	[['las', 'sus', 'esas', 'estas', 'los']]	[[0.9801 0.0066 0.004  0.0039 0.0011]]
169	[CLS] Las estudiantes que pegaron a [MASK] flores paseaban tristemente. [SEP]	['las']	[['las', 'esas', 'sus', 'estas', 'la']]	[[0.8973 0.0249 0.0242 0.0139 0.006 ]]
170	[CLS] Los payasos que abrazaron a [MASK] árboles caminaban rápidamente. [SEP]	['los']	[['los', 'estos', 'esos', 'otros', 'sus']]	[[0.9713 0.0056 0.005  0.0033 0.0025]]
171	[CLS] Los trabajadores que perseguían a [MASK] autobuses corrían velozmente. [SEP]	['los']	[['los', 'sus', 'esos', 'otros', 'estos']]	[[0.9727 0.0067 0.0051 0.0046 0.0045]]
172	[CLS] Los niños que ensuciaron a [MASK] zapatos sonreían frenéticamente. [SEP]	['los']	[['sus', 'los', 'mis', 'nuestros', 'tus']]	[[0.6117 0.2301 0.0542 0.0138 0.0109]]
173	[CLS] Los viejos que oyeron a [MASK] aviones respiraban fuertemente. [SEP]	['los']	[['los', 'esos', 'estos', 'nuestros', 'sus']]	[[0.7429 0.2003 0.0205 0.008  0.0076]]
174	[CLS] Los técnicos que tocaron a [MASK] teléfonos andaban distraídamente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'nuestros']]	[[0.8707 0.0547 0.0189 0.0135 0.0116]]
