id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
34	animate	La abuela recibió a [MASK] niños .	los	['los', 'las', 'estos', 'niños', 'cuatro']	[0.7504 0.0331 0.019  0.0073 0.007 ]	0.0011	46	0.7504	0	0.0015	34
37	animate	El ladrón secuestró a [MASK] señora .	la	['la', 'una', 'su', 'otra', 'La']	[0.7759 0.1919 0.0065 0.0045 0.0038]	0.0005	9	0.7759	0	0.1919	1
38	animate	Snoopy miró a [MASK] amigo .	su	['un', 'su', 'seu', 'ser', 'mi']	[0.4886 0.1761 0.0262 0.016  0.0152]	0.0034	18	0.0063	8	0.4886	0
41	animate	Plankton conoció a [MASK] Esponja .	Bob	['la', 'La', ':', 'una', '.']	[0.5048 0.1104 0.0449 0.0202 0.0108]	0.0036	9	0.5048	0	0.0202	3
51	animate	El niño visitó a [MASK] abuela .	su	['su', 'la', 'una', 'sus', 'Su']	[0.5341 0.253  0.1767 0.0038 0.0033]	0.0003	22	0.253	1	0.1767	2
54	animate	La familia acogió a [MASK] inmigrante .	la	['un', 'otro', 'la', 'una', 'lo']	[0.7298 0.0948 0.0295 0.0253 0.0129]	0.0014	15	0.0295	2	0.7298	0
56	animate	Cristina saludó a [MASK] novios .	los	['los', 'sus', 'su', 'nuestros', 'mis']	[0.583  0.375  0.006  0.0043 0.0021]	0.0001	48	0.583	0	0.0005	15
57	animate	El bandido secuestró a [MASK] mujer .	la	['una', 'la', 'otra', 'su', 'esa']	[0.6635 0.2417 0.046  0.0197 0.0068]	0.0003	14	0.2417	1	0.6635	0
61	inanimate	Alejandra escuchó a [MASK] música .	la	['la', 'una', 'mucha', 'su', 'gran']	[0.9647 0.0064 0.0022 0.0021 0.0015]	0.0003	18	0.9647	0	0.0064	1
62	inanimate	Blanca Nieves comió a [MASK] manzana .	la	['la', 'una', 'La', 'a', 'lo']	[0.8552 0.0333 0.0051 0.004  0.0028]	0.004	3	0.8552	0	0.0333	1
63	inanimate	El niño aprendío a [MASK] matemáticas .	las	['las', 'aprender', 'estudiar', 'los', 'tener']	[0.8151 0.0567 0.0122 0.0121 0.0101]	0.0001	148	0.8151	0	0.0046	7
