id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] [MASK] en pocos segundos. [SEP]	['un', 'rehén']	[['al', 'a', 'el', 'la', 'su'], ['[UNK]', 'equipo', 'jugador', 'español', 'grupo']]	[[0.4712721109390259, 0.3185901939868927, 0.06861138343811035, 0.047767773270606995, 0.01744665764272213], [0.13673873245716095, 0.02294854074716568, 0.015243989415466785, 0.011185495182871819, 0.009841954335570335]]
2	[CLS] Amaya neutralizó [MASK] [MASK] en cinco minutos. [SEP]	['un', 'enemigo']	[['al', 'el', 'la', 'a', 'su'], ['[UNK]', 'bomba', 'misil', 'ataque', 'arma']]	[[0.2627740204334259, 0.21030783653259277, 0.1491273194551468, 0.09785690158605576, 0.06702970713376999], [0.11155197769403458, 0.03397276625037193, 0.03090822696685791, 0.02719057723879814, 0.023533055558800697]]
3	[CLS] Joaquín abatió [MASK] [MASK] en unos minutos. [SEP]	['un', 'contrincante']	[['a', 'al', 'el', 'un', 'otro'], ['[UNK]', 'caballo', 'humano', ',', 'Dog']]	[[0.22881662845611572, 0.18543624877929688, 0.17274440824985504, 0.09679174423217773, 0.022248348221182823], [0.08259135484695435, 0.015023140236735344, 0.010025307536125183, 0.009343554265797138, 0.009128042496740818]]
4	[CLS] Martina arrolló [MASK] [MASK] en cuestión de segundos. [SEP]	['un', 'peatón']	[['al', 'el', 'la', 'su', 'a'], ['balón', 'pelota', '[UNK]', 'bola', 'cabeza']]	[[0.32275450229644775, 0.22669948637485504, 0.1622844934463501, 0.07552733272314072, 0.05857377126812935], [0.21518884599208832, 0.07817011326551437, 0.06131664663553238, 0.02589408867061138, 0.024760182946920395]]
5	[CLS] Carlos derribó [MASK] [MASK] en dos segundos. [SEP]	['un', 'futbolista']	[['al', 'a', 'el', 'la', 'su'], ['[UNK]', 'Carlos', 'balón', 'equipo', 'pelota']]	[[0.23729124665260315, 0.19157345592975616, 0.17293806374073029, 0.12032723426818848, 0.036813441663980484], [0.14806608855724335, 0.017499679699540138, 0.01114396657794714, 0.010575752705335617, 0.010127052664756775]]
6	[CLS] Lucía destrozó [MASK] [MASK] en dos asaltos. [SEP]	['un', 'oponente']	[['al', 'a', 'su', 'el', 'la'], ['[UNK]', 'Lorenzo', 'López', 'equipo', 'Carlos']]	[[0.25488340854644775, 0.21981482207775116, 0.14507536590099335, 0.12647207081317902, 0.09286921471357346], [0.14508609473705292, 0.021659893915057182, 0.021587613970041275, 0.01749502494931221, 0.014575586654245853]]
7	[CLS] Mateo quemó [MASK] [MASK] en poco más de media hora. [SEP]	['una', 'bruja']	[['el', 'la', 'su', 'sus', 'las'], ['casa', 'libro', '[UNK]', 'fuego', '##s']]	[[0.2356289178133011, 0.20563997328281403, 0.0932222381234169, 0.06308797001838684, 0.05003059282898903], [0.04821300134062767, 0.017912499606609344, 0.015081003308296204, 0.01328926719725132, 0.013043489307165146]]
8	[CLS] Valentina venció [MASK] [MASK] en menos de una hora. [SEP]	['un', 'adversario']	[['a', 'al', 'la', 'el', 'su'], ['[UNK]', 'carrera', 'Mónaco', '##mente', 'equipo']]	[[0.24557048082351685, 0.1975679099559784, 0.112458236515522, 0.10323567688465118, 0.03121655434370041], [0.15909795463085175, 0.0427020825445652, 0.028835440054535866, 0.016678117215633392, 0.01552059780806303]]
9	[CLS] Luis zarandeó [MASK] [MASK] durante algunos minutos. [SEP]	['un', 'hombre']	[['la', 'el', 'su', 'al', 'las'], ['##mente', 'caballo', '[UNK]', 'cabeza', 'barco']]	[[0.3223854601383209, 0.23983165621757507, 0.08609789609909058, 0.03486191853880882, 0.0304998978972435], [0.04902859032154083, 0.026750938966870308, 0.02372623048722744, 0.022006820887327194, 0.020173564553260803]]
10	[CLS] María transportó [MASK] [MASK] durante todo el día. [SEP]	['un', 'mochilero']	[['el', 'la', 'al', 'a', 'sus'], ['##s', 'equipaje', '[UNK]', 'cuerpo', 'bebé']]	[[0.15100188553333282, 0.09282873570919037, 0.09159897267818451, 0.08769407123327255, 0.07562997192144394], [0.0695800930261612, 0.026739070191979408, 0.02035605162382126, 0.01951335370540619, 0.017109274864196777]]
