id	es	en	gen	num
51	La artista que pisó a [la manzana] andaba sigilosamente.	The artist that stepped on [the apple] walked stealthily	f	sing
52	La bióloga que abrazó a [la silla] sonreía incesantemente.	The biologist that hugged [the chair] smiled unceasingly	f	sing
53	La voluntaria que tocó a [la mesa] bebía continuamente.	The volunteer that touched [the table] drank continuously	f	sing
54	La ciclista que vio a [la montaña] comía distraídamente.	The cyclist that saw [the mountain] ate absent-minded	f	sing
55	La granjera que olió a [la cena] salió inesperadamente.	The farmer that smelled [the dinner] left unexpectedly	f	sing
56	El entrenador que escuchó al [piano] nadaba rápidamente.	The trainer that listened to [the piano] swam quickly	m	sing
57	El conductor que persiguió al [coche] paseaba felizmente.	The driver that chased [the car] went for a walk happily	m	sing
58	El hombre que adoraba al [sol] saltaba incesantemente.	The man that loved [the sun] jumped unceasingly	m	sing
59	El amo que pegó al [armario] gemía desconsoladamente.	The owner that hit [the closet] moaned inconsolably	m	sing
60	Las zoólogas que observaron a [las hoja] bebían plácidamente.	The zoologists that observed [the leaves] drank placidly	f	plur
61	Las hermanas que buscaron a [las bicicletas] entraron inesperadamente.	The sisters that looked for [the bikes] entered unexpectedly	f	plur
62	Las niñas que adoraban a [las fresas] chillaban alegremente.	The girls that loved [the strawberries] screamed happily	f	plur
63	Las estudiantes que pegaron a [las flores] paseaban tristemente.	The students that hit [the flowers] went for a walk sadly	f	plur
64	Los payasos que abrazaron a [los árboles] caminaban rápidamente.	The clowns that hugged [the trees] walked fast	m	plur
65	Los trabajadores que perseguían a [los autobuses] corrían velozmente.	The workers that chased [the buses] ran fast	m	plur
66	Los niños que ensuciaron a [los zapatos] sonreían frenéticamente.	The children that got [the macaques] dirty smiled frantically	m	plur
67	Los viejos que oyeron a [los aviones] respiraban fuertemente.	The old men that heard [the airplanes] breathed loudly	m	plur
68	Los técnicos que tocaron a [los teléfonos] andaban distraídamente.	The technicians that touched [the telephones] walked absent-minded	m	plur
