id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
123	animate-human	La cebra que ensució [MASK] turista descansaba plácidamente .	la	['al', 'el', 'la', 'a', 'un']	[0.8257 0.1417 0.0114 0.008  0.0023]	0.8257	0	0.1417	1	0.0023	4
124	animate-human	La cabra que empujó [MASK] pastora respiraba velozmente .	la	['la', 'una', 'a', 'su', 'al']	[0.9505 0.0172 0.0063 0.0059 0.0058]	0.0063	2	0.9505	0	0.0172	1
125	animate-human	La serpiente que detestaba [MASK] veterinaria entró sigilosamente .	la	['la', 'era', 'de', 'como', 'ser']	[0.6495 0.0574 0.0478 0.0462 0.0451]	0.0107	7	0.6495	0	0.0025	16
126	animate-human	La leoparda que oyó [MASK] dueña corrió repentinamente .	la	['la', 'su', 'ser', 'y', 'a']	[0.4736 0.2633 0.0271 0.0157 0.0136]	0.0136	4	0.4736	0	0.0052	10
132	animate-human	Las panteras que atacaron [MASK] empleadas descansaban tranquilamente .	las	['las', 'al', 'a', 'la', 'sus']	[0.346  0.1784 0.1319 0.091  0.0639]	0.1784	1	0.346	0	0.0006	32
133	animate-human	Las burras que pisaron [MASK] mujeres gruñían claramente .	las	['las', 'esas', 'estas', 'sus', 'nuestras']	[0.7283 0.1038 0.0505 0.0375 0.0172]	0.0003	30	0.7283	0	0.0016	13
134	animate-human	Las conejas que olieron [MASK] chicas saltaban continuamente .	las	['las', 'esas', 'estas', 'a', 'como']	[0.5678 0.1735 0.054  0.0366 0.0348]	0.0366	3	0.5678	0	0.0017	20
135	animate-human	Las gallinas que detestaban [MASK] señoras comían lentamente .	las	['las', 'sus', 'estas', 'a', 'esas']	[0.7726 0.0353 0.026  0.0143 0.0132]	0.0143	3	0.7726	0	0.0003	45
136	animate-human	Las lobas que empujaron [MASK] ecólogas salieron repentinamente .	las	['las', 'a', 'sus', 'estas', 'al']	[0.815  0.0468 0.0287 0.0176 0.0102]	0.0468	1	0.815	0	0.0014	23
137	animate-human	Los pájaros que miraban [MASK] críos cantaban alegremente .	los	['los', 'sus', 'como', 'aquellos', 'a']	[0.8735 0.0311 0.0191 0.0127 0.0127]	0.0127	4	0.8735	0	0.0007	20
138	animate-human	Los delfines que mataron [MASK] pescadores gemían fuertemente .	los	['los', 'a', 'estos', 'sus', 'esos']	[0.7582 0.0711 0.0319 0.0182 0.0146]	0.0711	1	0.7582	0	0.0014	19
139	animate-human	Los cocodrilos que vieron [MASK] asistentes nadaban frenéticamente .	los	['los', 'en', 'al', 'fueron', 'y']	[0.289  0.0414 0.0375 0.035  0.0347]	0.0375	2	0.289	0	0.0011	69
140	animate-human	Los flamencos que escucharon [MASK] ayudantes dormían felizmente .	los	['los', 'sus', 'estos', 'a', 'esos']	[0.5057 0.2858 0.0396 0.014  0.014 ]	0.014	3	0.5057	0	0.0006	41
