id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank
109	definite	Gonzalo mató a la mujer en el parque.	a	['a', 'con', 'por', 'de', 'contra']	[0.9993 0.0004 0.0001 0.     0.    ]	0.9993	0
110	definite	Patricio lesionó a la camarera en la discoteca.	a	['a', 'con', 'contra', 'por', 'accidentalmente']	[0.998  0.0014 0.0001 0.0001 0.0001]	0.998	0
111	definite	Carolina golpeó a la jugadora en el vestuario.	a	['a', 'contra', 'con', 'por', 'hacia']	[0.9983 0.0009 0.0002 0.0001 0.0001]	0.9983	0
112	definite	Elena cuidó a la paciente durante dos semanas.	a	['a', 'de', 'con', 'sobre', 'en']	[0.6825 0.3157 0.0012 0.0001 0.0001]	0.6825	0
113	definite	Irene acusó a la secretaria general en la asamblea.	a	['a', 'ser', 'de', 'fue', 'como']	[0.7566 0.1072 0.0253 0.0221 0.0151]	0.7566	0
114	definite	Cecilia denunció a la mujer en la comisaría de policía.	a	['a', 'de', 'contra', 'con', 'sobre']	[0.9944 0.0011 0.0008 0.0008 0.0005]	0.9944	0
115	definite	Josefina vio a la pastora en el parque.	a	['a', 'con', 'pasar', 'aparecer', 'en']	[0.9959 0.0011 0.0007 0.0003 0.0001]	0.9959	0
116	definite	Julio oyó a la madre desde la cocina.	a	['a', 'de', 'hablar', 'con', 'gritar']	[0.9796 0.0048 0.0015 0.001  0.001 ]	0.9796	0
117	indefinite	Pablo mató a una mujer durante el secuestro.	a	['a', 'también', 'accidentalmente', 'con', 'por']	[0.9986 0.0004 0.0002 0.0001 0.    ]	0.9986	0
118	indefinite	Alberto lesionó a una adversaria en el partido de la semana pasada.	a	['a', 'contra', 'con', 'por', 'ante']	[0.9347 0.0234 0.0221 0.0075 0.0041]	0.9347	0
119	indefinite	Andrea golpeó a una fotógrafa a la salida del restaurante.	a	['a', 'con', 'contra', 'accidentalmente', 'por']	[0.9963 0.0012 0.0006 0.0005 0.0002]	0.9963	0
120	indefinite	Javier cuidó a una paciente con gran profesionalidad.	a	['a', 'de', 'con', 'como', 'sobre']	[0.6781 0.3191 0.0003 0.0002 0.0002]	0.6781	0
121	indefinite	Laura acusó a una trabajadora en la reunión.	a	['a', 'ser', 'de', 'como', 'con']	[0.9242 0.0426 0.0084 0.0081 0.0017]	0.9242	0
122	indefinite	Carlos denunció a una camarera tras una disputa.	a	['a', 'ante', 'con', 'contra', 'ser']	[0.9901 0.0017 0.0015 0.0011 0.0011]	0.9901	0
123	indefinite	Ana vio a una política en la tienda del barrio.	a	['a', 'nacer', 'surgir', 'aparecer', 'pasar']	[0.4683 0.0579 0.04   0.039  0.0352]	0.4683	0
124	indefinite	Esther oyó a una niña en el apartamento de al lado.	a	['a', 'de', 'sobre', 'como', 'entrar']	[0.8569 0.0835 0.0121 0.009  0.0041]	0.8569	0
