id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] rehén en pocos segundos. [SEP]	['un']	[['al', 'el', 'un', 'la', 'su']]	[[0.9418152570724487, 0.02546599693596363, 0.013165450654923916, 0.006366541609168053, 0.0031159112695604563]]
2	[CLS] Amaya neutralizó [MASK] enemigo en cinco minutos. [SEP]	['un']	[['al', 'el', 'su', 'fuego', 'a']]	[[0.9324923753738403, 0.04774094000458717, 0.004652882926166058, 0.002975048730149865, 0.0025998451747000217]]
3	[CLS] Joaquín abatió [MASK] contrincante en unos minutos. [SEP]	['un']	[['al', 'su', 'un', 'el', 'otro']]	[[0.5856806039810181, 0.30330541729927063, 0.044943198561668396, 0.022477075457572937, 0.019380569458007812]]
4	[CLS] Martina arrolló [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['al', 'un', 'el', 'otro', 'a']]	[[0.7019621133804321, 0.2761361598968506, 0.011529717594385147, 0.0031869488302618265, 0.0024390227627009153]]
5	[CLS] Carlos derribó [MASK] futbolista en dos segundos. [SEP]	['un']	[['al', 'el', 'a', 'un', 'del']]	[[0.9843146204948425, 0.00822378508746624, 0.0030001981649547815, 0.0016914415173232555, 0.0007417821907438338]]
6	[CLS] Lucía destrozó [MASK] oponente en dos asaltos. [SEP]	['un']	[['al', 'su', 'el', 'un', 'otro']]	[[0.5621199607849121, 0.3897257447242737, 0.021162917837500572, 0.016011780127882957, 0.002880275249481201]]
7	[CLS] Mateo quemó [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'su', 'esa', 'esta']]	[[0.7655485272407532, 0.09828951954841614, 0.05490722134709358, 0.013587210327386856, 0.00945229735225439]]
8	[CLS] Valentina venció [MASK] adversario en menos de una hora. [SEP]	['un']	[['al', 'su', 'el', 'a', 'un']]	[[0.5305356979370117, 0.43391674757003784, 0.007721995003521442, 0.006824020761996508, 0.005337210837751627]]
9	[CLS] Luis zarandeó [MASK] hombre durante algunos minutos. [SEP]	['un']	[['al', 'el', 'del', 'su', 'un']]	[[0.9084665775299072, 0.03891793638467789, 0.01669890061020851, 0.010939058847725391, 0.0067559159360826015]]
10	[CLS] María transportó [MASK] mochilero durante todo el día. [SEP]	['un']	[['al', 'el', 'a', 'un', 'su']]	[[0.9591902494430542, 0.02129264362156391, 0.006209739949554205, 0.0046985154040157795, 0.0013951963046565652]]
11	[CLS] Lucas arrastró [MASK] soldado durante un buen rato. [SEP]	['un']	[['al', 'el', 'su', 'un', 'a']]	[[0.8991668224334717, 0.0709465891122818, 0.005797202233225107, 0.005497466307133436, 0.0038358517922461033]]
12	[CLS] Claudia maltrató [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'a', 'una', 'como', 'la']]	[[0.7475638389587402, 0.06459111720323563, 0.0399981290102005, 0.03944581747055054, 0.02266012504696846]]
13	[CLS] Hugo apaleó [MASK] rebelde durante varios minutos. [SEP]	['un']	[['al', 'el', 'a', 'la', 'un']]	[[0.9420087933540344, 0.017473511397838593, 0.016426369547843933, 0.01220068708062172, 0.0015798840904608369]]
14	[CLS] Carla asedió [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['al', 'su', 'el', 'un', 'como']]	[[0.44517093896865845, 0.42062610387802124, 0.03068171814084053, 0.02871350385248661, 0.022060677409172058]]
15	[CLS] Daniel remolcó [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['al', 'el', 'la', 'su', 'a']]	[[0.5647100806236267, 0.2042706459760666, 0.05113252252340317, 0.05002617463469505, 0.031398266553878784]]
16	[CLS] Coral guio [MASK] turista durante toda la mañana. [SEP]	['un']	[['al', 'el', 'de', 'un', 'a']]	[[0.9410907626152039, 0.013642423786222935, 0.009777063503861427, 0.006751171313226223, 0.006049945019185543]]
