id	input_sentence	masked	top_fillers	probabilities
123	[CLS] La cebra que ensució [MASK] la turista descansaba plácidamente. [SEP]	['a']	[['a', 'con', 'tanto', ',', 'toda']]	[[0.9759 0.0022 0.0019 0.0016 0.0009]]
124	[CLS] La cabra que empujó [MASK] la pastora respiraba velozmente. [SEP]	['a']	[['a', 'sobre', 'de', ',', 'era']]	[[0.9795 0.0026 0.0023 0.0022 0.0016]]
125	[CLS] La serpiente que detestaba [MASK] la veterinaria entró sigilosamente. [SEP]	['a']	[['a', 'era', 'de', ',', 'ser']]	[[0.7911 0.0723 0.0473 0.0282 0.0133]]
126	[CLS] La leoparda que oyó [MASK] la dueña corrió repentinamente. [SEP]	['a']	[['a', 'de', 'gritar', 'hablar', 'llorar']]	[[0.8362 0.0501 0.0109 0.0089 0.0069]]
127	[CLS] El pony que buscaba [MASK] jinete chillaba tristemente. [SEP]	['al']	[['al', 'el', 'un', 'su', 'otro']]	[[0.4939 0.2067 0.1448 0.0855 0.0303]]
128	[CLS] El león que mató [MASK] cazador caminaba lentamente. [SEP]	['al']	[['al', 'el', 'un', 'a', 'del']]	[[0.9795 0.0182 0.0008 0.0003 0.0003]]
129	[CLS] El caballo que miraba [MASK] cuidador gruñía desconsoladamente. [SEP]	['al']	[['al', 'el', 'del', 'su', 'a']]	[[0.6617 0.3126 0.0061 0.0056 0.0036]]
130	[CLS] El tigre que atacó [MASK] domador dormía tranquilamente. [SEP]	['al']	[['al', 'el', 'su', 'y', 'a']]	[[0.9103 0.0619 0.0171 0.0031 0.0011]]
131	[CLS] El loro que observó [MASK] cantante cantaba claramente. [SEP]	['al']	[['al', 'la', 'el', 'como', 'del']]	[[0.3621 0.3073 0.2402 0.0286 0.0083]]
132	[CLS] Las panteras que atacaron [MASK] las empleadas descansaban tranquilamente. [SEP]	['a']	[['a', 'contra', '##on', 'y', '##ban']]	[[0.9974 0.0006 0.0004 0.0003 0.0001]]
133	[CLS] Las burras que pisaron [MASK] las mujeres gruñían claramente. [SEP]	['a']	[[',', 'a', 'y', 'por', 'de']]	[[0.3868 0.2852 0.1526 0.0317 0.0178]]
134	[CLS] Las conejas que olieron [MASK] las chicas saltaban continuamente. [SEP]	['a']	[['a', 'y', 'de', 'por', ',']]	[[0.8328 0.0275 0.0211 0.02   0.0189]]
135	[CLS] Las gallinas que detestaban [MASK] las señoras comían lentamente. [SEP]	['a']	[['a', ',', 'y', 'de', 'eran']]	[[0.9342 0.0227 0.0175 0.0062 0.0039]]
136	[CLS] Las lobas que empujaron [MASK] las ecólogas salieron repentinamente. [SEP]	['a']	[['a', 'contra', 'por', 'sobre', 'hacia']]	[[0.9869 0.0018 0.0015 0.0015 0.0013]]
137	[CLS] Los pájaros que miraban [MASK] los críos cantaban alegremente. [SEP]	['a']	[['a', 'y', 'hacia', ',', 'con']]	[[0.9576 0.012  0.0103 0.0033 0.0024]]
138	[CLS] Los delfines que mataron [MASK] los pescadores gemían fuertemente. [SEP]	['a']	[['a', 'de', '##on', 'y', 'con']]	[[0.9978 0.0003 0.0002 0.0002 0.0002]]
139	[CLS] Los cocodrilos que vieron [MASK] los asistentes nadaban frenéticamente. [SEP]	['a']	[['a', 'en', 'entre', 'y', 'por']]	[[0.7216 0.0834 0.0414 0.0364 0.0272]]
140	[CLS] Los flamencos que escucharon [MASK] los ayudantes dormían felizmente. [SEP]	['a']	[['a', 'y', 'por', 'de', 'con']]	[[0.8335 0.0653 0.0241 0.0192 0.0108]]
