id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank
1	affected	Felipe eliminó a un rehén en pocos segundos.	a	['a', 'de', 'por', 'sobre', 'como']	[0.9396 0.0278 0.0087 0.0032 0.0019]	0.9396	0
2	affected	Amaya neutralizó a un enemigo en cinco minutos.	a	['a', 'rápidamente', 'de', 'fácilmente', 'en']	[0.92   0.0081 0.0051 0.0047 0.004 ]	0.92	0
3	affected	Joaquín abatió a un contrincante en unos minutos.	a	['a', 'de', 'al', 'sobre', 'en']	[0.9832 0.0023 0.0023 0.0015 0.0014]	0.9832	0
4	affected	Martina arrolló a un peatón en cuestión de segundos.	a	['en', 'con', 'a', 'sobre', 'de']	[0.5169 0.1729 0.1084 0.098  0.0238]	0.1084	2
5	affected	Carlos derribó a un futbolista en dos segundos.	a	['a', 'como', 'de', 'al', 'en']	[0.9392 0.0282 0.0076 0.0031 0.0024]	0.9392	0
6	affected	Lucía destrozó a un oponente en dos asaltos.	a	['a', 'de', 'al', 'también', 'con']	[0.9935 0.0009 0.0008 0.0003 0.0003]	0.9935	0
7	affected	Mateo quemó a una bruja en poco más de media hora.	a	['a', 'también', 'con', 'de', 'por']	[0.9045 0.0203 0.006  0.0041 0.004 ]	0.9045	0
8	affected	Valentina venció a un adversario en menos de una hora.	a	['a', 'con', 'sobre', 'en', 'de']	[0.959  0.0151 0.0063 0.003  0.0025]	0.959	0
9	affected	Luis zarandeó a un hombre durante algunos minutos.	a	['a', 'en', 'de', 'con', 'sobre']	[0.8346 0.0287 0.0282 0.0278 0.0185]	0.8346	0
10	affected	María transportó a un mochilero durante todo el día.	a	['a', 'todo', 'al', 'por', 'de']	[0.8624 0.0232 0.0139 0.0072 0.0069]	0.8624	0
11	affected	Lucas arrastró a un soldado durante un buen rato.	a	['a', 'en', 'con', 'de', 'al']	[0.9643 0.004  0.0038 0.0038 0.0029]	0.9643	0
12	affected	Claudia maltrató a una compañera durante varios años.	a	['a', 'de', 'su', 'con', 'en']	[0.9763 0.0058 0.0033 0.0024 0.0006]	0.9763	0
13	affected	Hugo apaleó a un rebelde durante varios minutos.	a	['a', 'en', 'al', 'de', 'sobre']	[0.9257 0.0146 0.0086 0.0075 0.006 ]	0.9257	0
14	affected	Carla asedió a una contrincante durante bastante tiempo.	a	['a', 'sobre', 'de', 'al', 'como']	[0.9853 0.0019 0.0015 0.001  0.0008]	0.9853	0
15	affected	Daniel remolcó a un enfermo durante algunos minutos.	a	['a', 'en', 'al', 'como', '##se']	[0.9092 0.0138 0.01   0.01   0.0095]	0.9092	0
16	affected	Coral guio a un turista durante toda la mañana.	a	['a', 'por', 'de', 'es', 'con']	[0.6132 0.1337 0.0838 0.0708 0.0189]	0.6132	0
17	nonaffected	Carlos vigiló a un bebé durante unos minutos.	a	['a', 'con', 'de', 'sobre', 'por']	[0.6065 0.1408 0.0718 0.0548 0.0178]	0.6065	0
18	nonaffected	Irene oyó a una niña durante horas.	a	['a', 'sobre', 'de', 'en', 'con']	[0.7956 0.0475 0.0425 0.0222 0.0064]	0.7956	0
19	nonaffected	Pablo tuvo a un ayudante durante varios años.	a	['a', 'que', 'con', 'como', 'de']	[0.3558 0.0692 0.069  0.0538 0.044 ]	0.3558	0
20	nonaffected	Isabel vio a un estudiante durante toda la mañana.	a	['a', 'al', 'ser', 'como', 'en']	[0.9726 0.0038 0.0035 0.0032 0.0026]	0.9726	0
21	nonaffected	Unai amó a una joven durante varios años.	a	['a', 'de', '##ó', 'con', 'ser']	[0.9593 0.0078 0.0025 0.0022 0.0021]	0.9593	0
22	nonaffected	Valeria admiró a un cantante durante toda su vida.	a	['ser', 'a', 'como', 'tener', 'es']	[0.8309 0.131  0.0063 0.006  0.0058]	0.131	1
23	nonaffected	Adrián percibió a una mujer durante algunos minutos.	a	['a', 'de', 'en', 'como', 'con']	[0.5582 0.1538 0.0514 0.0312 0.0306]	0.5582	0
24	nonaffected	Emma investigó a un político durante varias semanas.	a	['a', 'sobre', 'de', 'en', 'con']	[0.5218 0.2377 0.1054 0.0296 0.0244]	0.5218	0
25	nonaffected	Ismael encontró a un conocido en cuestión de segundos.	a	['a', 'con', 'encontró', 'en', 'al']	[0.8864 0.0149 0.0077 0.0069 0.006 ]	0.8864	0
26	nonaffected	Sofía conoció a un chico en un par de días.	a	['a', 'con', 'en', 'al', 'de']	[0.9966 0.0008 0.0004 0.0003 0.0002]	0.9966	0
27	nonaffected	Martín detectó a un intruso en un par de minutos.	a	['a', 'también', 'de', 'por', 'nuevamente']	[0.5434 0.0491 0.0466 0.0213 0.0165]	0.5434	0
28	nonaffected	Elena localizó a una amiga al cabo de dos horas.	a	['a', '##se', 'con', 'de', 'su']	[0.9303 0.0052 0.0048 0.0038 0.0031]	0.9303	0
29	nonaffected	Alejandro identificó a un agresor en menos de dos minutos.	a	['como', 'a', 'con', '##se', 'al']	[0.4416 0.4312 0.0787 0.0116 0.0027]	0.4312	1
30	nonaffected	Marta descartó a un aspirante en un minuto.	a	['a', 'de', 'ser', 'como', '##se']	[0.9094 0.0268 0.0173 0.0052 0.0051]	0.9094	0
31	nonaffected	Samuel descubrió a un infiltrado en un par de días.	a	['a', 'en', 'de', 'que', ',']	[0.4494 0.2945 0.0291 0.0198 0.019 ]	0.4494	0
32	nonaffected	Alba mencionó a un actor tras varios minutos de reflexión.	a	['a', 'ser', 'como', 'con', '##se']	[0.8293 0.0416 0.0218 0.0115 0.01  ]	0.8293	0
