id	condition	input_sentence	score_dom	score_unmarked	discrepancy
141	definite	Gonzalo mató (a) la mujer en el parque.	0.3836	0.3007	0.08289872235379642
142	definite	Patricio lesionó (a) la camarera en la discoteca.	0.3985	0.3534	0.04507068912290385
143	definite	Carolina golpeó (a) la jugadora en el vestuario.	0.4882	0.4276	0.06058404302313003
144	definite	Elena cuidó (a) la paciente durante dos semanas.	0.247	0.2195	0.027547068864906682
145	definite	Irene acusó (a) la secretaria general en la asamblea.	0.312	0.2001	0.11189489721979648
146	definite	Cecilia denunció (a) la mujer en la comisaría de policía.	0.3941	0.3025	0.09162367673906802
147	definite	Josefina vio (a) la pastora en el parque.	0.465	0.3648	0.1002561956212149
148	definite	Julio oyó (a) la madre desde la cocina.	0.3129	0.2372	0.0756962920920835
149	indefinite	Pablo mató (a) una mujer durante el secuestro.	0.327	0.2534	0.07367837889195794
150	indefinite	Alberto lesionó (a) una adversaria en el partido de la semana pasada.	0.3323	0.2886	0.0436844382621423
151	indefinite	Andrea golpeó (a) una fotógrafa (a) la salida del restaurante.	0.4356	0.2428	0.19285025189456032
152	indefinite	Javier cuidó (a) una paciente con gran profesionalidad.	0.1514	0.1606	-0.009194661649302494
153	indefinite	Laura acusó (a) una trabajadora en la reunión.	0.2366	0.1585	0.07802884454422415
154	indefinite	Carlos denunció (a) una camarera tras una disputa.	0.2203	0.1247	0.0955746992331041
155	indefinite	Ana vio (a) una política en la tienda del barrio.	0.2299	0.2584	-0.028493479202072874
156	indefinite	Esther oyó (a) una niña en el apartamento de al/el lado.	0.3154	0.2624	0.05301318570290947
