id	es	en
141	Carlos vigiló a [un bebé] durante unos minutos.	Carlos watched [a baby] for a few minutes.
142	Irene oyó a [una niña] durante horas.	Irene heard [a girl] for hours.
143	Pablo tuvo a [un ayudante] durante varios años.	Pablo had [a helper] for several years.
144	Isabel vio a [un estudiante] durante toda la mañana.	Isabel saw [a student] for the whole morning.
145	Unai amó a [una joven] durante varios años.	Unai loved [a young woman] for several years.
146	Valeria admiró a [un cantante] durante toda su vida.	Valeria admired [a singer] all her life.
147	Adrián percibió a [una mujer] durante algunos minutos.	Adrián perceived [a woman] for a few minutes.
148	Emma investigó a [un político] durante varias semanas.	Emma investigated [a politician] for several weeks.
149	Ismael encontró a [un conocido] en cuestión de segundos.	Ismael identified [an acquaintance] in a matter of seconds.
150	Sofía conoció a [un chico] en un par de días.	Sofia met [a boy] in a couple of days.
151	Martín detectó a [un intruso] en un par de minutos.	Martín detected [an intruder] in a couple of minutes.
152	Elena localizó a [una amiga] al cabo de dos horas.	Elena located [a friend] within two hours.
153	Alejandro identificó a [un agresor] en menos de dos minutos.	Alejandro identified [an aggressor] in less than two minutes.
154	Marta descartó a [un aspirante] en un minuto.	Marta discarded [an applicant] in one minute.
155	Samuel descubrió a [un infiltrado] en un par de días.	Samuel spotted [an infiltrator] in a couple of days.
156	Alba mencionó a [un actor] tras varios minutos de reflexión.	Alba mentioned [an actor] after several minutes of reflection.
