id	sentence	masked	top_fillers	probabilities
33	La cebra que ensució a [la turista] descansaba plácidamente.	['a']	[['a', ',', '.', 'sobre', '##a']]	[[0.8827685713768005, 0.019495980814099312, 0.009168282151222229, 0.006553369108587503, 0.00587692903354764]]
34	La cabra que empujó a [la pastora] respiraba velozmente.	['a']	[['a', 'de', 'hacia', 'sobre', 'por']]	[[0.9374030232429504, 0.01793575845658779, 0.008713233284652233, 0.006152958609163761, 0.003598317736759782]]
35	La serpiente que detestaba a [la veterinaria] entró sigilosamente.	['a']	[['a', 'de', 'toda', 'en', ',']]	[[0.9832988381385803, 0.004471383523195982, 0.00306894863024354, 0.0008749522967264056, 0.0007373109110631049]]
36	La leoparda que oyó a [la dueña] corrió repentinamente.	['a']	[['a', 'de', 'sobre', 'por', 'en']]	[[0.8306679129600525, 0.03944423049688339, 0.03570571914315224, 0.022557487711310387, 0.006879113614559174]]
37	El pony que buscaba al [jinete] chillaba tristemente.	['al']	[['el', 'al', 'un', 'otro', 'la']]	[[0.8095701336860657, 0.08520771563053131, 0.05762578174471855, 0.00554126501083374, 0.0053716846741735935]]
38	El león que mató al [cazador] caminaba lentamente.	['al']	[['al', 'el', 'a', 'un', 'del']]	[[0.6927237510681152, 0.23887985944747925, 0.019083170220255852, 0.014914365485310555, 0.008189234882593155]]
39	El caballo que miraba al [cuidador] gruñía desconsoladamente.	['al']	[['al', 'el', 'del', 'a', 'hacia']]	[[0.9575850963592529, 0.018958808854222298, 0.010201122611761093, 0.004344425164163113, 0.0005487875314429402]]
40	El tigre que atacó al [domador] dormía tranquilamente.	['al']	[['al', 'el', 'a', 'y', 'un']]	[[0.5878517627716064, 0.27240779995918274, 0.03777424618601799, 0.02121618203818798, 0.01348851528018713]]
41	El loro que observó al [cantante] cantaba claramente.	['al']	[['la', 'el', 'al', 'del', 'su']]	[[0.5264281630516052, 0.31793808937072754, 0.07450448721647263, 0.008534982800483704, 0.006317215971648693]]
42	Las panteras que atacaron a [las empleadas] descansaban tranquilamente.	['a']	[['a', 'y', 'contra', 'de', 'sobre']]	[[0.9479643106460571, 0.02158168889582157, 0.004910910502076149, 0.004340908024460077, 0.002858532592654228]]
43	Las burras que pisaron a [las mujeres] gruñían claramente.	['a']	[['a', 'de', 'en', 'sobre', 'hacia']]	[[0.6017448902130127, 0.08465855568647385, 0.05817132443189621, 0.03710894659161568, 0.029764948412775993]]
44	Las conejas que olieron a [las chicas] saltaban continuamente.	['a']	[['a', 'y', ',', 'sobre', 'de']]	[[0.3750764727592468, 0.27569082379341125, 0.06290541589260101, 0.04869384318590164, 0.03751775249838829]]
45	Las gallinas que detestaban a [las señoras] comían lentamente.	['a']	[['a', 'de', 'y', ',', 'todas']]	[[0.9432652592658997, 0.010055063292384148, 0.0057999384589493275, 0.005723954178392887, 0.005561370402574539]]
46	Las lobas que empujaron a [las ecólogas] salieron repentinamente.	['a']	[['a', 'de', 'todas', 'hacia', 'en']]	[[0.9762030839920044, 0.005535318050533533, 0.0034369081258773804, 0.002875316422432661, 0.0009848859626799822]]
47	Los pájaros que miraban a [los críos] cantaban alegremente.	['a']	[['a', 'hacia', 'de', 'y', 'por']]	[[0.6603188514709473, 0.05904984474182129, 0.057521820068359375, 0.036648765206336975, 0.03414851427078247]]
48	Los delfines que mataron a [los pescadores] gemían fuertemente.	['a']	[['a', 'y', 'todos', 'de', 'con']]	[[0.9581762552261353, 0.013618260622024536, 0.007498767226934433, 0.0038415330927819014, 0.0013739967253059149]]
49	Los cocodrilos que vieron a [los asistentes] nadaban frenéticamente.	['a']	[['a', 'de', 'todos', 'en', 'ante']]	[[0.9346632361412048, 0.017382867634296417, 0.009622279554605484, 0.007259856443852186, 0.0033413066994398832]]
50	Los flamencos que escucharon a [los ayudantes] dormían felizmente.	['a']	[['y', 'a', 'con', ',', 'de']]	[[0.6528714299201965, 0.20126383006572723, 0.07953889667987823, 0.01866433583199978, 0.008702117018401623]]
