id	es	en
1	Felipe eliminó a [un rehén] en pocos segundos.	Felipe eliminated a hostage in a few seconds.
2	Amaya neutralizó a [un enemigo] en cinco minutos.	Amaya neutralized an enemy in five minutes.
3	Joaquín abatió a [un contrincante] en unos minutos.	Joaquín knocked down an opponent within minutes.
4	Martina arrolló a [un peatón] en cuestión de segundos.	Martina ran over a pedestrian in a matter of seconds.
5	Carlos derribó a [un futbolista] en dos segundos.	Carlos knocked down a football player in two seconds.
6	Lucía destrozó a [un oponente] en dos asaltos.	Lucia destroyed an opponent in two rounds.
7	Mateo quemó a [una bruja] en poco más de media hora.	Matthew burnt a witch in little more than half an hour.
8	Valentina venció a [un adversario] en menos de una hora.	Valentina defeated an opponent in less than an hour.
9	Luis zarandeó a [un hombre] durante algunos minutos.	Luis shook a man for a few minutes.
10	María transportó a [un mochilero] durante todo el día.	María transported a backpacker for the whole day.
11	Lucas arrastró a [un soldado] durante un buen rato.	Lucas dragged a soldier for quite a while.
12	Claudia maltrató a [una compañera] durante varios años.	Claudia mistreated a classmate for several years.
13	Hugo apaleó a [un rebelde] durante varios minutos.	Hugo beat up a rebel for several minutes.
14	Carla asedió a [una contrincante] durante bastante tiempo.	Carla besieged an opponent for quite some time.
15	Daniel remolcó a [un enfermo] durante algunos minutos.	Daniel towed a sick person for several minutes.
16	Coral guio a [un turista] durante toda la mañana.	Coral guided a tourist for the whole morning.
