id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó a [MASK] rehén en pocos segundos. [SEP]	['un']	[['un', 'su', 'la', 'los', 'otro']]	[[0.3802 0.2093 0.1845 0.0433 0.0419]]
2	[CLS] Amaya neutralizó a [MASK] enemigo en cinco minutos. [SEP]	['un']	[['su', 'un', 'nuestro', 'cualquier', 'fuego']]	[[0.8378 0.058  0.0213 0.0155 0.0118]]
3	[CLS] Joaquín abatió a [MASK] contrincante en unos minutos. [SEP]	['un']	[['su', 'un', 'otro', 'sus', 'cualquier']]	[[0.9352 0.0346 0.0221 0.001  0.0009]]
4	[CLS] Martina arrolló a [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['un', 'otro', 'su', 'algún', 'una']]	[[0.9691 0.022  0.0025 0.0014 0.0007]]
5	[CLS] Carlos derribó a [MASK] futbolista en dos segundos. [SEP]	['un']	[['un', 'la', 'otro', 'este', 'los']]	[[0.7099 0.0775 0.0683 0.0218 0.0171]]
6	[CLS] Lucía destrozó a [MASK] oponente en dos asaltos. [SEP]	['un']	[['su', 'un', 'otro', 'este', 'sus']]	[[0.9787 0.0147 0.0021 0.0008 0.0005]]
7	[CLS] Mateo quemó a [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'su', 'esa', 'esta']]	[[0.8114 0.1466 0.0188 0.0066 0.0045]]
8	[CLS] Valentina venció a [MASK] adversario en menos de una hora. [SEP]	['un']	[['su', 'un', 'otro', 'cada', 'este']]	[[0.9907 0.0046 0.001  0.0008 0.0006]]
9	[CLS] Luis zarandeó a [MASK] hombre durante algunos minutos. [SEP]	['un']	[['su', 'un', 'este', 'ese', 'otro']]	[[0.5971 0.2142 0.0751 0.0313 0.0245]]
10	[CLS] María transportó a [MASK] mochilero durante todo el día. [SEP]	['un']	[['su', 'un', 'este', 'cada', 'ese']]	[[0.3435 0.2184 0.1993 0.0597 0.041 ]]
11	[CLS] Lucas arrastró a [MASK] soldado durante un buen rato. [SEP]	['un']	[['su', 'un', 'este', 'la', 'ese']]	[[0.2908 0.2326 0.1341 0.0855 0.0765]]
12	[CLS] Claudia maltrató a [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'una', 'la', 'esta', 'esa']]	[[0.9097 0.049  0.0163 0.0109 0.0028]]
13	[CLS] Hugo apaleó a [MASK] rebelde durante varios minutos. [SEP]	['un']	[['la', 'un', 'los', 'este', 'su']]	[[0.3153 0.2303 0.0762 0.037  0.0216]]
14	[CLS] Carla asedió a [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['su', 'un', 'la', 'una', 'otro']]	[[0.9714 0.0125 0.0034 0.0022 0.0015]]
15	[CLS] Daniel remolcó a [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['un', 'su', 'los', 'la', '[UNK]']]	[[0.1795 0.0837 0.0633 0.0575 0.0296]]
16	[CLS] Coral guio a [MASK] turista durante toda la mañana. [SEP]	['un']	[['cada', 'un', 'la', 'este', 'los']]	[[0.2889 0.2318 0.2181 0.1094 0.0271]]
