id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank
1	animate	Bob Esponja saludó a Squidward.	a	['a', 'al', 'de', 'en', 'con']	[0.9184 0.0378 0.0068 0.0063 0.0055]	0.9184	0
2	animate	La abuela recibió a los niños.	a	['a', 'todos', 'con', 'también', 'hasta']	[0.9826 0.006  0.0017 0.0012 0.0008]	0.9826	0
3	animate	El Goblin verde atacó a Spiderman.	a	['a', 'al', 'con', 'por', 'contra']	[0.991  0.0042 0.0007 0.0006 0.0004]	0.991	0
4	animate	La maestra ayudó al niño.	al	['al', 'el', 'del', 'a', 'un']	[0.9908 0.0055 0.002  0.0003 0.0002]	0.9908	0
5	animate	El ladrón secuestró a la señora.	a	['a', 'de', 'con', 'y', ',']	[0.9997 0.0001 0.     0.     0.    ]	0.9997	0
6	animate	Snoopy miró a su amigo.	a	['a', 'hacia', 'con', 'por', 'para']	[0.931  0.026  0.0197 0.0066 0.0029]	0.931	0
7	animate	La maestra castigó al estudiante.	al	['al', 'el', 'la', 'del', 'a']	[0.9937 0.0035 0.0009 0.0005 0.0003]	0.9937	0
8	animate	Buzz Lightyear llevó a Woody.	a	['a', 'al', 'el', 'con', 'un']	[0.971  0.0104 0.0023 0.0023 0.0021]	0.971	0
9	animate	Plankton conoció a Bob Esponja.	a	['a', 'al', 'con', 'en', 'de']	[0.9958 0.0021 0.001  0.0002 0.0001]	0.9958	0
10	animate	Mickey abrazó a Pluto.	a	['a', 'de', 'al', 'con', 'su']	[0.9872 0.0017 0.0016 0.001  0.0008]	0.9872	0
11	animate	La abuelita visitó al niño.	al	['al', 'el', 'un', 'a', 'del']	[0.9892 0.0088 0.0005 0.0005 0.0003]	0.9892	0
12	animate	Fiona besó a Shrek.	a	['a', 'al', '[UNK]', 'en', 'el']	[0.9667 0.011  0.004  0.0027 0.002 ]	0.9667	0
13	animate	La mamá tocó al bebé.	al	['al', 'el', 'un', 'su', 'la']	[0.8679 0.0946 0.0187 0.0091 0.0041]	0.8679	0
14	animate	Hello Kitty vio a Keroppi.	a	['a', 'en', 'el', '[UNK]', 'de']	[0.3488 0.0551 0.045  0.0408 0.0325]	0.3488	0
15	animate	Diego llevó a Isabel.	a	['a', 'hasta', 'con', 'la', 'una']	[0.9743 0.0061 0.0019 0.0017 0.0017]	0.9743	0
16	animate	Eduardo conoció a Bella.	a	['a', 'en', 'una', 'la', 'de']	[0.9898 0.0017 0.0009 0.0009 0.0008]	0.9898	0
17	animate	Alejandro abrazó a Consuelo.	a	['a', 'al', 'su', 'la', 'de']	[0.9929 0.0018 0.0013 0.0012 0.0005]	0.9929	0
18	animate	Mario vio a Jaime.	a	['a', 'la', 'el', 'que', '[UNK]']	[0.1558 0.1243 0.0684 0.038  0.033 ]	0.1558	0
19	animate	El niño visitó a su abuela.	a	['a', 'con', 'también', 'nuevamente', 'regularmente']	[0.9944 0.0028 0.0005 0.0002 0.0001]	0.9944	0
20	animate	Julieta besó a Romeo.	a	['a', 'al', 'á', 'de', 'con']	[0.9836 0.0081 0.0019 0.0011 0.0009]	0.9836	0
