input	experiment_type	model	filler_type	mean_prob	std_prob	median_prob	mean_rank
hg-2023_affected	dobject-masking-dom-mask_det	mBERT	dom	0.0024	0.0092	0.0	4.875
hg-2023_affected	dobject-masking-dom-mask_det	mBERT	def	0.1742	0.2141	0.1027	1.125
hg-2023_affected	dobject-masking-dom-mask_det	mBERT	indef	0.2301	0.2216	0.1752	1.0
hg-2023_nonaffected	dobject-masking-dom-mask_det	mBERT	dom	0.0058	0.022	0.0	4.625
hg-2023_nonaffected	dobject-masking-dom-mask_det	mBERT	def	0.3331	0.3445	0.1775	1.625
hg-2023_nonaffected	dobject-masking-dom-mask_det	mBERT	indef	0.16	0.2189	0.1017	1.4375
ms-2013_animate	dobject-masking-dom-mask_det	mBERT	dom	0.0	0.0	0.0	5.0
ms-2013_animate	dobject-masking-dom-mask_det	mBERT	def	0.3923	0.2855	0.3789	1.125
ms-2013_animate	dobject-masking-dom-mask_det	mBERT	indef	0.2838	0.2819	0.1843	2.0
ms-2013_inanimate	dobject-masking-dom-mask_det	mBERT	dom	0.0108	0.0258	0.0	4.08
ms-2013_inanimate	dobject-masking-dom-mask_det	mBERT	def	0.2641	0.3563	0.0	2.76
ms-2013_inanimate	dobject-masking-dom-mask_det	mBERT	indef	0.0791	0.1491	0.0	3.36
sa-2020_animate	dobject-masking-dom-mask_det	mBERT	dom	0.0032	0.0136	0.0	4.8519
sa-2020_animate	dobject-masking-dom-mask_det	mBERT	def	0.8472	0.2126	0.9294	0.0741
sa-2020_animate	dobject-masking-dom-mask_det	mBERT	indef	0.0489	0.128	0.0	3.4444
re-2021_indefinite	dobject-masking-dom-mask_det	mBERT	dom	0.0037	0.007	0.0	4.75
re-2021_indefinite	dobject-masking-dom-mask_det	mBERT	def	0.1211	0.1997	0.0465	2.375
re-2021_indefinite	dobject-masking-dom-mask_det	mBERT	indef	0.5832	0.2856	0.6261	0.25
self-re_definite	dobject-masking-dom-mask_det	mBERT	dom	0.0005	0.0013	0.0	4.875
self-re_definite	dobject-masking-dom-mask_det	mBERT	def	0.4773	0.2914	0.419	0.375
self-re_definite	dobject-masking-dom-mask_det	mBERT	indef	0.217	0.1773	0.1619	1.0
self-re_indefinite	dobject-masking-dom-mask_det	mBERT	dom	0.0	0.0	0.0	5.0
self-re_indefinite	dobject-masking-dom-mask_det	mBERT	def	0.6175	0.1629	0.5885	0.125
self-re_indefinite	dobject-masking-dom-mask_det	mBERT	indef	0.1635	0.1061	0.1611	1.25
self-sa_inanimate	dobject-masking-dom-mask_det	mBERT	dom	0.0	0.0	0.0	5.0
self-sa_inanimate	dobject-masking-dom-mask_det	mBERT	def	0.9212	0.0463	0.9341	0.0
self-sa_inanimate	dobject-masking-dom-mask_det	mBERT	indef	0.018	0.0308	0.0014	3.3571
