id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] rehén en pocos segundos. [SEP]	['un']	[['el', 'al', 'un', 'del', 'su']]	[[0.473  0.4094 0.0355 0.0227 0.0131]]
2	[CLS] Amaya neutralizó [MASK] enemigo en cinco minutos. [SEP]	['un']	[['el', 'al', 'su', 'lo', 'este']]	[[0.7396 0.1984 0.0268 0.0053 0.0049]]
3	[CLS] Joaquín abatió [MASK] contrincante en unos minutos. [SEP]	['un']	[['al', 'el', 'un', 'su', 'a']]	[[0.5195 0.3974 0.018  0.0155 0.0104]]
4	[CLS] Martina arrolló [MASK] peatón en cuestión de segundos. [SEP]	['un']	[['el', 'en', 'al', 'un', 'su']]	[[0.6011 0.0912 0.0902 0.0718 0.0323]]
5	[CLS] Carlos derribó [MASK] futbolista en dos segundos. [SEP]	['un']	[['al', 'como', 'a', 'ao', 'el']]	[[0.5637 0.1274 0.0982 0.0813 0.0204]]
6	[CLS] Lucía destrozó [MASK] oponente en dos asaltos. [SEP]	['un']	[['al', 'el', 'su', 'a', 'un']]	[[0.6856 0.1922 0.0503 0.0197 0.0078]]
7	[CLS] Mateo quemó [MASK] bruja en poco más de media hora. [SEP]	['una']	[['la', 'una', 'a', 'su', 'el']]	[[0.9273 0.034  0.0067 0.0035 0.0034]]
8	[CLS] Valentina venció [MASK] adversario en menos de una hora. [SEP]	['un']	[['al', 'el', 'su', 'ao', 'a']]	[[0.9327 0.0217 0.0106 0.0088 0.0051]]
9	[CLS] Luis zarandeó [MASK] hombre durante algunos minutos. [SEP]	['un']	[['al', 'el', 'un', 'a', 'del']]	[[0.7198 0.2057 0.015  0.0142 0.0138]]
10	[CLS] María transportó [MASK] mochilero durante todo el día. [SEP]	['un']	[['el', 'un', 'al', 'su', 'este']]	[[0.8538 0.0405 0.0321 0.0211 0.0088]]
11	[CLS] Lucas arrastró [MASK] soldado durante un buen rato. [SEP]	['un']	[['al', 'el', 'un', 'a', 'del']]	[[0.8447 0.0774 0.032  0.0201 0.0036]]
12	[CLS] Claudia maltrató [MASK] compañera durante varios años. [SEP]	['una']	[['su', 'la', 'a', 'una', 'sua']]	[[0.8373 0.1008 0.0198 0.0066 0.0041]]
13	[CLS] Hugo apaleó [MASK] rebelde durante varios minutos. [SEP]	['un']	[['al', 'el', 'a', 'Hugo', 'la']]	[[0.7662 0.1106 0.0424 0.018  0.01  ]]
14	[CLS] Carla asedió [MASK] contrincante durante bastante tiempo. [SEP]	['una']	[['al', 'el', 'su', 'a', 'la']]	[[0.6347 0.1028 0.0796 0.0712 0.0304]]
15	[CLS] Daniel remolcó [MASK] enfermo durante algunos minutos. [SEP]	['un']	[['al', 'el', 'Daniel', 'lo', 'a']]	[[0.4301 0.2446 0.0597 0.0477 0.0314]]
16	[CLS] Coral guio [MASK] turista durante toda la mañana. [SEP]	['un']	[['al', 'el', 'del', 'a', 'la']]	[[0.8473 0.0792 0.0151 0.0131 0.0084]]
