id	input_sentence	masked	top_fillers	probabilities
105	[CLS] La artista que pisó [MASK] la perra andaba sigilosamente. [SEP]	['a']	[['a', 'en', ',', 'con', 'sobre']]	[[0.9234 0.0099 0.0087 0.0083 0.0035]]
106	[CLS] La bióloga que abrazó [MASK] la gorila sonreía incesantemente. [SEP]	['a']	[['a', 'de', 'con', 'como', ',']]	[[0.9981 0.0003 0.0002 0.0002 0.0001]]
107	[CLS] La voluntaria que tocó [MASK] la tortuga bebía continuamente. [SEP]	['a']	[['a', 'con', ',', 'tocó', 'fue']]	[[0.9652 0.0089 0.0035 0.003  0.0019]]
108	[CLS] La ciclista que vio [MASK] la vaca comía distraídamente. [SEP]	['a']	[['a', 'era', ',', 'en', 'pasar']]	[[0.8876 0.0167 0.0133 0.0093 0.0066]]
109	[CLS] La granjera que olió [MASK] la cerda salió inesperadamente. [SEP]	['a']	[['a', 'como', 'en', 'mal', 'de']]	[[0.8334 0.1006 0.0061 0.006  0.0055]]
110	[CLS] El entrenador que escuchó [MASK] delfín nadaba rápidamente. [SEP]	['al']	[['al', 'del', 'el', 'este', 'un']]	[[0.5583 0.2109 0.1764 0.011  0.0095]]
111	[CLS] El conductor que persiguió [MASK] camello paseaba felizmente. [SEP]	['al']	[['al', 'el', 'su', 'un', 'ese']]	[[0.7189 0.2144 0.051  0.0049 0.0021]]
112	[CLS] El hombre que adoraba [MASK] canguro saltaba incesantemente. [SEP]	['al']	[['al', 'el', 'la', 'su', 'ser']]	[[0.7308 0.1435 0.0615 0.0155 0.0139]]
113	[CLS] El amo que pegó [MASK] orangután gemía desconsoladamente. [SEP]	['al']	[['al', 'el', 'ese', 'un', 'a']]	[[0.9247 0.0603 0.0039 0.0025 0.0017]]
114	[CLS] Las zoólogas que observaron [MASK] las palomas bebían plácidamente. [SEP]	['a']	[['que', 'a', ',', 'en', 'como']]	[[0.5969 0.19   0.122  0.008  0.007 ]]
115	[CLS] Las hermanas que buscaron [MASK] las gatas entraron inesperadamente. [SEP]	['a']	[['a', 'por', 'entre', 'en', ',']]	[[0.926  0.0128 0.0097 0.0095 0.0074]]
116	[CLS] Las niñas que adoraban [MASK] las ardillas chillaban alegremente. [SEP]	['a']	[['a', 'de', 'todas', 'tanto', ',']]	[[0.9967 0.0005 0.0002 0.0002 0.0001]]
117	[CLS] Las estudiantes que pegaron [MASK] las monas paseaban tristemente. [SEP]	['a']	[['a', 'en', 'con', 'contra', 'por']]	[[0.9649 0.0092 0.0089 0.0065 0.0015]]
118	[CLS] Los payasos que abrazaron [MASK] los chimpancés caminaban rápidamente. [SEP]	['a']	[['a', 'de', 'y', 'como', 'por']]	[[0.9956 0.0006 0.0005 0.0004 0.0002]]
119	[CLS] Los trabajadores que perseguían [MASK] los guepardos corrían velozmente. [SEP]	['a']	[['a', 'eran', 'de', ',', 'y']]	[[0.9912 0.0024 0.0015 0.0007 0.0004]]
120	[CLS] Los niños que ensuciaron [MASK] los macacos sonreían frenéticamente. [SEP]	['a']	[['a', 'en', 'con', 'todos', 'tanto']]	[[0.9755 0.0066 0.0044 0.0025 0.0009]]
121	[CLS] Los viejos que oyeron [MASK] los pollos respiraban fuertemente. [SEP]	['a']	[['a', 'de', 'cantar', 'sobre', 'tocar']]	[[0.7406 0.0411 0.0222 0.0166 0.0166]]
122	[CLS] Los técnicos que tocaron [MASK] los hámsters andaban distraídamente. [SEP]	['a']	[['a', 'con', 'para', 'en', 'como']]	[[0.7898 0.1278 0.0189 0.01   0.0078]]
