id	input_sentence	masked	top_fillers	probabilities
105	[CLS] La artista que pisó a [MASK] perra andaba sigilosamente. [SEP]	['la']	[['la', 'su', 'esa', 'mi', 'esta']]	[[0.7635 0.0829 0.0426 0.0313 0.0249]]
106	[CLS] La bióloga que abrazó a [MASK] gorila sonreía incesantemente. [SEP]	['la']	[['este', 'un', 'ese', 'su', 'aquel']]	[[0.265  0.2524 0.125  0.1214 0.0507]]
107	[CLS] La voluntaria que tocó a [MASK] tortuga bebía continuamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'su']]	[[0.9198 0.0221 0.0207 0.0092 0.006 ]]
108	[CLS] La ciclista que vio a [MASK] vaca comía distraídamente. [SEP]	['la']	[['la', 'una', 'esta', 'su', 'esa']]	[[0.9157 0.0446 0.0174 0.0079 0.006 ]]
109	[CLS] La granjera que olió a [MASK] cerda salió inesperadamente. [SEP]	['la']	[['la', 'una', 'esa', 'su', 'esta']]	[[0.723  0.2154 0.0145 0.0119 0.0069]]
114	[CLS] Las zoólogas que observaron a [MASK] palomas bebían plácidamente. [SEP]	['las']	[['las', 'estas', 'esas', 'sus', 'unas']]	[[0.7347 0.2151 0.0172 0.0033 0.0022]]
115	[CLS] Las hermanas que buscaron a [MASK] gatas entraron inesperadamente. [SEP]	['las']	[['las', 'sus', 'estas', 'esas', 'aquellas']]	[[0.9034 0.0649 0.0065 0.0064 0.0024]]
116	[CLS] Las niñas que adoraban a [MASK] ardillas chillaban alegremente. [SEP]	['las']	[['las', 'estas', 'esas', 'sus', 'la']]	[[0.9668 0.0107 0.0096 0.0062 0.0011]]
117	[CLS] Las estudiantes que pegaron a [MASK] monas paseaban tristemente. [SEP]	['las']	[['las', 'esas', 'estas', 'sus', 'aquellas']]	[[0.8444 0.0757 0.024  0.0164 0.0059]]
118	[CLS] Los payasos que abrazaron a [MASK] chimpancés caminaban rápidamente. [SEP]	['los']	[['los', 'estos', 'sus', 'otros', 'esos']]	[[0.9721 0.0092 0.0045 0.0023 0.0022]]
119	[CLS] Los trabajadores que perseguían a [MASK] guepardos corrían velozmente. [SEP]	['los']	[['los', 'sus', 'estos', 'esos', 'las']]	[[0.9603 0.0196 0.0073 0.0031 0.0025]]
120	[CLS] Los niños que ensuciaron a [MASK] macacos sonreían frenéticamente. [SEP]	['los']	[['los', 'sus', 'esos', 'nuestros', 'mis']]	[[0.8482 0.0886 0.0138 0.0136 0.0085]]
121	[CLS] Los viejos que oyeron a [MASK] pollos respiraban fuertemente. [SEP]	['los']	[['los', 'esos', 'estos', 'sus', 'aquellos']]	[[0.8622 0.0493 0.0329 0.0167 0.007 ]]
122	[CLS] Los técnicos que tocaron a [MASK] hámsters andaban distraídamente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'nuestros']]	[[0.9065 0.0535 0.0138 0.0106 0.0032]]
123	[CLS] La cebra que ensució a [MASK] turista descansaba plácidamente. [SEP]	['la']	[['la', 'un', 'ese', 'nuestro', 'aquel']]	[[0.5927 0.084  0.0753 0.0496 0.0434]]
124	[CLS] La cabra que empujó a [MASK] pastora respiraba velozmente. [SEP]	['la']	[['la', 'su', 'una', 'aquella', 'esta']]	[[0.976  0.0091 0.0086 0.0015 0.0008]]
125	[CLS] La serpiente que detestaba a [MASK] veterinaria entró sigilosamente. [SEP]	['la']	[['la', 'su', 'una', 'esa', 'esta']]	[[0.9173 0.0287 0.0106 0.0101 0.007 ]]
126	[CLS] La leoparda que oyó a [MASK] dueña corrió repentinamente. [SEP]	['la']	[['su', 'la', 'lad', 'sus', 'ser']]	[[0.511  0.4448 0.0058 0.0047 0.0033]]
132	[CLS] Las panteras que atacaron a [MASK] empleadas descansaban tranquilamente. [SEP]	['las']	[['las', 'sus', 'la', 'los', 'ambas']]	[[0.7239 0.0676 0.0373 0.0243 0.0111]]
133	[CLS] Las burras que pisaron a [MASK] mujeres gruñían claramente. [SEP]	['las']	[['las', 'esas', 'sus', 'estas', 'nuestras']]	[[0.5768 0.146  0.0749 0.0695 0.0466]]
134	[CLS] Las conejas que olieron a [MASK] chicas saltaban continuamente. [SEP]	['las']	[['las', 'esas', 'estas', 'sus', 'otras']]	[[0.6174 0.2155 0.0678 0.0243 0.0183]]
135	[CLS] Las gallinas que detestaban a [MASK] señoras comían lentamente. [SEP]	['las']	[['las', 'sus', 'estas', 'otras', 'esas']]	[[0.8712 0.0781 0.0123 0.0067 0.0066]]
136	[CLS] Las lobas que empujaron a [MASK] ecólogas salieron repentinamente. [SEP]	['las']	[['las', 'sus', 'estas', 'esas', 'ambas']]	[[0.9171 0.0209 0.0124 0.0064 0.0051]]
137	[CLS] Los pájaros que miraban a [MASK] críos cantaban alegremente. [SEP]	['los']	[['los', 'sus', 'aquellos', 'esos', 'estos']]	[[0.9485 0.0334 0.0042 0.0034 0.0026]]
138	[CLS] Los delfines que mataron a [MASK] pescadores gemían fuertemente. [SEP]	['los']	[['los', 'estos', 'ambos', 'esos', 'sus']]	[[0.9085 0.0191 0.0107 0.0089 0.0084]]
139	[CLS] Los cocodrilos que vieron a [MASK] asistentes nadaban frenéticamente. [SEP]	['los']	[['los', 'sus', 'la', 'las', 'su']]	[[0.5145 0.1124 0.0504 0.0315 0.0208]]
140	[CLS] Los flamencos que escucharon a [MASK] ayudantes dormían felizmente. [SEP]	['los']	[['sus', 'los', 'estos', 'esos', 'mis']]	[[0.5098 0.4198 0.0257 0.0066 0.0053]]
