id	input_sentence	masked	top_fillers	probabilities
157	[CLS] La artista que pisó [MASK] manzana andaba sigilosamente. [SEP]	['la']	[['la', 'una', 'esta', 'a', 'esa']]	[[0.6895 0.2353 0.0099 0.0097 0.0091]]
158	[CLS] La bióloga que abrazó [MASK] silla sonreía incesantemente. [SEP]	['la']	[['la', 'una', 'a', 'el', 'esta']]	[[0.8319 0.071  0.0211 0.0072 0.0065]]
159	[CLS] La voluntaria que tocó [MASK] mesa bebía continuamente. [SEP]	['la']	[['la', 'a', 'una', 'esta', 'esa']]	[[0.8878 0.0359 0.0175 0.0175 0.0049]]
160	[CLS] La ciclista que vio [MASK] montaña comía distraídamente. [SEP]	['la']	[['la', 'una', 'esta', 'esa', 'a']]	[[0.7854 0.1549 0.0111 0.01   0.007 ]]
161	[CLS] La granjera que olió [MASK] cena salió inesperadamente. [SEP]	['la']	[['la', 'a', 'una', 'de', 'en']]	[[0.7012 0.1042 0.0716 0.0222 0.0205]]
166	[CLS] Las zoólogas que observaron [MASK] hoja bebían plácidamente. [SEP]	['las']	[['la', 'una', 'esta', 'las', 'el']]	[[0.9562 0.0114 0.0084 0.0036 0.003 ]]
167	[CLS] Las hermanas que buscaron [MASK] bicicletas entraron inesperadamente. [SEP]	['las']	[['las', 'sus', 'unas', 'los', 'estas']]	[[0.9339 0.029  0.0056 0.0055 0.0054]]
168	[CLS] Las niñas que adoraban [MASK] fresas chillaban alegremente. [SEP]	['las']	[['las', 'sus', 'estas', 'los', 'les']]	[[0.9433 0.0119 0.0071 0.0047 0.0042]]
169	[CLS] Las estudiantes que pegaron [MASK] flores paseaban tristemente. [SEP]	['las']	[['las', 'de', 'sus', 'estas', 'unas']]	[[0.9324 0.0104 0.0095 0.0068 0.0064]]
170	[CLS] Los payasos que abrazaron [MASK] árboles caminaban rápidamente. [SEP]	['los']	[['los', 'de', 'esos', 'sus', 'el']]	[[0.9356 0.0094 0.0077 0.006  0.0052]]
171	[CLS] Los trabajadores que perseguían [MASK] autobuses corrían velozmente. [SEP]	['los']	[['los', 'a', 'sus', 'el', 'estos']]	[[0.9315 0.012  0.0098 0.0074 0.0056]]
172	[CLS] Los niños que ensuciaron [MASK] zapatos sonreían frenéticamente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'en']]	[[0.6632 0.24   0.0107 0.0097 0.0086]]
173	[CLS] Los viejos que oyeron [MASK] aviones respiraban fuertemente. [SEP]	['los']	[['los', 'sus', 'esos', 'estos', 'a']]	[[0.5924 0.0921 0.0679 0.06   0.0315]]
174	[CLS] Los técnicos que tocaron [MASK] teléfonos andaban distraídamente. [SEP]	['los']	[['los', 'sus', 'en', 'esos', 'con']]	[[0.8656 0.0364 0.0201 0.0151 0.0098]]
