id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
51	[CLS] La artista que pisó [MASK] la manzana andaba sigilosamente. [SEP]	a	en	0.3279	toda	0.2129	primero	0.0712	a	0.0395	bien	0.0263
52	[CLS] La bióloga que abrazó [MASK] la silla sonreía incesantemente. [SEP]	a	a	0.4289	con	0.1495	en	0.1262	desde	0.0463	bajo	0.0244
53	[CLS] La voluntaria que tocó [MASK] la mesa bebía continuamente. [SEP]	a	a	0.7437	en	0.2065	sobre	0.0176	primero	0.0061	de	0.0023
54	[CLS] La ciclista que vio [MASK] la montaña comía distraídamente. [SEP]	a	pasar	0.27	subir	0.1558	en	0.108	cruzar	0.0693	caer	0.0577
55	[CLS] La granjera que olió [MASK] la cena salió inesperadamente. [SEP]	a	en	0.572	durante	0.1694	para	0.0687	a	0.066	mal	0.0245
56	[CLS] El entrenador que escuchó [MASK] piano nadaba rápidamente. [SEP]	al	el	0.818	al	0.0405	este	0.0259	del	0.0211	ese	0.0169
57	[CLS] El conductor que persiguió [MASK] coche paseaba felizmente. [SEP]	al	el	0.6456	al	0.2788	su	0.0507	ese	0.0055	aquel	0.005
58	[CLS] El hombre que adoraba [MASK] sol saltaba incesantemente. [SEP]	al	el	0.496	al	0.4921	su	0.0027	ese	0.002	este	0.0017
59	[CLS] El amo que pegó [MASK] el armario gemía desconsoladamente. [SEP]	al	en	0.7416	##ba	0.0511	##ó	0.0311	con	0.0278	por	0.0115
60	[CLS] Las zoólogas que observaron [MASK] las hoja bebían plácidamente. [SEP]	a	que	0.4511	a	0.2196	,	0.1069	en	0.0446	fueron	0.0126
61	[CLS] Las hermanas que buscaron [MASK] las monedas entraron inesperadamente. [SEP]	a	por	0.2294	todas	0.1128	en	0.0979	a	0.0793	recuperar	0.0553
62	[CLS] Las niñas que adoraban [MASK] las fresas chillaban alegremente. [SEP]	a	a	0.9804	tanto	0.006	mucho	0.0013	todas	0.001	siempre	0.0009
63	[CLS] Las estudiantes que pegaron [MASK] las flores paseaban tristemente. [SEP]	a	a	0.6319	con	0.1942	en	0.0762	contra	0.0251	todas	0.006
64	[CLS] Los payasos que abrazaron [MASK] los árboles caminaban rápidamente. [SEP]	a	a	0.9036	en	0.0524	desde	0.0069	entre	0.0049	todos	0.0045
65	[CLS] Los trabajadores que perseguían [MASK] los autobuses corrían velozmente. [SEP]	a	a	0.8345	en	0.1028	por	0.0117	desde	0.0074	de	0.0058
66	[CLS] Los niños que ensuciaron [MASK] los zapatos sonreían frenéticamente. [SEP]	a	todos	0.1876	con	0.0714	##se	0.0698	tanto	0.066	en	0.0519
67	[CLS] Los viejos que oyeron [MASK] los aviones respiraban fuertemente. [SEP]	a	caer	0.1548	de	0.092	a	0.0896	derribar	0.0543	volar	0.0513
68	[CLS] Los técnicos que tocaron [MASK] los teléfonos andaban distraídamente. [SEP]	a	en	0.4309	a	0.2493	con	0.1168	todos	0.022	por	0.0125
