id	input_sentence	masked	top_fillers	probabilities
1	[CLS] Felipe eliminó [MASK] un rehén en pocos segundos. [SEP]	['a']	[['a', 'de', 'por', 'sobre', 'como']]	[[0.9396 0.0278 0.0087 0.0032 0.0019]]
2	[CLS] Amaya neutralizó [MASK] un enemigo en cinco minutos. [SEP]	['a']	[['a', 'rápidamente', 'de', 'fácilmente', 'en']]	[[0.92   0.0081 0.0051 0.0047 0.004 ]]
3	[CLS] Joaquín abatió [MASK] un contrincante en unos minutos. [SEP]	['a']	[['a', 'de', 'al', 'sobre', 'en']]	[[0.9832 0.0023 0.0023 0.0015 0.0014]]
4	[CLS] Martina arrolló [MASK] un peatón en cuestión de segundos. [SEP]	['a']	[['en', 'con', 'a', 'sobre', 'de']]	[[0.5169 0.1729 0.1084 0.098  0.0238]]
5	[CLS] Carlos derribó [MASK] un futbolista en dos segundos. [SEP]	['a']	[['a', 'como', 'de', 'al', 'en']]	[[0.9392 0.0282 0.0076 0.0031 0.0024]]
6	[CLS] Lucía destrozó [MASK] un oponente en dos asaltos. [SEP]	['a']	[['a', 'de', 'al', 'también', 'con']]	[[0.9935 0.0009 0.0008 0.0003 0.0003]]
7	[CLS] Mateo quemó [MASK] una bruja en poco más de media hora. [SEP]	['a']	[['a', 'también', 'con', 'de', 'por']]	[[0.9045 0.0203 0.006  0.0041 0.004 ]]
8	[CLS] Valentina venció [MASK] un adversario en menos de una hora. [SEP]	['a']	[['a', 'con', 'sobre', 'en', 'de']]	[[0.959  0.0151 0.0063 0.003  0.0025]]
9	[CLS] Luis zarandeó [MASK] un hombre durante algunos minutos. [SEP]	['a']	[['a', 'en', 'de', 'con', 'sobre']]	[[0.8346 0.0287 0.0282 0.0278 0.0185]]
10	[CLS] María transportó [MASK] un mochilero durante todo el día. [SEP]	['a']	[['a', 'todo', 'al', 'por', 'de']]	[[0.8624 0.0232 0.0139 0.0072 0.0069]]
11	[CLS] Lucas arrastró [MASK] un soldado durante un buen rato. [SEP]	['a']	[['a', 'en', 'con', 'de', 'al']]	[[0.9643 0.004  0.0038 0.0038 0.0029]]
12	[CLS] Claudia maltrató [MASK] una compañera durante varios años. [SEP]	['a']	[['a', 'de', 'su', 'con', 'en']]	[[0.9763 0.0058 0.0033 0.0024 0.0006]]
13	[CLS] Hugo apaleó [MASK] un rebelde durante varios minutos. [SEP]	['a']	[['a', 'en', 'al', 'de', 'sobre']]	[[0.9257 0.0146 0.0086 0.0075 0.006 ]]
14	[CLS] Carla asedió [MASK] una contrincante durante bastante tiempo. [SEP]	['a']	[['a', 'sobre', 'de', 'al', 'como']]	[[0.9853 0.0019 0.0015 0.001  0.0008]]
15	[CLS] Daniel remolcó [MASK] un enfermo durante algunos minutos. [SEP]	['a']	[['a', 'en', 'al', 'como', '##se']]	[[0.9092 0.0138 0.01   0.01   0.0095]]
16	[CLS] Coral guio [MASK] un turista durante toda la mañana. [SEP]	['a']	[['a', 'por', 'de', 'es', 'con']]	[[0.6132 0.1337 0.0838 0.0708 0.0189]]
