id	input_sentence	masked	top_fillers	probabilities
105	[CLS] La artista que pisó [MASK] la perra andaba sigilosamente. [SEP]	['a']	[['con', 'a', 'de', 'por', 'en']]	[[0.3144 0.1467 0.1409 0.0858 0.0754]]
106	[CLS] La bióloga que abrazó [MASK] la gorila sonreía incesantemente. [SEP]	['a']	[['a', 'con', 'de', 'sobre', ',']]	[[0.9415 0.0125 0.009  0.0041 0.0036]]
107	[CLS] La voluntaria que tocó [MASK] la tortuga bebía continuamente. [SEP]	['a']	[['con', 'sobre', 'a', 'contra', 'y']]	[[0.3768 0.1413 0.1393 0.0582 0.0441]]
108	[CLS] La ciclista que vio [MASK] la vaca comía distraídamente. [SEP]	['a']	[['a', 'en', 'con', 'de', 'vio']]	[[0.161  0.1188 0.0725 0.0381 0.0355]]
109	[CLS] La granjera que olió [MASK] la cerda salió inesperadamente. [SEP]	['a']	[['de', 'en', 'a', 'con', 'sobre']]	[[0.2675 0.2265 0.1547 0.0995 0.0524]]
110	[CLS] El entrenador que escuchó [MASK] delfín nadaba rápidamente. [SEP]	['al']	[['el', 'un', 'al', 'este', 'del']]	[[0.8258 0.0375 0.036  0.0261 0.026 ]]
111	[CLS] El conductor que persiguió [MASK] camello paseaba felizmente. [SEP]	['al']	[['el', 'al', 'un', 'su', 'del']]	[[0.4332 0.3796 0.0595 0.026  0.026 ]]
112	[CLS] El hombre que adoraba [MASK] canguro saltaba incesantemente. [SEP]	['al']	[['el', 'al', 'un', 'del', 'su']]	[[0.6755 0.2705 0.0073 0.0049 0.0041]]
113	[CLS] El amo que pegó [MASK] orangután gemía desconsoladamente. [SEP]	['al']	[['el', 'al', 'un', 'a', 'del']]	[[0.4881 0.3373 0.08   0.0179 0.0081]]
114	[CLS] Las zoólogas que observaron [MASK] las palomas bebían plácidamente. [SEP]	['a']	[['que', 'en', 'a', 'de', 'con']]	[[0.5185 0.1118 0.0951 0.0712 0.0216]]
115	[CLS] Las hermanas que buscaron [MASK] las gatas entraron inesperadamente. [SEP]	['a']	[['a', 'y', 'de', 'para', 'con']]	[[0.8676 0.014  0.0139 0.0138 0.0055]]
116	[CLS] Las niñas que adoraban [MASK] las ardillas chillaban alegremente. [SEP]	['a']	[['a', 'con', 'de', 'y', 'por']]	[[0.8642 0.0597 0.0091 0.0064 0.0059]]
117	[CLS] Las estudiantes que pegaron [MASK] las monas paseaban tristemente. [SEP]	['a']	[['a', 'de', 'por', 'sobre', 'y']]	[[0.842  0.0224 0.0203 0.018  0.0172]]
118	[CLS] Los payasos que abrazaron [MASK] los chimpancés caminaban rápidamente. [SEP]	['a']	[['a', 'de', 'con', 'hacia', 'sobre']]	[[0.9218 0.0212 0.0122 0.0078 0.0071]]
119	[CLS] Los trabajadores que perseguían [MASK] los guepardos corrían velozmente. [SEP]	['a']	[['a', 'todos', 'con', 'de', 'por']]	[[0.9294 0.0175 0.008  0.0073 0.0065]]
120	[CLS] Los niños que ensuciaron [MASK] los macacos sonreían frenéticamente. [SEP]	['a']	[['a', 'con', 'de', 'en', 'sobre']]	[[0.8705 0.0473 0.032  0.0121 0.0053]]
121	[CLS] Los viejos que oyeron [MASK] los pollos respiraban fuertemente. [SEP]	['a']	[['y', 'a', 'sobre', 'con', 'de']]	[[0.3072 0.2524 0.0893 0.0742 0.0506]]
122	[CLS] Los técnicos que tocaron [MASK] los hámsters andaban distraídamente. [SEP]	['a']	[['a', 'con', 'en', 'de', 'todos']]	[[0.4652 0.1625 0.1302 0.0422 0.0357]]
