id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank	def_prob	def_rank	indef_prob	indef_rank
1	affected	Felipe eliminó a [MASK] rehén en pocos segundos .	un	['un', 'Felipe', 'su', 'el', 'este']	[0.3151 0.2262 0.1542 0.0865 0.025 ]	0.012	7	0.0865	3	0.3151	0
2	affected	Amaya neutralizó a [MASK] enemigo en cinco minutos .	un	['el', 'su', 'lo', 'un', 'este']	[0.3103 0.1716 0.0919 0.0779 0.0502]	0.0179	7	0.3103	0	0.0779	3
3	affected	Joaquín abatió a [MASK] contrincante en unos minutos .	un	['su', 'el', 'un', 'la', 'Joaquín']	[0.3586 0.1918 0.1322 0.121  0.0309]	0.0133	7	0.1918	1	0.1322	2
4	affected	Martina arrolló a [MASK] peatón en cuestión de segundos .	un	['un', 'el', 'su', 'otro', 'del']	[0.693  0.0757 0.0531 0.0258 0.0181]	0.0043	10	0.0757	1	0.693	0
5	affected	Carlos derribó a [MASK] futbolista en dos segundos .	un	['un', 'o', 'el', 'outro', 'otro']	[0.23   0.1173 0.1086 0.0503 0.0414]	0.0232	6	0.1086	2	0.23	0
6	affected	Lucía destrozó a [MASK] oponente en dos asaltos .	un	['su', 'un', 'el', 'lo', 'la']	[0.7846 0.0425 0.0288 0.0274 0.0193]	0.0047	8	0.0288	2	0.0425	1
7	affected	Mateo quemó a [MASK] bruja en poco más de media hora .	una	['la', 'una', 'La', 'su', 'esta']	[0.9329 0.037  0.0032 0.003  0.0026]	0.0005	11	0.9329	0	0.037	1
8	affected	Valentina venció a [MASK] adversario en menos de una hora .	un	['un', 'su', 'el', 'otro', 'este']	[0.4937 0.3893 0.0331 0.0054 0.005 ]	0.0043	6	0.0331	2	0.4937	0
9	affected	Luis zarandeó a [MASK] hombre durante algunos minutos .	un	['un', 'el', 'otro', 'este', 'su']	[0.3122 0.1774 0.1065 0.0668 0.0601]	0.0358	6	0.1774	1	0.3122	0
10	affected	María transportó a [MASK] mochilero durante todo el día .	un	['un', 'el', 'su', 'este', 'María']	[0.2183 0.1498 0.1419 0.0649 0.0415]	0.0337	6	0.1498	1	0.2183	0
11	affected	Lucas arrastró a [MASK] soldado durante un buen rato .	un	['un', 'la', 'el', 'otro', 'este']	[0.6974 0.0571 0.0437 0.0432 0.0412]	0.0047	8	0.0571	1	0.6974	0
12	affected	Claudia maltrató a [MASK] compañera durante varios años .	una	['su', 'la', 'una', 'sus', 'sua']	[0.8611 0.0967 0.0132 0.004  0.0039]	0.0009	8	0.0967	1	0.0132	2
13	affected	Hugo apaleó a [MASK] rebelde durante varios minutos .	un	['Hugo', 'la', 'un', 'el', 'lo']	[0.7748 0.0666 0.026  0.0189 0.0164]	0.0057	5	0.0666	1	0.026	2
14	affected	Carla asedió a [MASK] contrincante durante bastante tiempo .	una	['su', 'la', 'un', 'Carla', 'el']	[0.5361 0.1517 0.0839 0.048  0.0174]	0.0028	13	0.1517	1	0.0839	2
