id	condition	input_sentence	masked	top_fillers	probabilities
105	animate	La artista que pisó [MASK] perra andaba sigilosamente .	la	['la', 'esa', 'su', 'esta', 'aquella']	[0.748  0.058  0.0532 0.0315 0.0205]
106	animate	La bióloga que abrazó [MASK] gorila sonreía incesantemente .	la	['al', 'el', 'a', 'su', 'un']	[0.9318 0.0631 0.0014 0.0011 0.0007]
107	animate	La voluntaria que tocó [MASK] tortuga bebía continuamente .	la	['la', 'esta', 'una', 'esa', 'a']	[0.8654 0.0445 0.0187 0.0132 0.0107]
108	animate	La ciclista que vio [MASK] vaca comía distraídamente .	la	['la', 'una', 'esta', 'esa', 'su']	[0.812  0.0972 0.0436 0.0117 0.0077]
109	animate	La granjera que olió [MASK] cerda salió inesperadamente .	la	['la', 'a', 'una', 'como', 'esa']	[0.5963 0.2453 0.0594 0.034  0.0167]
114	animate	Las zoólogas que observaron [MASK] palomas bebían plácidamente .	las	['las', 'estas', 'esas', 'a', 'sus']	[0.5729 0.2961 0.0212 0.0175 0.0088]
115	animate	Las hermanas que buscaron [MASK] gatas entraron inesperadamente .	las	['las', 'sus', 'a', 'esas', 'estas']	[0.6045 0.0956 0.0819 0.0178 0.0172]
116	animate	Las niñas que adoraban [MASK] ardillas chillaban alegremente .	las	['las', 'estas', 'esas', 'a', 'sus']	[0.8812 0.023  0.0198 0.0158 0.0118]
117	animate	Las estudiantes que pegaron [MASK] monas paseaban tristemente .	las	['las', 'esas', 'a', 'sus', 'estas']	[0.4965 0.1269 0.1153 0.0552 0.0308]
118	animate	Los payasos que abrazaron [MASK] chimpancés caminaban rápidamente .	los	['los', 'a', 'al', 'estos', 'sus']	[0.6352 0.2459 0.0268 0.0171 0.0111]
119	animate	Los trabajadores que perseguían [MASK] guepardos corrían velozmente .	los	['los', 'a', 'sus', 'estos', 'al']	[0.6796 0.1518 0.0838 0.0117 0.0106]
120	animate	Los niños que ensuciaron [MASK] macacos sonreían frenéticamente .	los	['sus', 'los', 'esos', 'nuestros', 'mis']	[0.5299 0.3882 0.0169 0.0146 0.0118]
121	animate	Los viejos que oyeron [MASK] pollos respiraban fuertemente .	los	['los', 'esos', 'estos', 'sus', 'aquellos']	[0.6258 0.1    0.0803 0.0304 0.0196]
122	animate	Los técnicos que tocaron [MASK] hámsters andaban distraídamente .	los	['los', 'sus', 'como', 'con', 'a']	[0.7748 0.1006 0.0238 0.0199 0.0139]
123	animate	La cebra que ensució [MASK] turista descansaba plácidamente .	la	['al', 'el', 'la', 'a', 'un']	[0.8257 0.1417 0.0114 0.008  0.0023]
124	animate	La cabra que empujó [MASK] pastora respiraba velozmente .	la	['la', 'una', 'a', 'su', 'al']	[0.9505 0.0172 0.0063 0.0059 0.0058]
125	animate	La serpiente que detestaba [MASK] veterinaria entró sigilosamente .	la	['la', 'era', 'de', 'como', 'ser']	[0.6495 0.0574 0.0478 0.0462 0.0451]
126	animate	La leoparda que oyó [MASK] dueña corrió repentinamente .	la	['la', 'su', 'ser', 'y', 'a']	[0.4736 0.2633 0.0271 0.0157 0.0136]
132	animate	Las panteras que atacaron [MASK] empleadas descansaban tranquilamente .	las	['las', 'al', 'a', 'la', 'sus']	[0.346  0.1784 0.1319 0.091  0.0639]
133	animate	Las burras que pisaron [MASK] mujeres gruñían claramente .	las	['las', 'esas', 'estas', 'sus', 'nuestras']	[0.7283 0.1038 0.0505 0.0375 0.0172]
134	animate	Las conejas que olieron [MASK] chicas saltaban continuamente .	las	['las', 'esas', 'estas', 'a', 'como']	[0.5678 0.1735 0.054  0.0366 0.0348]
135	animate	Las gallinas que detestaban [MASK] señoras comían lentamente .	las	['las', 'sus', 'estas', 'a', 'esas']	[0.7726 0.0353 0.026  0.0143 0.0132]
136	animate	Las lobas que empujaron [MASK] ecólogas salieron repentinamente .	las	['las', 'a', 'sus', 'estas', 'al']	[0.815  0.0468 0.0287 0.0176 0.0102]
137	animate	Los pájaros que miraban [MASK] críos cantaban alegremente .	los	['los', 'sus', 'como', 'aquellos', 'a']	[0.8735 0.0311 0.0191 0.0127 0.0127]
138	animate	Los delfines que mataron [MASK] pescadores gemían fuertemente .	los	['los', 'a', 'estos', 'sus', 'esos']	[0.7582 0.0711 0.0319 0.0182 0.0146]
139	animate	Los cocodrilos que vieron [MASK] asistentes nadaban frenéticamente .	los	['los', 'en', 'al', 'fueron', 'y']	[0.289  0.0414 0.0375 0.035  0.0347]
140	animate	Los flamencos que escucharon [MASK] ayudantes dormían felizmente .	los	['los', 'sus', 'estos', 'a', 'esos']	[0.5057 0.2858 0.0396 0.014  0.014 ]
