id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó [MASK] la música. [SEP]	['a']	[['a', 'de', 'con', 'toda', 'por']]	[[0.3324 0.2709 0.0673 0.0621 0.0472]]
62	[CLS] Blanca Nieves comió [MASK] la manzana. [SEP]	['a']	[['a', 'de', 'en', 'con', 'por']]	[[0.401  0.2231 0.1531 0.0727 0.0249]]
63	[CLS] El niño aprendío [MASK] las matemáticas. [SEP]	['a']	[['a', 'aprender', 'de', 'en', 'con']]	[[0.6367 0.0747 0.0394 0.0222 0.0216]]
64	[CLS] Antonio bebió [MASK] un refresco. [SEP]	['a']	[['con', 'de', 'a', 'por', 'en']]	[[0.3676 0.3122 0.0851 0.0497 0.0165]]
65	[CLS] Alfonso arregló [MASK] la bicicleta. [SEP]	['a']	[['en', 'a', 'de', 'con', 'toda']]	[[0.2807 0.2104 0.1652 0.0461 0.0184]]
66	[CLS] Mafalda leyó [MASK] libro. [SEP]	['al']	[['el', 'un', 'del', 'este', 'al']]	[[0.7052 0.1795 0.0162 0.011  0.0108]]
67	[CLS] Los amigos firmaron [MASK] papel. [SEP]	['al']	[['el', 'un', 'al', 'del', 'de']]	[[0.5495 0.2541 0.0493 0.0186 0.0108]]
68	[CLS] El niño tocó [MASK] la planta. [SEP]	['a']	[['en', 'sobre', 'con', 'a', 'de']]	[[0.1938 0.1646 0.1394 0.1365 0.1225]]
69	[CLS] El hombre llevó [MASK] paraguas. [SEP]	['al']	[['al', 'el', 'un', 'a', 'su']]	[[0.355  0.3371 0.0964 0.0266 0.0259]]
70	[CLS] La niña abrazó [MASK] oso. [SEP]	['al']	[['el', 'un', 'al', 'del', 'su']]	[[0.5458 0.2053 0.1185 0.021  0.0173]]
71	[CLS] María besó [MASK] arbol. [SEP]	['al']	[['de', 'en', ':', '.', 'un']]	[[0.1597 0.0973 0.0894 0.0619 0.0605]]
72	[CLS] Miguel vio [MASK] la pelota. [SEP]	['a']	[['vio', 'a', 'en', 'con', '##le']]	[[0.4491 0.1599 0.0356 0.0345 0.0321]]
73	[CLS] Los niños visitaron [MASK] museo. [SEP]	['a']	[['el', 'un', 'al', 'otro', 'este']]	[[0.7081 0.1975 0.0395 0.0143 0.0048]]
74	[CLS] Jimmy Newtron conoció [MASK] Six Flags. [SEP]	['a']	[['en', 'a', '.', 'de', ':']]	[[0.2026 0.1687 0.0611 0.0471 0.0404]]
75	[CLS] Julián tocó [MASK] la planta. [SEP]	['a']	[['en', 'a', 'de', 'sobre', 'por']]	[[0.7091 0.111  0.0556 0.0306 0.0155]]
76	[CLS] El viejo llevó [MASK] paraguas. [SEP]	['al']	[['el', 'al', 'un', 'los', 'la']]	[[0.3694 0.1595 0.1137 0.0572 0.0555]]
77	[CLS] La niña abrazó [MASK] osito. [SEP]	['al']	[['el', 'un', 'su', 'al', 'de']]	[[0.4831 0.3444 0.0277 0.0265 0.0152]]
78	[CLS] Beto besó [MASK] trofeo. [SEP]	['al']	[[',', '##n', '.', ':', 'el']]	[[0.1008 0.0759 0.0608 0.0597 0.0487]]
79	[CLS] Victor vio [MASK] la pelota. [SEP]	['a']	[['vio', 'a', 'viola', '##ó', 'en']]	[[0.6394 0.0668 0.0478 0.0255 0.0139]]
80	[CLS] Los niños visitaron [MASK] museo. [SEP]	['al']	[['el', 'un', 'al', 'otro', 'este']]	[[0.7081 0.1975 0.0395 0.0143 0.0048]]
81	[CLS] Raquel conoció [MASK] Chicago. [SEP]	['a']	[['en', 'a', 'al', 'de', ':']]	[[0.471  0.4535 0.0074 0.0033 0.0032]]
82	[CLS] Esteban estudió [MASK] matemáticas. [SEP]	['a']	[['las', 'les', 'en', 'la', 'los']]	[[0.3392 0.0629 0.0449 0.0444 0.0293]]
83	[CLS] Alfonso arregló [MASK] la bicicleta roja. [SEP]	['a']	[['con', 'a', 'en', 'de', '##se']]	[[0.3385 0.2804 0.0478 0.0374 0.0334]]
84	[CLS] Antonio bebió [MASK] la coca cola. [SEP]	['a']	[['de', 'a', 'con', 'bien', 'pa']]	[[0.4766 0.411  0.0504 0.0045 0.0034]]
85	[CLS] Estefanía compró [MASK] un auto. [SEP]	['a']	[['a', '##ó', 'también', 'finalmente', ',']]	[[0.2774 0.0517 0.0503 0.031  0.0272]]
86	[CLS] Mercedes escuchó [MASK] música. [SEP]	['a']	[['la', 'una', 'a', 'mucha', 'de']]	[[0.926  0.0123 0.0111 0.0052 0.0028]]
87	[CLS] Carlos leyó [MASK] una novela. [SEP]	['a']	[['también', 'de', ',', 'a', 'y']]	[[0.2646 0.1454 0.0887 0.0498 0.0275]]
88	[CLS] Los novios firmaron [MASK] el contrato. [SEP]	['a']	[['con', 'por', 'todo', 'en', 'finalmente']]	[[0.2634 0.1501 0.1178 0.0569 0.029 ]]
