id	condition	input_sentence	masked	dom_top_fillers	dom_probabilities	dom_dom_prob	dom_def_prob	dom_indef_prob	dom_discrepancy	unmarked_top_fillers	unmarked_probabilities	unmarked_dom_prob	unmarked_def_prob	unmarked_indef_prob	unmarked_discrepancy
2	animate	La abuela recibió (a) los niños.	los	['los', 'las', 'estos', 'niños', 'cuatro']	[0.7504 0.0331 0.019  0.0073 0.007 ]	0.0011	0.7504	0.0015	0.7489	['12', 'los', 'dos', '10', 'cuatro']	[0.0654 0.0574 0.0495 0.0444 0.0377]	0.0105	0.0574	0.0029	0.0545
5	animate	El ladrón secuestró (a) la señora.	la	['la', 'una', 'su', 'otra', 'La']	[0.7759 0.1919 0.0065 0.0045 0.0038]	0.0005	0.7759	0.1919	0.5840000000000001	['la', 'una', 'a', 'al', 'otra']	[0.7058 0.1649 0.0626 0.0116 0.0075]	0.0626	0.7058	0.1649	0.5408999999999999
6	animate	Snoopy miró (a) su amigo.	su	['un', 'su', 'seu', 'ser', 'mi']	[0.4886 0.1761 0.0262 0.016  0.0152]	0.0034	0.0063	0.4886	-0.48229999999999995	['su', 'un', 'al', 'o', 'a']	[0.1303 0.1184 0.0978 0.0485 0.0339]	0.0978	0.0254	0.1184	-0.093
19	animate	El niño visitó (a) su abuela.	su	['su', 'la', 'una', 'sus', 'Su']	[0.5341 0.253  0.1767 0.0038 0.0033]	0.0003	0.253	0.1767	0.0763	['su', 'una', 'la', 'otra', 'a']	[0.4413 0.2741 0.1926 0.0075 0.0075]	0.0075	0.1926	0.2741	-0.08150000000000002
22	animate	La familia acogió (a) la inmigrante.	la	['un', 'otro', 'la', 'una', 'lo']	[0.7298 0.0948 0.0295 0.0253 0.0129]	0.0014	0.0295	0.7298	-0.7003	['un', 'al', 'el', 'otro', 'a']	[0.3807 0.334  0.0743 0.0323 0.0262]	0.334	0.0743	0.3807	-0.3064
24	animate	Cristina saludó (a) los novios.	los	['los', 'sus', 'su', 'nuestros', 'mis']	[0.583  0.375  0.006  0.0043 0.0021]	0.0001	0.583	0.0005	0.5825	['los', 'a', 'sus', 'al', 'y']	[0.3755 0.1678 0.1617 0.028  0.0208]	0.1678	0.3755	0.0024	0.3731
25	animate	El bandido secuestró (a) la mujer.	la	['una', 'la', 'otra', 'su', 'esa']	[0.6635 0.2417 0.046  0.0197 0.0068]	0.0003	0.2417	0.6635	-0.42179999999999995	['una', 'la', 'otra', 'a', 'su']	[0.7514 0.1169 0.071  0.0149 0.0124]	0.0149	0.1169	0.7514	-0.6345
29	inanimate	Alejandra escuchó (a) la música.	la	['la', 'una', 'mucha', 'su', 'gran']	[0.9647 0.0064 0.0022 0.0021 0.0015]	0.0003	0.9647	0.0064	0.9583	['la', 'una', 'a', 'con', 'de']	[0.9342 0.0151 0.0116 0.002  0.0019]	0.0116	0.9342	0.0151	0.9191
30	inanimate	Blanca Nieves comió (a) la manzana.	la	['la', 'una', 'La', 'a', 'lo']	[0.8552 0.0333 0.0051 0.004  0.0028]	0.004	0.8552	0.0333	0.8219	['la', 'una', 'a', 'el', 'en']	[0.8123 0.054  0.0372 0.0102 0.0085]	0.0372	0.8123	0.054	0.7583
31	inanimate	El niño aprendío (a) las matemáticas.	las	['las', 'aprender', 'estudiar', 'los', 'tener']	[0.8151 0.0567 0.0122 0.0121 0.0101]	0.0001	0.8151	0.0046	0.8105	['las', 'aprender', 'les', 'sus', 'algunas']	[0.7732 0.0194 0.0172 0.0149 0.0121]	0.0077	0.7732	0.0052	0.768
32	inanimate	Antonio bebió (a) un refresco.	un	['un', 'lo', 'este', 'otro', 'su']	[0.5608 0.0372 0.0289 0.028  0.0225]	0.0045	0.0109	0.5608	-0.5498999999999999	['de', 'el', 'un', 'del', 'al']	[0.2689 0.2116 0.1181 0.1138 0.0483]	0.0483	0.2116	0.1181	0.09350000000000001
33	inanimate	Alfonso arregló (a) la bicicleta.	la	['la', 'una', 'su', 'un', 'otra']	[0.7903 0.1295 0.0212 0.0047 0.004 ]	0.0019	0.7903	0.1295	0.6608	['la', 'una', 'en', 'de', 'su']	[0.31   0.1825 0.1472 0.1032 0.0996]	0.0127	0.31	0.1825	0.1275
36	inanimate	El niño tocó (a) la planta.	la	['la', 'una', 'su', 'otra', 'esta']	[0.596  0.2335 0.0313 0.0291 0.0205]	0.0006	0.596	0.2335	0.36249999999999993	['una', 'la', 'su', 'de', 'otra']	[0.4416 0.326  0.0302 0.0231 0.0229]	0.0079	0.326	0.4416	-0.11559999999999998
