id	input_sentence	masked	top_fillers	probabilities
33	[CLS] Bob Esponja saludó [MASK] Squidward. [SEP]	['a']	[['a', 'al', 'de', 'en', 'con']]	[[0.9184 0.0378 0.0068 0.0063 0.0055]]
34	[CLS] La abuela recibió [MASK] los niños. [SEP]	['a']	[['a', 'todos', 'con', 'también', 'hasta']]	[[0.9826 0.006  0.0017 0.0012 0.0008]]
35	[CLS] El Goblin verde atacó [MASK] Spiderman. [SEP]	['a']	[['a', 'al', 'con', 'por', 'contra']]	[[0.991  0.0042 0.0007 0.0006 0.0004]]
36	[CLS] La maestra ayudó [MASK] niño. [SEP]	['al']	[['al', 'el', 'del', 'a', 'un']]	[[0.9908 0.0055 0.002  0.0003 0.0002]]
37	[CLS] El ladrón secuestró [MASK] la señora. [SEP]	['a']	[['a', 'de', 'con', 'y', ',']]	[[0.9997 0.0001 0.     0.     0.    ]]
38	[CLS] Snoopy miró [MASK] su amigo. [SEP]	['a']	[['a', 'hacia', 'con', 'por', 'para']]	[[0.931  0.026  0.0197 0.0066 0.0029]]
39	[CLS] La maestra castigó [MASK] estudiante. [SEP]	['al']	[['al', 'el', 'la', 'del', 'a']]	[[0.9937 0.0035 0.0009 0.0005 0.0003]]
40	[CLS] Buzz Lightyear llevó [MASK] Woody. [SEP]	['a']	[['a', 'al', 'el', 'con', 'un']]	[[0.971  0.0104 0.0023 0.0023 0.0021]]
41	[CLS] Plankton conoció [MASK] Bob Esponja. [SEP]	['a']	[['a', 'al', 'con', 'en', 'de']]	[[0.9958 0.0021 0.001  0.0002 0.0001]]
42	[CLS] Mickey abrazó [MASK] Pluto. [SEP]	['a']	[['a', 'de', 'al', 'con', 'su']]	[[0.9872 0.0017 0.0016 0.001  0.0008]]
43	[CLS] La abuelita visitó [MASK] niño. [SEP]	['al']	[['al', 'el', 'un', 'a', 'del']]	[[0.9892 0.0088 0.0005 0.0005 0.0003]]
44	[CLS] Fiona besó [MASK] Shrek. [SEP]	['a']	[['a', 'al', '[UNK]', 'en', 'el']]	[[0.9667 0.011  0.004  0.0027 0.002 ]]
45	[CLS] La mamá tocó [MASK] bebé. [SEP]	['al']	[['al', 'el', 'un', 'su', 'la']]	[[0.8679 0.0946 0.0187 0.0091 0.0041]]
46	[CLS] Hello Kitty vio [MASK] Keroppi. [SEP]	['a']	[['a', 'en', 'el', '[UNK]', 'de']]	[[0.3488 0.0551 0.045  0.0408 0.0325]]
47	[CLS] Diego llevó [MASK] Isabel. [SEP]	['a']	[['a', 'hasta', 'con', 'la', 'una']]	[[0.9743 0.0061 0.0019 0.0017 0.0017]]
48	[CLS] Eduardo conoció [MASK] Bella. [SEP]	['a']	[['a', 'en', 'una', 'la', 'de']]	[[0.9898 0.0017 0.0009 0.0009 0.0008]]
49	[CLS] Alejandro abrazó [MASK] Consuelo. [SEP]	['a']	[['a', 'al', 'su', 'la', 'de']]	[[0.9929 0.0018 0.0013 0.0012 0.0005]]
50	[CLS] Mario vio [MASK] Jaime. [SEP]	['a']	[['a', 'la', 'el', 'que', '[UNK]']]	[[0.1558 0.1243 0.0684 0.038  0.033 ]]
51	[CLS] El niño visitó [MASK] su abuela. [SEP]	['a']	[['a', 'con', 'también', 'nuevamente', 'regularmente']]	[[0.9944 0.0028 0.0005 0.0002 0.0001]]
52	[CLS] Julieta besó [MASK] Romeo. [SEP]	['a']	[['a', 'al', 'á', 'de', 'con']]	[[0.9836 0.0081 0.0019 0.0011 0.0009]]
53	[CLS] Ana tocó [MASK] bebé. [SEP]	['al']	[['al', 'el', 'un', 'su', 'la']]	[[0.8217 0.1035 0.0468 0.0143 0.0034]]
54	[CLS] La familia acogió [MASK] la inmigrante. [SEP]	['a']	[['a', 'hasta', 'con', 'allí', 'también']]	[[0.9984 0.0002 0.0001 0.0001 0.0001]]
55	[CLS] El ladrón atacó [MASK] presidente. [SEP]	['al']	[['al', 'el', 'un', 'a', 'su']]	[[0.9818 0.0147 0.0011 0.0011 0.0004]]
56	[CLS] Cristina saludó [MASK] los novios. [SEP]	['a']	[['a', 'por', 'con', 'de', 'ante']]	[[0.9965 0.0012 0.0007 0.0003 0.0002]]
57	[CLS] El bandido secuestró [MASK] la mujer. [SEP]	['a']	[['a', 'de', 'también', 'hasta', 'con']]	[[0.9994 0.0001 0.0001 0.     0.    ]]
58	[CLS] La maestra ayudó [MASK] niño. [SEP]	['al']	[['al', 'el', 'del', 'a', 'un']]	[[0.9908 0.0055 0.002  0.0003 0.0002]]
59	[CLS] La maestra castigó [MASK] estudiante. [SEP]	['al']	[['al', 'el', 'la', 'del', 'a']]	[[0.9937 0.0035 0.0009 0.0005 0.0003]]
60	[CLS] El juez juzgó [MASK] criminal. [SEP]	['al']	[['al', 'el', 'la', 'como', 'a']]	[[0.901  0.0684 0.0067 0.0056 0.0033]]
