id	sentence	masked_token1	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5	masked_token2	predicted_token1	probability1	predicted_token2	probability2	predicted_token3	probability3	predicted_token4	probability4	predicted_token5	probability5
1	[CLS] Felipe eliminó [MASK] [MASK] en pocos segundos. [SEP]	un	al	0.4713	a	0.3186	el	0.0686	la	0.0478	su	0.0174	rehén	[UNK]	0.1367	equipo	0.0229	jugador	0.0152	español	0.0112	grupo	0.0098
2	[CLS] Amaya neutralizó [MASK] [MASK] en cinco minutos. [SEP]	un	al	0.2628	el	0.2103	la	0.1491	a	0.0979	su	0.067	enemigo	[UNK]	0.1116	bomba	0.034	misil	0.0309	ataque	0.0272	arma	0.0235
3	[CLS] Joaquín abatió [MASK] [MASK] en unos minutos. [SEP]	un	a	0.2288	al	0.1854	el	0.1727	un	0.0968	otro	0.0222	contrincante	[UNK]	0.0826	caballo	0.015	humano	0.01	,	0.0093	Dog	0.0091
4	[CLS] Martina arrolló [MASK] [MASK] en cuestión de segundos. [SEP]	un	al	0.3228	el	0.2267	la	0.1623	su	0.0755	a	0.0586	peatón	balón	0.2152	pelota	0.0782	[UNK]	0.0613	bola	0.0259	cabeza	0.0248
5	[CLS] Carlos derribó [MASK] [MASK] en dos segundos. [SEP]	un	al	0.2373	a	0.1916	el	0.1729	la	0.1203	su	0.0368	futbolista	[UNK]	0.1481	Carlos	0.0175	balón	0.0111	equipo	0.0106	pelota	0.0101
6	[CLS] Lucía destrozó [MASK] [MASK] en dos asaltos. [SEP]	un	al	0.2549	a	0.2198	su	0.1451	el	0.1265	la	0.0929	oponente	[UNK]	0.1451	Lorenzo	0.0217	López	0.0216	equipo	0.0175	Carlos	0.0146
7	[CLS] Mateo quemó [MASK] [MASK] en poco más de media hora. [SEP]	una	el	0.2356	la	0.2056	su	0.0932	sus	0.0631	las	0.05	bruja	casa	0.0482	libro	0.0179	[UNK]	0.0151	fuego	0.0133	##s	0.013
8	[CLS] Valentina venció [MASK] [MASK] en menos de una hora. [SEP]	un	a	0.2456	al	0.1976	la	0.1125	el	0.1032	su	0.0312	adversario	[UNK]	0.1591	carrera	0.0427	Mónaco	0.0288	##mente	0.0167	equipo	0.0155
9	[CLS] Luis zarandeó [MASK] [MASK] durante algunos minutos. [SEP]	un	la	0.3224	el	0.2398	su	0.0861	al	0.0349	las	0.0305	hombre	##mente	0.049	caballo	0.0268	[UNK]	0.0237	cabeza	0.022	barco	0.0202
10	[CLS] María transportó [MASK] [MASK] durante todo el día. [SEP]	un	el	0.151	la	0.0928	al	0.0916	a	0.0877	sus	0.0756	mochilero	##s	0.0696	equipaje	0.0267	[UNK]	0.0204	cuerpo	0.0195	bebé	0.0171
11	[CLS] Lucas arrastró [MASK] [MASK] durante un buen rato. [SEP]	un	el	0.2705	la	0.216	su	0.1391	sus	0.0707	al	0.0591	soldado	coche	0.0382	cuerpo	0.0337	cabeza	0.0329	[UNK]	0.0302	pies	0.0198
12	[CLS] Claudia maltrató [MASK] [MASK] durante varios años. [SEP]	una	a	0.743	al	0.1783	su	0.0359	sus	0.0091	la	0.0075	compañera	[UNK]	0.1895	David	0.0175	Max	0.0139	Michael	0.0125	niño	0.0115
13	[CLS] Hugo apaleó [MASK] [MASK] durante varios minutos. [SEP]	un	al	0.3612	a	0.3002	la	0.1149	el	0.0858	su	0.02	rebelde	[UNK]	0.1	público	0.0206	grupo	0.014	personaje	0.0114	canción	0.0069
14	[CLS] Carla asedió [MASK] [MASK] durante bastante tiempo. [SEP]	una	el	0.2954	la	0.2567	su	0.08	a	0.0277	al	0.0204	contrincante	casa	0.2393	[UNK]	0.0223	ciudad	0.0205	apartamento	0.0183	habitación	0.0162
15	[CLS] Daniel remolcó [MASK] [MASK] durante algunos minutos. [SEP]	un	el	0.3853	la	0.2124	su	0.1037	al	0.0648	a	0.0406	enfermo	coche	0.3084	vehículo	0.1062	auto	0.0591	camión	0.0523	barco	0.0321
16	[CLS] Coral guio [MASK] [MASK] durante toda la mañana. [SEP]	un	al	0.3117	a	0.1568	el	0.1082	la	0.1	su	0.0551	turista	[UNK]	0.0879	grupo	0.0318	campamento	0.0269	casa	0.0157	equipo	0.0142
