input	experiment_type	model	filler_type	mean_prob	std_prob	median_prob	mean_rank
hg-2023_affected	dobject-masking-unmarked-mask_det	BETO	dom	0.6852	0.3056	0.8006	0.375
hg-2023_affected	dobject-masking-unmarked-mask_det	BETO	def	0.0831	0.1821	0.0226	1.5
hg-2023_affected	dobject-masking-unmarked-mask_det	BETO	indef	0.0343	0.0671	0.0068	3.0
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	BETO	dom	0.5779	0.3363	0.6911	0.6875
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	BETO	def	0.1067	0.1179	0.071	1.625
hg-2023_nonaffected	dobject-masking-unmarked-mask_det	BETO	indef	0.0955	0.1352	0.0155	2.875
ms-2013_animate	dobject-masking-unmarked-mask_det	BETO	dom	0.1586	0.2538	0.0639	2.5
ms-2013_animate	dobject-masking-unmarked-mask_det	BETO	def	0.1279	0.1923	0.0254	2.875
ms-2013_animate	dobject-masking-unmarked-mask_det	BETO	indef	0.2136	0.3081	0.0495	2.875
ms-2013_inanimate	dobject-masking-unmarked-mask_det	BETO	dom	0.0605	0.1646	0.0	3.68
ms-2013_inanimate	dobject-masking-unmarked-mask_det	BETO	def	0.2839	0.3161	0.1105	2.28
ms-2013_inanimate	dobject-masking-unmarked-mask_det	BETO	indef	0.1381	0.2213	0.0	3.04
sa-2020_animate	dobject-masking-unmarked-mask_det	BETO	dom	0.1143	0.228	0.0158	2.7778
sa-2020_animate	dobject-masking-unmarked-mask_det	BETO	def	0.6154	0.2201	0.6352	0.1111
sa-2020_animate	dobject-masking-unmarked-mask_det	BETO	indef	0.0072	0.0213	0.0	4.4074
re-2021_indefinite	dobject-masking-unmarked-mask_det	BETO	dom	0.6148	0.2496	0.6111	0.5
re-2021_indefinite	dobject-masking-unmarked-mask_det	BETO	def	0.0537	0.0602	0.0249	3.0
re-2021_indefinite	dobject-masking-unmarked-mask_det	BETO	indef	0.143	0.1572	0.0725	1.75
self-re_definite	dobject-masking-unmarked-mask_det	BETO	dom	0.2119	0.2854	0.0528	2.375
self-re_definite	dobject-masking-unmarked-mask_det	BETO	def	0.1766	0.1982	0.1236	1.875
self-re_definite	dobject-masking-unmarked-mask_det	BETO	indef	0.2899	0.3263	0.109	2.25
self-re_indefinite	dobject-masking-unmarked-mask_det	BETO	dom	0.1652	0.2664	0.0506	2.5
self-re_indefinite	dobject-masking-unmarked-mask_det	BETO	def	0.2086	0.2616	0.0976	1.75
self-re_indefinite	dobject-masking-unmarked-mask_det	BETO	indef	0.3504	0.2983	0.3182	1.25
self-sa_inanimate	dobject-masking-unmarked-mask_det	BETO	dom	0.0002	0.0009	0.0	4.9286
self-sa_inanimate	dobject-masking-unmarked-mask_det	BETO	def	0.786	0.2414	0.8891	0.1429
self-sa_inanimate	dobject-masking-unmarked-mask_det	BETO	indef	0.0073	0.0097	0.0	3.9286
