id	input_sentence	masked	top_fillers	probabilities
61	[CLS] Alejandra escuchó a [MASK] música. [SEP]	['la']	[['la', 'una', 'mucha', 'su', 'gran']]	[[0.9647 0.0064 0.0022 0.0021 0.0015]]
62	[CLS] Blanca Nieves comió a [MASK] manzana. [SEP]	['la']	[['la', 'una', 'La', 'a', 'lo']]	[[0.8552 0.0333 0.0051 0.004  0.0028]]
63	[CLS] El niño aprendío a [MASK] matemáticas. [SEP]	['las']	[['las', 'aprender', 'estudiar', 'los', 'tener']]	[[0.8151 0.0567 0.0122 0.0121 0.0101]]
64	[CLS] Antonio bebió a [MASK] refresco. [SEP]	['un']	[['un', 'lo', 'este', 'otro', 'su']]	[[0.5608 0.0372 0.0289 0.028  0.0225]]
65	[CLS] Alfonso arregló a [MASK] bicicleta. [SEP]	['la']	[['la', 'una', 'su', 'un', 'otra']]	[[0.7903 0.1295 0.0212 0.0047 0.004 ]]
66	[CLS] Mafalda leyó al [MASK] [SEP]	['libro.']	[['piano', 'al', 'trono', 'viento', 'aire']]	[[0.0511 0.026  0.0191 0.0153 0.0131]]
67	[CLS] Los amigos firmaron al [MASK] [SEP]	['papel.']	[['al', 'siguiente', '-', 'disco', 'CD']]	[[0.0352 0.0311 0.0236 0.0199 0.0182]]
68	[CLS] El niño tocó a [MASK] planta. [SEP]	['la']	[['la', 'una', 'su', 'otra', 'esta']]	[[0.596  0.2335 0.0313 0.0291 0.0205]]
69	[CLS] El hombre llevó al [MASK] [SEP]	['paraguas.']	[['otro', 'amor', 'disco', 'mando', 'mar']]	[[0.0246 0.0217 0.0203 0.0196 0.019 ]]
70	[CLS] La niña abrazó al [MASK] [SEP]	['oso.']	[['aire', 'amor', 'viento', 'mar', 'piano']]	[[0.0793 0.0297 0.0268 0.0265 0.0251]]
71	[CLS] María besó al [MASK] [SEP]	['arbol.']	[['hombre', 'pan', 'amor', 'corazón', 'rey']]	[[0.0313 0.0282 0.0228 0.0157 0.0146]]
72	[CLS] Miguel vio a [MASK] pelota. [SEP]	['la']	[['uma', 'a', 'sua', 'outra', 'da']]	[[0.3253 0.1089 0.0851 0.0478 0.0358]]
73	[CLS] Los niños visitaron a [MASK] [SEP]	['museo.']	[[':', 'la', '.', 'Villa', 'los']]	[[0.2197 0.1074 0.0757 0.0111 0.0099]]
74	[CLS] Jimmy Newtron conoció a [MASK] Flags. [SEP]	['Six']	[['Six', 'Flags', 'Seven', 'Two', 'Three']]	[[0.7542 0.0626 0.0328 0.021  0.0119]]
75	[CLS] Julián tocó a [MASK] planta. [SEP]	['la']	[['la', 'segunda', 'esta', 'primera', 'primeira']]	[[0.2511 0.1237 0.0722 0.0574 0.0434]]
76	[CLS] El viejo llevó al [MASK] [SEP]	['paraguas.']	[['viento', 'puerto', 'puente', 'viejo', 'agua']]	[[0.023  0.0211 0.021  0.0194 0.017 ]]
77	[CLS] La niña abrazó al [MASK] [SEP]	['osito.']	[['aire', 'amor', 'viento', 'mar', 'piano']]	[[0.0793 0.0297 0.0268 0.0265 0.0251]]
78	[CLS] Beto besó al [MASK] [SEP]	['trofeo.']	[['.', 'al', '-', 'mar', 'bar']]	[[0.0289 0.0195 0.0175 0.011  0.0097]]
79	[CLS] Victor vio a [MASK] pelota. [SEP]	['la']	[['uma', 'sua', 'a', 'da', 'primeira']]	[[0.256  0.1035 0.0729 0.0294 0.0209]]
80	[CLS] Los niños visitaron al [MASK] [SEP]	['museo.']	[['restaurante', 'colegio', 'museo', 'hotel', 'club']]	[[0.088  0.0471 0.0411 0.0404 0.0204]]
83	[CLS] Alfonso arregló a [MASK] bicicleta roja. [SEP]	['la']	[['la', 'una', 'su', 'un', 'a']]	[[0.5554 0.356  0.0212 0.0108 0.0033]]
84	[CLS] Antonio bebió a [MASK] coca cola. [SEP]	['la']	[['la', 'una', 'su', 'cola', 'esta']]	[[0.9107 0.0343 0.0077 0.0027 0.0026]]
85	[CLS] Estefanía compró a [MASK] auto. [SEP]	['un']	[['un', 'la', 'auto', 'o', 'este']]	[[0.2384 0.0827 0.0761 0.0355 0.0344]]
87	[CLS] Carlos leyó a [MASK] novela. [SEP]	['una']	[['la', 'esta', '.', 'una', 'La']]	[[0.6235 0.0228 0.0119 0.0109 0.0107]]
88	[CLS] Los novios firmaron a [MASK] contrato. [SEP]	['el']	[['un', 'este', 'el', 'su', 'otro']]	[[0.3742 0.0713 0.0496 0.0258 0.0215]]
