id	condition	input_sentence	score_dom	score_unmarked	discrepancy
1	affected	Felipe eliminó (a) un rehén en pocos segundos.	0.203	0.1104	0.09263099730014801
2	affected	Amaya neutralizó (a) un enemigo en cinco minutos.	0.1954	0.1054	0.08996246010065079
3	affected	Joaquín abatió (a) un contrincante en unos minutos.	0.201	0.1051	0.09590379148721695
4	affected	Martina arrolló (a) un peatón en cuestión de segundos.	0.1042	0.1034	0.000806167721748352
5	affected	Carlos derribó (a) un futbolista en dos segundos.	0.1991	0.1027	0.09639457613229752
6	affected	Lucía destrozó (a) un oponente en dos asaltos.	0.2042	0.1068	0.0974510908126831
7	affected	Mateo quemó (a) una bruja en poco más de media hora.	0.1419	0.0718	0.07017815113067627
8	affected	Valentina venció (a) un adversario en menos de una hora.	0.1674	0.0892	0.07822786271572113
9	affected	Luis zarandeó (a) un hombre durante algunos minutos.	0.191	0.1115	0.0794784352183342
10	affected	María transportó (a) un mochilero durante todo el día.	0.165	0.0842	0.08074021339416504
11	affected	Lucas arrastró (a) un soldado durante un buen rato.	0.1793	0.0947	0.08460229635238647
12	affected	Claudia maltrató (a) una compañera durante varios años.	0.2084	0.113	0.09543532133102417
13	affected	Hugo apaleó (a) un rebelde durante varios minutos.	0.2037	0.1144	0.0892433449625969
14	affected	Carla asedió (a) una contrincante durante bastante tiempo.	0.1949	0.0996	0.09531034529209137
15	affected	Daniel remolcó (a) un enfermo durante algunos minutos.	0.2031	0.115	0.08816926926374435
16	affected	Coral guio (a) un turista durante toda la mañana.	0.1547	0.1034	0.05136074870824814
17	nonaffected	Carlos vigiló (a) un bebé durante unos minutos.	0.1595	0.105	0.054484911262989044
18	nonaffected	Irene oyó (a) una niña durante horas.	0.2057	0.1229	0.08280528336763382
19	nonaffected	Pablo tuvo (a) un ayudante durante varios años.	0.1304	0.104	0.02642739564180374
20	nonaffected	Isabel vio (a) un estudiante durante toda la mañana.	0.1678	0.0853	0.08255072683095932
21	nonaffected	Unai amó (a) una joven durante varios años.	0.2041	0.1127	0.09136836975812912
22	nonaffected	Valeria admiró (a) un cantante durante toda su vida.	0.0936	0.0971	-0.0035696029663085938
23	nonaffected	Adrián percibió (a) una mujer durante algunos minutos.	0.1576	0.1024	0.05518895387649536
24	nonaffected	Emma investigó (a) un político durante varias semanas.	0.1534	0.1096	0.04375910758972168
25	nonaffected	Ismael encontró (a) un conocido en cuestión de segundos.	0.1793	0.0985	0.08082439750432968
26	nonaffected	Sofía conoció (a) un chico en un par de días.	0.1771	0.0956	0.08152586221694946
27	nonaffected	Martín detectó (a) un intruso en un par de minutos.	0.1235	0.0794	0.04406380653381348
28	nonaffected	Elena localizó (a) una amiga al/el cabo de dos horas.	0.1676	0.0785	0.08915784955024719
29	nonaffected	Alejandro identificó (a) un agresor en menos de dos minutos.	0.1166	0.0863	0.030343525111675262
30	nonaffected	Marta descartó (a) un aspirante en un minuto.	0.2009	0.1129	0.0880013182759285
31	nonaffected	Samuel descubrió (a) un infiltrado en un par de días.	0.1209	0.087	0.0339038148522377
32	nonaffected	Alba mencionó (a) un actor tras varios minutos de reflexión.	0.1582	0.094	0.0641537755727768
